year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,duplicate_count,vote_shares_found,source_tables,source_pages,recommendation
2019,pre_poll,national,,caste,,Others,6,7.0;10.0;38.0;42.6;50.0;72.0,2019_pre_poll_table_088.csv;2019_pre_poll_table_093.csv;2019_pre_poll_table_095.csv;2019_pre_poll_table_105.csv;2019_pre_poll_table_113.csv;2019_pre_poll_table_114.csv,,manual_review_conflict
2019,pre_poll,national,,gender,,INC,2,9.0;63.0,2019_pre_poll_table_034.csv;2019_pre_poll_table_035.csv,,manual_review_conflict
2019,pre_poll,national,,gender,,Others,11,1.6;2.0;2.7;3.4;10.0;13.0;20.0;33.0;34.0;42.0;88.0,2019_pre_poll_table_035.csv;2019_pre_poll_table_036.csv;2019_pre_poll_table_043.csv;2019_pre_poll_table_076.csv;2019_pre_poll_table_084.csv;2019_pre_poll_table_086.csv;2019_pre_poll_table_089.csv;2019_pre_poll_table_091.csv;2019_pre_poll_table_107.csv;2019_pre_poll_table_110.csv;2019_pre_poll_table_128.csv,,manual_review_conflict
2019,pre_poll,national,,gender,,Regional,9,2.0;3.3;4.7;6.8;18.0;18.5;19.0;35.0;48.0,2019_pre_poll_table_035.csv;2019_pre_poll_table_036.csv;2019_pre_poll_table_037.csv;2019_pre_poll_table_041.csv;2019_pre_poll_table_057.csv;2019_pre_poll_table_070.csv;2019_pre_poll_table_076.csv;2019_pre_poll_table_084.csv;2019_pre_poll_table_089.csv,,manual_review_conflict
2019,pre_poll,national,,religion,,Others,4,1.5;2.0;7.0;30.0,2019_pre_poll_table_027.csv;2019_pre_poll_table_102.csv;2019_pre_poll_table_115.csv;2019_pre_poll_table_120.csv,,manual_review_conflict
2024,post_poll,national,,age,,Others,3,1.6;53.0;100.0,2024_post_poll_table_009.csv;2024_post_poll_table_075.csv;2024_post_poll_table_083.csv,,manual_review_conflict
2024,post_poll,national,,caste,,INDIA,2,3.0;45.0,2024_post_poll_table_004.csv;2024_post_poll_table_024.csv,,manual_review_conflict
2024,post_poll,national,,caste,,NDA,2,2.0;8.0,2024_post_poll_table_080.csv;2024_post_poll_table_084.csv,,manual_review_conflict
2024,post_poll,national,,caste,,Others,2,2.7;74.0,2024_post_poll_table_069.csv;2024_post_poll_table_072.csv,,manual_review_conflict
2024,post_poll,national,,caste,,Regional,8,3.1;4.1;5.6;5.9;6.0;6.8;47.0,2024_post_poll_table_004.csv;2024_post_poll_table_024.csv;2024_post_poll_table_052.csv;2024_post_poll_table_053.csv;2024_post_poll_table_054.csv;2024_post_poll_table_055.csv;2024_post_poll_table_056.csv;2024_post_poll_table_057.csv,,manual_review_conflict
2024,post_poll,national,,gender,,INC,2,11.2;21.0,2024_post_poll_table_019.csv;2024_post_poll_table_020.csv,,manual_review_conflict
2024,post_poll,national,,gender,,INDIA,3,1.5;1.8;70.0,2024_post_poll_table_017.csv;2024_post_poll_table_019.csv;2024_post_poll_table_065.csv,,manual_review_conflict
2024,post_poll,national,,gender,,Others,5,2.6;24.4;40.0;87.0,2024_post_poll_table_018.csv;2024_post_poll_table_063.csv;2024_post_poll_table_065.csv;2024_post_poll_table_067.csv;2024_post_poll_table_093.csv,,manual_review_conflict
2024,post_poll,national,,gender,,Regional,4,6.9;9.8;61.0;70.0,2024_post_poll_table_028.csv;2024_post_poll_table_047.csv;2024_post_poll_table_063.csv;2024_post_poll_table_093.csv,,manual_review_conflict
2024,post_poll,national,,religion,,INC,2,57.0;88.0,2024_post_poll_table_005.csv;2024_post_poll_table_025.csv,,manual_review_conflict
2024,post_poll,national,,religion,,INDIA,2,67.0;73.0,2024_post_poll_table_005.csv;2024_post_poll_table_025.csv,,manual_review_conflict
2024,post_poll,national,,religion,,Others,3,25.0;39.2;76.0,2024_post_poll_table_005.csv;2024_post_poll_table_088.csv;2024_post_poll_table_089.csv,,manual_review_conflict
2024,pre_poll,national,,age,,INC,3,2.4;21.5;28.0,2024_pre_poll_table_023.csv;2024_pre_poll_table_059.csv;2024_pre_poll_table_074.csv,,manual_review_conflict
2024,pre_poll,national,,caste,,INC,5,15.0;23.6;48.0;55.1;70.7,2024_pre_poll_table_010.csv;2024_pre_poll_table_019.csv;2024_pre_poll_table_020.csv;2024_pre_poll_table_055.csv;2024_pre_poll_table_056.csv,,manual_review_conflict
2024,pre_poll,national,,caste,,INDIA,3,1.7;15.0;21.0,2024_pre_poll_table_037.csv;2024_pre_poll_table_055.csv;2024_pre_poll_table_056.csv,,manual_review_conflict
2024,pre_poll,national,,caste,,Others,3,8.1;50.0;71.0,2024_pre_poll_table_037.csv;2024_pre_poll_table_056.csv;2024_pre_poll_table_092.csv,,manual_review_conflict
2024,pre_poll,national,,caste,,Regional,4,1.2;2.3;7.7;69.0,2024_pre_poll_table_037.csv;2024_pre_poll_table_056.csv;2024_pre_poll_table_062.csv;2024_pre_poll_table_092.csv,,manual_review_conflict
