row_index,year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,source_table,source_page,confidence,is_valid,quality_flags,valid,missing_party,missing_group_type,missing_vote_share,invalid_vote_share,duplicate_key,low_confidence,needs_manual_review
128,2019,post_poll,national,,religion,,Others,100.0,2019_post_poll_table_462.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
129,2019,post_poll,national,,religion,,Regional,28.0,2019_post_poll_table_462.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
130,2019,post_poll,national,,gender,,Regional,38.0,2019_post_poll_table_484.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
131,2019,post_poll,national,,gender,,BJP,8.0,2019_post_poll_table_492.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
132,2019,post_poll,national,,gender,,NDA,64.0,2019_post_poll_table_492.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
133,2019,post_poll,national,,gender,,Others,10.0,2019_post_poll_table_492.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
134,2019,post_poll,national,,caste,,BJP,5.0,2019_post_poll_table_516.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
135,2019,post_poll,national,,caste,,INDIA,41.5,2019_post_poll_table_522.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
136,2019,post_poll,national,,caste,,Regional,15.5,2019_post_poll_table_522.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
137,2019,post_poll,national,,gender,,Regional,14.0,2019_post_poll_table_525.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
138,2019,post_poll,national,,religion,,INC,7.0,2019_post_poll_table_570.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
139,2019,post_poll,national,,religion,,BJP,4.0,2019_post_poll_table_570.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
140,2019,post_poll,national,,religion,,Others,3.0,2019_post_poll_table_570.csv,,medium,False,duplicate_key|low_confidence|needs_manual_review,False,False,False,False,False,True,True,True
