year,poll_type,page,reason,suggested_action
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_285.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_286.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_287.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_288.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_289.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_290.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_291.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_292.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_293.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_294.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_295.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_296.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_297.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_298.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_299.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_300.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_301.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_302.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_303.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_304.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_306.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_307.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_309.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_310.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_311.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_312.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_313.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_314.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_315.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_316.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_317.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_318.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_319.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_320.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_321.csv,inspect extracted CSV and add manual mapping
2019,post_poll,,table structure unrecognized: 2019_post_poll_table_322.csv,inspect extracted CSV and add manual mapping
