election_year,election_type,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes,party_raw,party_clean,party_id,candidate_raw,candidate_clean,candidate_election_id,alliance,state,constituency_id,swing,sim_vote_share_raw,sim_vote_share,sim_rank
2024,lok_sabha,Thirupathi,GURUMOORTHY MADDILA,YSRCP,632228.0,45.72846221167825,1.0,True,14569.0,YSRCP,YSRCP,YSRCP,GURUMOORTHY MADDILA,GURUMOORTHY MADDILA,CAND_2024_ANDHRA_PRADESH_THIRUPATHI_YSRCP_GURUMOORTHY_MADDILA,OTHER,Andhra Pradesh,ANDHRA_PRADESH__THIRUPATHI,0.0,45.72846221167825,45.72846221167825,1.0
2024,lok_sabha,Vijayawada,KESINENI SIVANATH (CHINNI),TDP,794154.0,58.2051516961606,1.0,True,282085.0,TDP,TDP,TDP,KESINENI SIVANATH (CHINNI),KESINENI SIVANATH CHINNI,CAND_2024_ANDHRA_PRADESH_VIJAYAWADA_TDP_KESINENI_SIVANATH_CHINNI,NDA,Andhra Pradesh,ANDHRA_PRADESH__VIJAYAWADA,0.0,58.2051516961606,58.2051516961606,1.0
2024,lok_sabha,Visakhapatnam,SRIBHARAT MATHUKUMILI,TDP,907467.0,65.42070829954042,1.0,True,504247.0,TDP,TDP,TDP,SRIBHARAT MATHUKUMILI,SRIBHARAT MATHUKUMILI,CAND_2024_ANDHRA_PRADESH_VISAKHAPATNAM_TDP_SRIBHARAT_MATHUKUMILI,NDA,Andhra Pradesh,ANDHRA_PRADESH__VISAKHAPATNAM,0.0,65.42070829954042,65.42070829954042,1.0
2024,lok_sabha,Vizianagaram,APPALANAIDU KALISETTI,TDP,743113.0,57.19588806396345,1.0,True,249351.0,TDP,TDP,TDP,APPALANAIDU KALISETTI,APPALANAIDU KALISETTI,CAND_2024_ANDHRA_PRADESH_VIZIANAGARAM_TDP_APPALANAIDU_KALISETTI,NDA,Andhra Pradesh,ANDHRA_PRADESH__VIZIANAGARAM,0.0,57.19588806396345,57.195888063963466,1.0
2024,lok_sabha,Arunachal East,TAPIR GAO,BJP,145581.0,45.00978534084831,1.0,True,30421.0,BJP,BJP,BJP,TAPIR GAO,TAPIR GAO,CAND_2024_ARUNACHAL_PRADESH_ARUNACHAL_EAST_BJP_TAPIR_GAO,NDA,Arunachal Pradesh,ARUNACHAL_PRADESH__ARUNACHAL_EAST,0.0,45.00978534084831,45.0097853408483,1.0
2024,lok_sabha,Arunachal West,KIREN RIJIJU,BJP,205417.0,51.37942591870016,1.0,True,100738.0,BJP,BJP,BJP,KIREN RIJIJU,KIREN RIJIJU,CAND_2024_ARUNACHAL_PRADESH_ARUNACHAL_WEST_BJP_KIREN_RIJIJU,NDA,Arunachal Pradesh,ARUNACHAL_PRADESH__ARUNACHAL_WEST,0.0,51.37942591870016,51.37942591870017,1.0
2024,lok_sabha,Barpeta,PHANI BHUSAN CHOUDHURY,AGP,860113.0,51.01673069611488,1.0,True,222351.0,AGP,AGP,AGP,PHANI BHUSAN CHOUDHURY,PHANI BHUSAN CHOUDHURY,CAND_2024_ASSAM_BARPETA_AGP_PHANI_BHUSAN_CHOUDHURY,UNKNOWN,Assam,ASSAM__BARPETA,0.0,51.01673069611488,51.01673069611488,1.0
2024,lok_sabha,Darrang-Udalguri,DILIP SAIKIA,BJP,868387.0,47.9453953180212,1.0,True,329012.0,BJP,BJP,BJP,DILIP SAIKIA,DILIP SAIKIA,CAND_2024_ASSAM_DARRANG_UDALGURI_BJP_DILIP_SAIKIA,NDA,Assam,ASSAM__DARRANG-UDALGURI,0.0,47.9453953180212,47.9453953180212,1.0
2024,lok_sabha,Dhubri,RAKIBUL HUSSAIN,INC,1471885.0,59.98859638540467,1.0,True,1012476.0,INC,INC,INC,RAKIBUL HUSSAIN,RAKIBUL HUSSAIN,CAND_2024_ASSAM_DHUBRI_INC_RAKIBUL_HUSSAIN,INDIA,Assam,ASSAM__DHUBRI,0.0,59.98859638540467,59.98859638540467,1.0
2024,lok_sabha,Dibrugarh,SARBANANDA SONOWAL,BJP,693762.0,54.27130253566786,1.0,True,279321.0,BJP,BJP,BJP,SARBANANDA SONOWAL,SARBANANDA SONOWAL,CAND_2024_ASSAM_DIBRUGARH_BJP_SARBANANDA_SONOWAL,NDA,Assam,ASSAM__DIBRUGARH,0.0,54.27130253566786,54.27130253566786,1.0
