state_2019,constituency_id_2019,constituency_id,constituency_2019,party_2019,winner_2019,vote_share_2019,state_2024,constituency_id_2024,constituency_2024,party_2024,winner_2024,vote_share_2024,state,constituency,seat_flipped,max_positive_swing,max_negative_swing,avg_abs_swing,swing_range,top2_margin_pct,effective_num_parties,winner_vote_share,margin_votes,winner_vote_share_change,flip_score,close_margin_score,fragmentation_score,swing_score,volatility_score
Manipur,MANIPUR__OUTER_MANIPUR,MANIPUR__OUTER_MANIPUR,Outer manipur,NPF,Lorho S. Pfoze,42.36768221120732,Manipur,MANIPUR__OUTER_MANIPUR,Outer Manipur,INC,ALFRED KANNGAM S ARTHUR,48.316441476777094,Manipur,Outer Manipur,True,30.541983970096084,-33.76867215443767,8.82651409750693,64.31065612453375,10.72100510207283,2.577544651048878,48.316441476777094,85418.0,5.948759265569777,40,9.27899489792717,12.88772325524439,17.65302819501386,79.81974634818542
Uttar Pradesh,UTTAR_PRADESH__NAGINA,UTTAR_PRADESH__NAGINA,Nagina,BSP,GIRISH CHANDRA,56.30537636112917,Uttar Pradesh,UTTAR_PRADESH__NAGINA,Nagina,ASPKR,CHANDRASHEKHAR,51.18850138269835,Uttar Pradesh,Nagina,True,51.18850138269835,-54.97990345232934,11.222016519416762,106.16840483502769,15.127588751856337,2.482946155097829,51.18850138269835,151473.0,-5.116874978430822,40,4.872411248143663,12.414730775489144,22.444033038833524,79.73117506246633
Bihar,BIHAR__SHEOHAR,BIHAR__SHEOHAR,Sheohar,BJP,RAMA DEVI,60.59156306399126,Bihar,BIHAR__SHEOHAR,Sheohar,JDU,LOVELY ANAND,45.15072915739076,Bihar,Sheohar,True,45.15072915739076,-60.59156306399126,4.722799657560443,105.74229222138202,2.7607943145238423,2.591505505909608,45.15072915739076,29143.0,-15.440833906600503,40,17.239205685476158,12.957527529548042,9.445599315120885,79.64233253014508
Uttar Pradesh,UTTAR_PRADESH__SALEMPUR,UTTAR_PRADESH__SALEMPUR,Salempur,BJP,RAVINDER,50.72421351128108,Uttar Pradesh,UTTAR_PRADESH__SALEMPUR,Salempur,SP,RAMASHANKAR RAJBHAR,44.19978154752432,Uttar Pradesh,Salempur,True,44.19978154752432,-29.7309099909699,3.4154970524397896,73.93069153849422,0.3894863750624111,2.530289959911696,44.19978154752432,3573.0,-6.524431963756761,40,19.61051362493759,12.651449799558481,6.830994104879579,79.09295752937565
Meghalaya,MEGHALAYA__SHILLONG,MEGHALAYA__SHILLONG,Shillong,INC,VINCENT H. PALA,53.51879008913656,Meghalaya,MEGHALAYA__SHILLONG,Shillong,VOTPP,DR. RICKY ANDREW J. SYNGKON,55.0218660366833,Meghalaya,Shillong,True,55.0218660366833,-34.329476169156905,12.58254730229487,89.35134220584021,35.83255211670365,2.672586480293815,55.0218660366833,371910.0,1.5030759475467406,40,0.0,13.362932401469074,25.16509460458974,78.5280270060588
Uttar Pradesh,UTTAR_PRADESH__MUZAFFARNAGAR,UTTAR_PRADESH__MUZAFFARNAGAR,Muzaffarnagar,BJP,Sanjeev Kumar Balyan,49.460765763474825,Uttar Pradesh,UTTAR_PRADESH__MUZAFFARNAGAR,Muzaffarnagar,SP,HARENDRA SINGH MALIK,43.639058877190315,Uttar Pradesh,Muzaffarnagar,True,43.639058877190315,-48.89821398862656,3.724106357825259,92.53727286581687,2.287263284659147,2.6367929249142046,43.639058877190315,24672.0,-5.82170688628451,40,17.712736715340853,13.183964624571022,7.448212715650518,78.34491405556238
Bihar,BIHAR__NAWADA,BIHAR__NAWADA,Nawada,LJP,Chandan Singh,52.59458736797876,Bihar,BIHAR__NAWADA,Nawada,BJP,VIVEK THAKUR,47.20337521698645,Bihar,Nawada,True,47.20337521698645,-52.59458736797876,6.431157735511359,99.7979625849652,7.779323347166823,2.61654151650674,47.20337521698645,67670.0,-5.39121215099231,40,12.220676652833177,13.082707582533699,12.862315471022718,78.1656997063896
Uttar Pradesh,UTTAR_PRADESH__HAMIRPUR,UTTAR_PRADESH__HAMIRPUR,Hamirpur,BJP,KUNWAR PUSHPENDRA SINGH CHANDEL,52.77423475239911,Uttar Pradesh,UTTAR_PRADESH__HAMIRPUR,Hamirpur,SP,AJENDRA SINGH LODHI,43.99564601062136,Uttar Pradesh,Hamirpur,True,43.99564601062136,-21.466839641448782,2.791705509108265,65.46248565207014,0.2357215419362788,2.5477390971895497,43.99564601062136,2629.0,-8.778588741777753,40,19.76427845806372,12.738695485947748,5.58341101821653,78.08638496222801
Maharashtra,MAHARASHTRA__AMRAVATI,MAHARASHTRA__AMRAVATI,Amravati,IND,Navnit Ravi Rana,45.93256831043209,Maharashtra,MAHARASHTRA__AMRAVATI,Amravati,INC,BALWANT BASWANT WANKHADE,44.8432529893599,Maharashtra,Amravati,True,44.8432529893599,-45.91279972220752,3.4421010333869457,90.7560527115674,1.6812673028402827,2.544628621771213,44.8432529893599,19731.0,-1.089315321072192,40,18.318732697159717,12.723143108856066,6.8842020667738915,77.92607787278968
Telangana,TELANGANA__MEDAK,TELANGANA__MEDAK,Medak,TRS,Kotha Prabhakar Reddy,51.820212254493256,Telangana,TELANGANA__MEDAK,Medak,BJP,MADHAVANENI RAGHUNANDAN RAO,33.992478930400885,Telangana,Medak,True,28.623491331581352,-51.820212254493256,1.6889333237879078,80.4437035860746,2.823394811428617,3.3904993129681404,33.992478930400885,39139.0,-17.82773332409237,40,17.176605188571383,16.9524965648407,3.3778666475758157,77.5069684009879
