state,party_id,avg_vote_share_2019,avg_vote_share_2024,avg_swing,max_swing,min_swing,constituencies_seen,seats_2019,seats_2024,seat_change,alliance_2024
Gujarat,RSPS,0.1152889333327217,0.1162493452069146,0.0009604118741929069,0.2324986904138292,-0.2305778666654434,2,0,0,0,UNKNOWN
Gujarat,IND,0.2763302928596215,0.2301883177433498,-0.04614197511627175,0.7217122514272739,-4.315969767742908,26,0,0,0,OTHER
Gujarat,BSCP,0.0468647984966567,0.0,-0.0468647984966567,-0.0468647984966567,-0.0468647984966567,1,0,0,0,UNKNOWN
Gujarat,REALDP,0.0497935253441556,0.0,-0.0497935253441556,-0.0497935253441556,-0.0497935253441556,1,0,0,0,UNKNOWN
Gujarat,SABHP,0.0541040715105337,0.0,-0.0541040715105337,-0.0541040715105337,-0.0541040715105337,1,0,0,0,UNKNOWN
Gujarat,YUS,0.0557300577023138,0.0,-0.0557300577023138,-0.043883188151845,-0.0675769272527826,2,0,0,0,UNKNOWN
Gujarat,LOGAP,0.0568809361079286,0.0,-0.0568809361079286,-0.0568809361079286,-0.0568809361079286,1,0,0,0,UNKNOWN
Gujarat,BSDL,0.057861987866894,0.0,-0.057861987866894,-0.057861987866894,-0.057861987866894,1,0,0,0,UNKNOWN
Gujarat,PPOI,0.0617805543234778,0.0,-0.0617805543234778,-0.0601827759328798,-0.0633783327140758,2,0,0,0,UNKNOWN
Gujarat,RNNBP,0.0620022048626242,0.0,-0.0620022048626242,-0.0620022048626242,-0.0620022048626242,1,0,0,0,UNKNOWN
Gujarat,LORP,0.0631512755214011,0.0,-0.0631512755214011,-0.0631512755214011,-0.0631512755214011,1,0,0,0,UNKNOWN
Gujarat,SUCI(C),0.06407812548405134,0.0,-0.06407812548405134,-0.0554273717945777,-0.072728879173525,2,0,0,0,UNKNOWN
Gujarat,BMFP,0.0701927765251794,0.0,-0.0701927765251794,-0.0701927765251794,-0.0701927765251794,1,0,0,0,UNKNOWN
Gujarat,BAHUMP,0.0750568189593735,0.0,-0.0750568189593735,-0.0750568189593735,-0.0750568189593735,1,0,0,0,UNKNOWN
Gujarat,JANSAPP,0.0779534167676736,0.0,-0.0779534167676736,-0.0525564078698205,-0.1095741546169295,4,0,0,0,UNKNOWN
Gujarat,STBSP,0.080095652654504,0.0,-0.080095652654504,-0.0435773819626335,-0.1166139233463745,2,0,0,0,UNKNOWN
Gujarat,MANPA,0.0878122975378781,0.0,-0.0878122975378781,-0.0616835703052283,-0.1139410247705279,2,0,0,0,UNKNOWN
Gujarat,AINHCP,0.0897453098462958,0.0,-0.0897453098462958,-0.0897453098462958,-0.0897453098462958,1,0,0,0,UNKNOWN
Gujarat,RPWP,0.18648189972100043,0.09592231981350614,-0.09055957990749434,0.0257966215503545,-0.2069157813653432,2,0,0,0,UNKNOWN
Gujarat,BRP,0.0916873240425976,0.0,-0.0916873240425976,-0.0916873240425976,-0.0916873240425976,1,0,0,0,UNKNOWN
Gujarat,PPID,0.0923511620041952,0.0,-0.0923511620041952,-0.0727164040183586,-0.1119859199900318,2,0,0,0,UNKNOWN
Gujarat,ABJS,0.0932656601071021,0.0,-0.0932656601071021,-0.0932656601071021,-0.0932656601071021,1,0,0,0,UNKNOWN
Gujarat,SANVP,0.09459790147195603,0.0,-0.09459790147195603,-0.0412838355435475,-0.1856965796168649,3,0,0,0,UNKNOWN
Gujarat,BNJD,0.2392158786311645,0.13690496416863546,-0.10231091446252899,-0.0858549362428879,-0.1187668926821701,2,0,0,0,UNKNOWN
Gujarat,APOI,0.1058149051577494,0.0,-0.1058149051577494,-0.1058149051577494,-0.1058149051577494,1,0,0,0,UNKNOWN
Gujarat,RVZP,0.1058806437871454,0.0,-0.1058806437871454,-0.1058806437871454,-0.1058806437871454,1,0,0,0,UNKNOWN
Gujarat,ANC,0.12715911195957968,0.0,-0.12715911195957968,-0.0562539021665814,-0.198064321752578,2,0,0,0,UNKNOWN
Gujarat,BSP,0.9011087439330737,0.7677723355304461,-0.1333364084026276,0.4991645628888618,-1.875298557114172,25,0,0,0,OTHER
Gujarat,YJJP,0.14474861838141592,0.0,-0.14474861838141592,-0.0527604273505039,-0.3117770062208144,6,0,0,0,UNKNOWN
Gujarat,AICP,0.15141503227262393,0.0,-0.15141503227262393,-0.1468485243154977,-0.1559815402297502,2,0,0,0,UNKNOWN
