state_2019,constituency_id_2019,constituency_id,constituency_2019,party_2019,winner_2019,vote_share_2019,state_2024,constituency_id_2024,constituency_2024,party_2024,winner_2024,vote_share_2024,state,constituency,seat_flipped
Andhra Pradesh,ANDHRA_PRADESH__VIZIANAGARAM,ANDHRA_PRADESH__VIZIANAGARAM,Vizianagaram,YSRCP,Bellana Chandra Sekhar,47.493451789570486,Andhra Pradesh,ANDHRA_PRADESH__VIZIANAGARAM,Vizianagaram,TDP,APPALANAIDU KALISETTI,57.19588806396345,Andhra Pradesh,Vizianagaram,True
Arunachal Pradesh,ARUNACHAL_PRADESH__ARUNACHAL_EAST,ARUNACHAL_PRADESH__ARUNACHAL_EAST,ARUNACHAL EAST,BJP,Tapir Gao,52.38017434755822,Arunachal Pradesh,ARUNACHAL_PRADESH__ARUNACHAL_EAST,Arunachal East,BJP,TAPIR GAO,45.00978534084831,Arunachal Pradesh,Arunachal East,False
Arunachal Pradesh,ARUNACHAL_PRADESH__ARUNACHAL_WEST,ARUNACHAL_PRADESH__ARUNACHAL_WEST,ARUNACHAL WEST,BJP,KIREN RIJIJU,63.016940637995035,Arunachal Pradesh,ARUNACHAL_PRADESH__ARUNACHAL_WEST,Arunachal West,BJP,KIREN RIJIJU,51.37942591870016,Arunachal Pradesh,Arunachal West,False
Assam,ASSAM__AUTONOMOUS_DISTRICT,ASSAM__DIPHU,Autonomous District,BJP,HOREN SING BEY,61.72808728661967,Assam,ASSAM__DIPHU,Diphu,BJP,AMARSING TISSO,49.00509206577947,Assam,Diphu,False
Assam,ASSAM__BARPETA,ASSAM__BARPETA,Barpeta,INC,Abdul Khaleque,44.233892724893025,Assam,ASSAM__BARPETA,Barpeta,AGP,PHANI BHUSAN CHOUDHURY,51.01673069611488,Assam,Barpeta,True
Assam,ASSAM__DHUBRI,ASSAM__DHUBRI,Dhubri,AIUDF,BADRUDDIN AJMAL,42.65649063355895,Assam,ASSAM__DHUBRI,Dhubri,INC,RAKIBUL HUSSAIN,59.98859638540467,Assam,Dhubri,True
Assam,ASSAM__DIBRUGARH,ASSAM__DIBRUGARH,Dibrugarh,BJP,RAMESWAR TELI,64.93569271118427,Assam,ASSAM__DIBRUGARH,Dibrugarh,BJP,SARBANANDA SONOWAL,54.27130253566786,Assam,Dibrugarh,False
Assam,ASSAM__GAUHATI,ASSAM__GUWAHATI,Gauhati,BJP,QUEEN OJA,57.203798482444014,Assam,ASSAM__GUWAHATI,Guwahati,BJP,BIJULI KALITA MEDHI,55.95180409518885,Assam,Guwahati,False
Assam,ASSAM__JORHAT,ASSAM__JORHAT,Jorhat,BJP,TOPON KUMAR GOGOI,51.35217138563185,Assam,ASSAM__JORHAT,Jorhat,INC,GAURAV GOGOI,54.039147186520594,Assam,Jorhat,True
Assam,ASSAM__KALIABOR,ASSAM__KAZIRANGA,Kaliabor,INC,Gaurav Gogoi,55.17647034050286,Assam,ASSAM__KAZIRANGA,Kaziranga,BJP,KAMAKHYA PRASAD TASA,55.0354400200744,Assam,Kaziranga,True
