state,constituency_id,constituency_x,actual_winner,actual_party,actual_vote_share,constituency_y,sim_winner,sim_party,sim_vote_share,sim_alliance,flipped,volatility_score,top2_margin_pct,effective_num_parties
West Bengal,WEST_BENGAL__KOLKATA_DAKSHIN,Kolkata Dakshin,MALA ROY,AITC,49.48012709523377,Kolkata Dakshin,MALA ROY,AITC,50.72649462212314,INDIA,False,18.49967627587706,15.057053729180351,2.6194522423121076
Tamil Nadu,TAMIL_NADU__MADURAI,MADURAI,VENKATESAN S,CPIM,43.6004575624969,MADURAI,VENKATESAN S,CPIM,43.60045756249689,INDIA,False,18.396287717250324,21.217383727351116,3.420957269031287
Gujarat,GUJARAT__JUNAGADH,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,BJP,54.673284324967966,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,BJP,54.673284324967966,NDA,False,18.280524621879085,12.683699460708285,2.103120758452289
Kerala,KERALA__KOLLAM,Kollam,N K PREMACHANDRAN,RSP,48.44734741304654,Kollam,N K PREMACHANDRAN,RSP,48.44734741304654,UNKNOWN,False,18.255056201438933,16.414052338616415,2.708840407855445
West Bengal,WEST_BENGAL__ULUBERIA,Uluberia,SAJDA AHMED,AITC,52.10131766458584,Uluberia,SAJDA AHMED,AITC,53.33464444237397,INDIA,False,17.95771362594238,15.722889227304693,2.4514755987012733
Karnataka,KARNATAKA__BELGAUM,Belgaum,JAGADISH SHETTAR,BJP,55.06431512932034,Belgaum,JAGADISH SHETTAR,BJP,55.06431512932034,NDA,False,17.93590377008171,12.893880939873064,2.07836083302846
Uttar Pradesh,UTTAR_PRADESH__MATHURA,Mathura,HEMAMALINI DHARMENDRA DEOL,BJP,53.295661859513544,Mathura,HEMAMALINI DHARMENDRA DEOL,BJP,51.8137998580945,NDA,False,17.566878430020083,30.657565049119896,2.6709219172350416
Jharkhand,JHARKHAND__HAZARIBAGH,Hazaribagh,MANISH JAISWAL,BJP,51.7616890454167,Hazaribagh,MANISH JAISWAL,BJP,51.761689045416695,NDA,False,17.475196859773334,21.8781703009567,2.679581236702276
Bihar,BIHAR__PATNA_SAHIB,Patna Sahib,RAVI SHANKAR PRASAD,BJP,54.69755350089633,Patna Sahib,RAVI SHANKAR PRASAD,BJP,54.69755350089635,NDA,False,17.468414430486586,14.304655712341102,2.1618387951475997
Karnataka,KARNATAKA__UDUPI_CHIKMAGALUR,Udupi Chikmagalur,KOTA SRINIVAS POOJARY,BJP,59.55940127767773,Udupi Chikmagalur,KOTA SRINIVAS POOJARY,BJP,59.55940127767773,NDA,False,17.44862185730932,21.08111317712934,1.9884659491219865
Rajasthan,RAJASTHAN__JALORE,JALORE,LUMBARAM,BJP,54.9079128897146,JALORE,LUMBARAM,BJP,54.907912889714595,NDA,False,17.371486369671555,13.888731922658671,2.127515935747559
Odisha,ODISHA__MAYURBHANJ,Mayurbhanj,NABA CHARAN MAJHI,BJP,49.91022528853115,Mayurbhanj,NABA CHARAN MAJHI,BJP,49.91022528853116,NDA,False,17.16633082381318,18.68182786082364,2.7734258282954367
Gujarat,GUJARAT__VALSAD,Valsad,DHAVAL LAXMANBHAI PATEL,BJP,56.134848330151584,Valsad,DHAVAL LAXMANBHAI PATEL,BJP,56.134848330151584,NDA,False,17.122758906383524,15.476883909414568,2.0803897876000876
Tamil Nadu,TAMIL_NADU__ARAKKONAM,ARAKKONAM,S JAGATHRATCHAKAN,DMK,48.39365469977368,ARAKKONAM,S JAGATHRATCHAKAN,DMK,48.39365469977368,INDIA,False,17.017402979641798,26.340711895805377,3.120571980783814
Uttar Pradesh,UTTAR_PRADESH__GHAZIABAD,Ghaziabad,ATUL GARG,BJP,58.089810463605886,Ghaziabad,ATUL GARG,BJP,56.65637420566253,NDA,False,16.94091362924917,22.916085770828943,2.154597373386125
Kerala,KERALA__ERNAKULAM,Ernakulam,HIBI EDEN,INC,52.97264585909751,Ernakulam,HIBI EDEN,INC,52.9726458590975,INDIA,False,16.834614202935082,27.499665019956023,2.6833178562395728
Tamil Nadu,TAMIL_NADU__POLLACHI,POLLACHI,ESWARASAMY K,DMK,47.36728993956725,POLLACHI,ESWARASAMY K,DMK,47.36728993956725,INDIA,False,16.79296940791396,22.382942067146523,3.0395999246760512
Madhya Pradesh,MADHYA_PRADESH__SIDHI,SIDHI,DR. RAJESH MISHRA,BJP,50.86527599576035,SIDHI,DR. RAJESH MISHRA,BJP,50.86527599576035,NDA,False,16.728376887298158,17.99202276023653,2.6965984662857325
Puducherry,PUDUCHERRY__PUDUCHERRY,PUDUCHERRY,VE. VAITHILINGAM,INC,52.72730648315469,PUDUCHERRY,VE. VAITHILINGAM,INC,52.7273064831547,INDIA,False,16.61076059379276,16.89679926727232,2.4393296676291056
Assam,ASSAM__LAKHIMPUR,Lakhimpur,PRADAN BARUAH,BJP,54.74854154592005,Lakhimpur,PRADAN BARUAH,BJP,54.748541545920034,NDA,False,16.60482785634962,16.616138849121633,2.242527025631334
Uttar Pradesh,UTTAR_PRADESH__HATHRAS,Hathras,ANOOP PRADHAN BALMIKI,BJP,51.2363307226245,Hathras,ANOOP PRADHAN BALMIKI,BJP,48.991373853357715,NDA,False,16.540478079167737,22.84228609428107,2.647256050074662
Jammu and Kashmir,JAMMU_AND_KASHMIR__SRINAGAR,SRINAGAR,AGA SYED RUHULLAH MEHDI,JKN,52.85008930131716,SRINAGAR,AGA SYED RUHULLAH MEHDI,JKN,52.85008930131717,UNKNOWN,False,16.47259992848445,27.903477568042277,2.8369683077873873
Haryana,HARYANA__KARNAL,KARNAL,MANOHAR LAL,BJP,54.92899876067322,KARNAL,MANOHAR LAL,BJP,54.92899876067322,NDA,False,16.450756664698382,17.280509877464162,2.249101299254505
Madhya Pradesh,MADHYA_PRADESH__DHAR,DHAR,SAVITRI THAKUR,BJP,55.74908564226789,DHAR,SAVITRI THAKUR,BJP,55.74908564226789,NDA,False,16.395283938870413,15.344438487513372,2.108071772588356
Jammu and Kashmir,JAMMU_AND_KASHMIR__ANANTNAG-RAJOURI,ANANTNAG-RAJOURI,MIAN ALTAF AHMAD,JKN,50.8538729306104,ANANTNAG-RAJOURI,MIAN ALTAF AHMAD,JKN,50.853872930610386,UNKNOWN,False,16.2403664292556,27.46134085921329,2.995924814516862
Bihar,BIHAR__DARBHANGA,Darbhanga,GOPAL JEE THAKUR,BJP,55.32501972301852,Darbhanga,GOPAL JEE THAKUR,BJP,55.32501972301852,NDA,False,16.22479507621869,17.394921225092368,2.217436508259608
Tamil Nadu,TAMIL_NADU__TIRUVANNAMALAI,TIRUVANNAMALAI,"ANNADURAI, C.N.",DMK,47.752934946561595,TIRUVANNAMALAI,"ANNADURAI, C.N.",DMK,47.752934946561595,INDIA,False,15.975977866688671,20.407965641692684,3.057961877883576
Tamil Nadu,TAMIL_NADU__CHENNAI_SOUTH,CHENNAI SOUTH,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,DMK,46.99519066769397,CHENNAI SOUTH,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,DMK,46.99519066769397,INDIA,False,15.959645308485614,20.553141439124698,3.110897306246904
Odisha,ODISHA__BARGARH,Bargarh,PRADEEP PUROHIT,BJP,54.689570825673506,Bargarh,PRADEEP PUROHIT,BJP,54.689570825673506,NDA,False,15.892549812841692,19.213216028534266,2.324337157486566
Tamil Nadu,TAMIL_NADU__SRIPERUMBUDUR,SRIPERUMBUDUR,T R BAALU,DMK,52.647135366966594,SRIPERUMBUDUR,T R BAALU,DMK,52.647135366966594,INDIA,False,15.86293413986258,33.79951212233724,2.908494038113409
Assam,ASSAM__GUWAHATI,Guwahati,BIJULI KALITA MEDHI,BJP,55.95180409518885,Guwahati,BIJULI KALITA MEDHI,BJP,55.95180409518884,NDA,False,15.632687780055544,15.699120101488752,2.103670826534538
Karnataka,KARNATAKA__BANGALORE_NORTH,Bangalore North,SHOBHA KARANDLAJE,BJP,56.26514975144137,Bangalore North,SHOBHA KARANDLAJE,BJP,56.26514975144137,NDA,False,15.626256964778696,14.80601470809767,2.0469059969442287
Maharashtra,MAHARASHTRA__THANE,Thane,NARESH GANPAT MHASKE,SHS,56.08807181903461,Thane,NARESH GANPAT MHASKE,SHS,55.532744375281794,NDA,False,15.566902700737309,16.577519273253948,2.123228510512383
Chhattisgarh,CHHATTISGARH__RAIGARH,RAIGARH,RADHESHYAM RATHIYA,BJP,55.629351016714104,RAIGARH,RADHESHYAM RATHIYA,BJP,55.62935101671411,NDA,False,15.445259671624136,16.544858272566792,2.1617576760531305
Tamil Nadu,TAMIL_NADU__TIRUVALLUR,TIRUVALLUR,Sasikanth Senthil,INC,56.21027329434368,TIRUVALLUR,Sasikanth Senthil,INC,56.21027329434368,INDIA,False,15.389104184196317,40.35478610704381,2.6766801300619822
Tamil Nadu,TAMIL_NADU__PERAMBALUR,PERAMBALUR,ARUN NEHRU,DMK,53.41791634269845,PERAMBALUR,ARUN NEHRU,DMK,53.41791634269845,INDIA,False,15.365308962912964,34.45784989010171,2.8408801832751016
Tamil Nadu,TAMIL_NADU__KANNIYAKUMARI,KANNIYAKUMARI,VIJAYAKUMAR (Alias) VIJAY VASANTH,INC,53.08248830237451,KANNIYAKUMARI,VIJAYAKUMAR (Alias) VIJAY VASANTH,INC,53.08248830237452,INDIA,False,15.349588875946448,17.48273901783675,2.4224505081077896
Maharashtra,MAHARASHTRA__RAVER,Raver,KHADSE RAKSHA NIKHIL,BJP,53.84461100689104,Raver,KHADSE RAKSHA NIKHIL,BJP,52.41712474937221,NDA,False,15.290622551421242,23.23042573566187,2.5778753768544975
Jharkhand,JHARKHAND__KODARMA,Kodarma,ANNPURNA DEVI,BJP,57.7867009644049,Kodarma,ANNPURNA DEVI,BJP,57.7867009644049,NDA,False,15.27500215204716,27.51999322609937,2.3392343206840205
Tamil Nadu,TAMIL_NADU__VELLORE,VELLORE,DM KATHIR ANAND,DMK,50.350876261003066,VELLORE,DM KATHIR ANAND,DMK,50.35087626100307,INDIA,False,15.169130887713797,19.097832765804483,2.7443557067673896
Goa,GOA__NORTH_GOA,North Goa,SHRIPAD YESSO NAIK,BJP,56.436718698688615,North Goa,SHRIPAD YESSO NAIK,BJP,56.436718698688615,NDA,False,15.054318029439528,25.450883376754163,2.354186432263914
Tamil Nadu,TAMIL_NADU__THOOTHUKKUDI,THOOTHUKKUDI,KANIMOZHI KARUNANIDHI,DMK,55.259543435739054,THOOTHUKKUDI,KANIMOZHI KARUNANIDHI,DMK,55.259543435739054,INDIA,False,15.004343943869742,40.13567345170184,2.7837713200007848
Uttar Pradesh,UTTAR_PRADESH__GAUTAM_BUDDHA_NAGAR,Gautam Buddha Nagar,DR. MAHESH SHARMA,BJP,59.68569011246525,Gautam Buddha Nagar,DR. MAHESH SHARMA,BJP,57.39869662931865,NDA,False,14.8979066134533,38.92672364608933,2.3252988109135715
Rajasthan,RAJASTHAN__PALI,PALI,P. P. CHAUDHARY,BJP,55.9436773271918,PALI,P. P. CHAUDHARY,BJP,55.943677327191786,NDA,False,14.860667916284788,18.122572648802446,2.190075381913587
Tamil Nadu,TAMIL_NADU__CHENNAI_NORTH,CHENNAI NORTH,DR.KALANIDHI VEERASWAMY,DMK,55.106821246574754,CHENNAI NORTH,DR.KALANIDHI VEERASWAMY,DMK,55.10682124657477,INDIA,False,14.855868623793702,37.587383336528205,2.764482137934255
West Bengal,WEST_BENGAL__BOLPUR,Bolpur,ASIT KUMAR MAL,AITC,55.979705195391475,Bolpur,ASIT KUMAR MAL,AITC,57.19373651282733,INDIA,False,14.76205323083599,21.410495462783047,2.286426342421013
West Bengal,WEST_BENGAL__BASIRHAT,Basirhat,SK NURUL ISLAM,AITC,52.76102615135476,Basirhat,SK NURUL ISLAM,AITC,53.991070797367925,INDIA,False,14.738312394642506,21.894891758637417,2.611236457172108
Karnataka,KARNATAKA__SHIMOGA,Shimoga,B.Y.RAGHAVENDRA,BJP,56.542799137976104,Shimoga,B.Y.RAGHAVENDRA,BJP,56.542799137976104,NDA,False,14.734766769132833,17.6961046278601,2.12243813672544
Jharkhand,JHARKHAND__CHATRA,Chatra,KALI CHARAN SINGH,BJP,52.88715469066562,Chatra,KALI CHARAN SINGH,BJP,52.88715469066562,NDA,False,14.523723895894069,20.33899709218037,2.5806571344939067
Tamil Nadu,TAMIL_NADU__ERODE,ERODE,K.E.PRAKASH,DMK,51.42922729812708,ERODE,K.E.PRAKASH,DMK,51.42922729812708,INDIA,False,14.379085771455827,21.63535978299342,2.7449687525308257
Jharkhand,JHARKHAND__PALAMU,Palamu,VISHNU DAYAL RAM,BJP,55.392316884992,Palamu,VISHNU DAYAL RAM,BJP,55.392316884992,NDA,False,14.344906779560992,20.76645637064638,2.334059553492403
Gujarat,GUJARAT__BARDOLI,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,BJP,57.03958612234597,Bardoli,PARBHUBHAI NAGARBHAI VASAVA,BJP,57.03958612234599,NDA,False,14.186666883697232,17.191617021308367,2.063359638498746
Rajasthan,RAJASTHAN__BHILWARA,BHILWARA,DAMODAR AGARWAL,BJP,61.91682734141115,BHILWARA,DAMODAR AGARWAL,BJP,61.916827341411164,NDA,False,14.066006817784434,27.18547679192269,1.9833264442099907
