candidate_election_id,candidate_clean,candidate_raw,party_id,state,constituency,election_year
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_NOTA_NOTA,NOTA,NOTA,NOTA,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_PPOI_M_VENKATESULU,M.VENKATESULU,M.VENKATESULU,PPOI,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_RD_P_RADHA_KRISHNA,P.RADHA KRISHNA,P.RADHA KRISHNA,RD,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_SUCIC_G_LALITHA,G. LALITHA,G. LALITHA,SUCI(C),Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_TDP_J_C_PAVAN_REDDY,J.C. PAVAN REDDY,J.C. PAVAN REDDY,TDP,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_VJNP_GADIDAMA_RANGANAYAKULU,GADIDAMA RANGANAYAKULU,GADIDAMA RANGANAYAKULU,VJNP,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ANANTAPUR_YSRCP_TALARI_RANGAIAH,TALARI RANGAIAH,TALARI RANGAIAH,YSRCP,Andhra Pradesh,Anantapur,2019
CAND_2019_ANDHRA_PRADESH_ARUKU_BJP_DR_KOSURI_KASI_VISWANADHA_VEERA_VENKATA_SATYANARAYANA_REDDY,DR. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,Andhra Pradesh,Aruku,2019
CAND_2019_ANDHRA_PRADESH_ARUKU_INC_SHRUTI_DEVI_VYRICHERLA,SHRUTI DEVI VYRICHERLA,SHRUTI DEVI VYRICHERLA,INC,Andhra Pradesh,Aruku,2019
CAND_2019_ANDHRA_PRADESH_ARUKU_IND_KANGALA_BALUDORA,KANGALA BALUDORA,KANGALA BALUDORA,IND,Andhra Pradesh,Aruku,2019
CAND_2019_ANDHRA_PRADESH_ARUKU_IND_NARAVA_SATYAVATHI,NARAVA SATYAVATHI,NARAVA SATYAVATHI,IND,Andhra Pradesh,Aruku,2019
