election_year,party,alliance_2019
2019,PLM,OTHER
2019,SAVIPA,OTHER
2019,JHAP,OTHER
2019,ALINLBP,OTHER
2019,UTSAP,OTHER
2019,AIJAP,OTHER
2019,grac,OTHER
2019,STPI,OTHER
2019,SWJP,OTHER
2019,AKBJHP,OTHER
2019,JASP,OTHER
2019,RAHM,OTHER
