election_year,election_type,constituency_id,state,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes,party_raw,party_clean,party_id,candidate_raw,candidate_clean,candidate_election_id
2019,lok_sabha,ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,PANTHAGADA VIJAYA CHAKRAVARTHY,RPI(KH),1804.0,0.1463222739973801,9.0,False,,RPI(KH),RPI(KH),RPI(KH),PANTHAGADA VIJAYA CHAKRAVARTHY,PANTHAGADA VIJAYA CHAKRAVARTHY,CAND_2019_ANDHRA_PRADESH_AMALAPURAM_RPIKH_PANTHAGADA_VIJAYA_CHAKRAVARTHY
2019,lok_sabha,ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,MURALIKRISHNA KANDERI,IPBP,1804.0,0.1463222739973801,10.0,False,,IPBP,IPBP,IPBP,MURALIKRISHNA KANDERI,MURALIKRISHNA KANDERI,CAND_2019_ANDHRA_PRADESH_AMALAPURAM_IPBP_MURALIKRISHNA_KANDERI
2019,lok_sabha,ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,CHELLE RAJANI,JAJGP,1231.0,0.0998462967243763,11.0,False,,JAJGP,JAJGP,JAJGP,CHELLE RAJANI,CHELLE RAJANI,CAND_2019_ANDHRA_PRADESH_AMALAPURAM_JAJGP_CHELLE_RAJANI
2019,lok_sabha,ANDHRA_PRADESH__ANAKAPALLI,Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,YSRCP,586226.0,47.33389261609491,1.0,True,89192.0,YSRCP,YSRCP,YSRCP,Dr.Beesetti Venkata Satyavathi,DR.BEESETTI VENKATA SATYAVATHI,CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_YSRCP_DR_BEESETTI_VENKATA_SATYAVATHI
2019,lok_sabha,ANDHRA_PRADESH__ANAKAPALLI,Andhra Pradesh,Anakapalli,ADARI ANAND KUMAR,TDP,497034.0,40.13222542594173,2.0,False,,TDP,TDP,TDP,ADARI ANAND KUMAR,ADARI ANAND KUMAR,CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_TDP_ADARI_ANAND_KUMAR
2019,lok_sabha,ANDHRA_PRADESH__ANAKAPALLI,Andhra Pradesh,Anakapalli,Chintala Partha Sarathi,JnP,82588.0,6.668437639030078,3.0,False,,JnP,JNP,JNP,Chintala Partha Sarathi,CHINTALA PARTHA SARATHI,CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_JNP_CHINTALA_PARTHA_SARATHI
2019,lok_sabha,ANDHRA_PRADESH__ANAKAPALLI,Andhra Pradesh,Anakapalli,NOTA,NOTA,34897.0,2.8177031565025503,4.0,False,,NOTA,NOTA,NOTA,NOTA,NOTA,CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_NOTA_NOTA
2019,lok_sabha,ANDHRA_PRADESH__ANAKAPALLI,Andhra Pradesh,Anakapalli,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),BJP,13276.0,1.0719496548622478,5.0,False,,BJP,BJP,BJP,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),DR. GANDI VENKATA SATYANARAYANA RAO DR VIKRAM,CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_BJP_DR_GANDI_VENKATA_SATYANARAYANA_RAO_DR_VIKRAM
2019,lok_sabha,ANDHRA_PRADESH__ANAKAPALLI,Andhra Pradesh,Anakapalli,Ruthala Srirama Murthy,INC,10121.0,0.8172041621618567,6.0,False,,INC,INC,INC,Ruthala Srirama Murthy,RUTHALA SRIRAMA MURTHY,CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_INC_RUTHALA_SRIRAMA_MURTHY
2019,lok_sabha,ANDHRA_PRADESH__ANAKAPALLI,Andhra Pradesh,Anakapalli,Vadlamuri Krishna Swaroop,DABAP,4444.0,0.3588237621428012,7.0,False,,DABAP,DABAP,DABAP,Vadlamuri Krishna Swaroop,VADLAMURI KRISHNA SWAROOP,CAND_2019_ANDHRA_PRADESH_ANAKAPALLI_DABAP_VADLAMURI_KRISHNA_SWAROOP
