election_year,election_type,state,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes
2024,lok_sabha,Andhra Pradesh,Ananthapur,KETHIREDDY RAGHUNATHAREDDY,IND,1091.0,0.0757413768685418,15.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,SREERANGARAJULA GOPINATH ROYAL,IND,904.0,0.0627591243713674,16.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,SHAIK.NIZAM,SP,753.0,0.0522761290394244,17.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,RAMAVTH CHINNA RAMAPPA NAIK,JRBP,745.0,0.0517207385582618,18.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,KURUBA MALLIKARJUNA.S.,AINDKSJNTP,578.0,0.0401269622639937,19.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,B.NAGAMUTHYALU,SUCI,570.0,0.0395715717828312,20.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,SRINIVASA RAJU.O,BYPP,494.0,0.034295362211787,21.0,False,
2024,lok_sabha,Andhra Pradesh,Ananthapur,DURGA PRASAD D BYATARAYANAJI,CHALP,444.0,0.0308241717045211,22.0,False,
2024,lok_sabha,Andhra Pradesh,Araku,GUMMA THANUJA RANI,YSRCP,477005.0,40.96415030336341,1.0,True,50580.0
2024,lok_sabha,Andhra Pradesh,Araku,KOTHAPALLI GEETHA,BJP,426425.0,36.62045008566312,2.0,False,
2024,lok_sabha,Andhra Pradesh,Araku,APPALANARASA PACHIPENTA,CPI(M),123129.0,10.574050298640126,3.0,False,
2024,lok_sabha,Andhra Pradesh,Araku,NOTA,NOTA,50470.0,4.334253657321729,4.0,False,
2024,lok_sabha,Andhra Pradesh,Araku,AVASHYA LAHARI . VARAM,BSP,25750.0,2.2113539067968,5.0,False,
2024,lok_sabha,Andhra Pradesh,Araku,SAMAREDDY BALAKRISHNA,IND,9535.0,0.81884502917699,6.0,False,
2024,lok_sabha,Andhra Pradesh,Araku,NIMMAKA JAYARAJU,IND,9462.0,0.812575948198498,7.0,False,
2024,lok_sabha,Andhra Pradesh,Araku,ATHIDHI,IND,8136.0,0.6987019567261656,8.0,False,
2024,lok_sabha,Andhra Pradesh,Araku,CHANTI BADNAINA,JBNP,7252.0,0.6227859624112775,9.0,False,
2024,lok_sabha,Andhra Pradesh,Araku,MOTTADAM . RAJABABU,BHRTADVSIP,6766.0,0.5810493411024136,10.0,False,
2024,lok_sabha,Andhra Pradesh,Araku,RANJITH KUMAR PALAKA,IND,6047.0,0.5193031873553495,11.0,False,
