filename,geo_code,state,survey,survey_version_code,dataset_type_code,dataset_type,file_format_code,file_format,inner_data_files,size_mb,download_status,parse_ok,parse_note,path
MGHR42SD.zip,MG,Meghalaya,NFHS-4 (2015-16),42,HR,Household Recode,SD,SAS,MGHR42FL.SAS7BDAT,0.66,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MGHR42SD.zip
MGHR42SV.zip,MG,Meghalaya,NFHS-4 (2015-16),42,HR,Household Recode,SV,SPSS,MGHR42FL.SAV,0.55,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MGHR42SV.zip
MGIR42.zip,,,,,,,,,MGIR42.DAT,2.96,complete,False,Does not match DHS pattern [CC][DD][VV][FF]: MGIR42,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MGIR42.zip
MGIR42DT.zip,MG,Meghalaya,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,DT,Stata,MGIR42FL.DTA,0.73,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MGIR42DT.zip
MGIR42FL.zip,MG,Meghalaya,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,FL,Flat (ASCII/Stata .dta),MGIR42FL.DAT,2.43,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MGIR42FL.zip
MGIR42SD.zip,MG,Meghalaya,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SD,SAS,MGIR42FL.SAS7BDAT,1.01,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MGIR42SD.zip
MGIR42SV.zip,MG,Meghalaya,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,SV,SPSS,MGIR42FL.SAV,0.75,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MGIR42SV.zip
MHHR42DT.zip,MH,Maharashtra,NFHS-4 (2015-16),42,HR,Household Recode,DT,Stata,MHHR42FL.DTA,1.04,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MHHR42DT.zip
MHHR42FL.zip,MH,Maharashtra,NFHS-4 (2015-16),42,HR,Household Recode,FL,Flat (ASCII/Stata .dta),MHHR42FL.DAT,2.64,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MHHR42FL.zip
MHHR42SD.zip,MH,Maharashtra,NFHS-4 (2015-16),42,HR,Household Recode,SD,SAS,MHHR42FL.SAS7BDAT,1.47,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MHHR42SD.zip
MHHR42SV.zip,MH,Maharashtra,NFHS-4 (2015-16),42,HR,Household Recode,SV,SPSS,MHHR42FL.SAV,1.1,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MHHR42SV.zip
MHIR42.zip,,,,,,,,,MHIR42.DAT,5.42,complete,False,Does not match DHS pattern [CC][DD][VV][FF]: MHIR42,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MHIR42.zip
MHIR42DT.zip,MH,Maharashtra,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,DT,Stata,MHIR42FL.DTA,1.96,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MHIR42DT.zip
MHIR42FL.zip,MH,Maharashtra,NFHS-4 (2015-16),42,IR,Individual (Women) Recode,FL,Flat (ASCII/Stata .dta),MHIR42FL.DAT,3.69,complete,True,,/Users/maadhavangupta/Downloads/CS/Projects/Election-simulator/data/raw/dhs_downloads/MHIR42FL.zip
