state,constituency,state_key,constituency_key,variable,value,unit,source_name,source_url_or_document,source_year,geography_level,method,confidence,notes,entered_by,last_updated
Maharashtra,Nagpur,MAHARASHTRA,NAGPUR,sc_pct,,percent,,,,,,,,,
Maharashtra,Nagpur,MAHARASHTRA,NAGPUR,st_pct,,percent,,,,,,,,,
Maharashtra,Nagpur,MAHARASHTRA,NAGPUR,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Nagpur,MAHARASHTRA,NAGPUR,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Nagpur,MAHARASHTRA,NAGPUR,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Nagpur,MAHARASHTRA,NAGPUR,sex_ratio,,females_per_1000_males,,,,,,,,,
Uttar Pradesh,Faizabad,UTTAR PRADESH,FAIZABAD,urban_pct,,percent,,,,,,,,,
Uttar Pradesh,Faizabad,UTTAR PRADESH,FAIZABAD,literacy_rate,,percent,,,,,,,,,
Uttar Pradesh,Faizabad,UTTAR PRADESH,FAIZABAD,sc_pct,,percent,,,,,,,,,
Uttar Pradesh,Faizabad,UTTAR PRADESH,FAIZABAD,st_pct,,percent,,,,,,,,,
Uttar Pradesh,Faizabad,UTTAR PRADESH,FAIZABAD,religion_hindu_pct,,percent,,,,,,,,,
Uttar Pradesh,Faizabad,UTTAR PRADESH,FAIZABAD,religion_muslim_pct,,percent,,,,,,,,,
Uttar Pradesh,Faizabad,UTTAR PRADESH,FAIZABAD,population_density,,persons_per_sq_km,,,,,,,,,
Uttar Pradesh,Faizabad,UTTAR PRADESH,FAIZABAD,sex_ratio,,females_per_1000_males,,,,,,,,,
Uttar Pradesh,Kannauj,UTTAR PRADESH,KANNAUJ,urban_pct,,percent,,,,,,,,,
Uttar Pradesh,Kannauj,UTTAR PRADESH,KANNAUJ,literacy_rate,,percent,,,,,,,,,
Uttar Pradesh,Kannauj,UTTAR PRADESH,KANNAUJ,sc_pct,,percent,,,,,,,,,
Uttar Pradesh,Kannauj,UTTAR PRADESH,KANNAUJ,st_pct,,percent,,,,,,,,,
Uttar Pradesh,Kannauj,UTTAR PRADESH,KANNAUJ,religion_hindu_pct,,percent,,,,,,,,,
Uttar Pradesh,Kannauj,UTTAR PRADESH,KANNAUJ,religion_muslim_pct,,percent,,,,,,,,,
Uttar Pradesh,Kannauj,UTTAR PRADESH,KANNAUJ,population_density,,persons_per_sq_km,,,,,,,,,
Uttar Pradesh,Kannauj,UTTAR PRADESH,KANNAUJ,sex_ratio,,females_per_1000_males,,,,,,,,,
Chandigarh,Chandigarh,CHANDIGARH,CHANDIGARH,urban_pct,,percent,,,,,,,,,
Chandigarh,Chandigarh,CHANDIGARH,CHANDIGARH,literacy_rate,,percent,,,,,,,,,
Chandigarh,Chandigarh,CHANDIGARH,CHANDIGARH,sc_pct,,percent,,,,,,,,,
Chandigarh,Chandigarh,CHANDIGARH,CHANDIGARH,st_pct,,percent,,,,,,,,,
Chandigarh,Chandigarh,CHANDIGARH,CHANDIGARH,religion_hindu_pct,,percent,,,,,,,,,
Chandigarh,Chandigarh,CHANDIGARH,CHANDIGARH,religion_muslim_pct,,percent,,,,,,,,,
Chandigarh,Chandigarh,CHANDIGARH,CHANDIGARH,population_density,,persons_per_sq_km,,,,,,,,,
Chandigarh,Chandigarh,CHANDIGARH,CHANDIGARH,sex_ratio,,females_per_1000_males,,,,,,,,,
Uttar Pradesh,Rae Bareli,UTTAR PRADESH,RAE BARELI,urban_pct,,percent,,,,,,,,,
Uttar Pradesh,Rae Bareli,UTTAR PRADESH,RAE BARELI,literacy_rate,,percent,,,,,,,,,
Uttar Pradesh,Rae Bareli,UTTAR PRADESH,RAE BARELI,sc_pct,,percent,,,,,,,,,
Uttar Pradesh,Rae Bareli,UTTAR PRADESH,RAE BARELI,st_pct,,percent,,,,,,,,,
Uttar Pradesh,Rae Bareli,UTTAR PRADESH,RAE BARELI,religion_hindu_pct,,percent,,,,,,,,,
Uttar Pradesh,Rae Bareli,UTTAR PRADESH,RAE BARELI,religion_muslim_pct,,percent,,,,,,,,,
Uttar Pradesh,Rae Bareli,UTTAR PRADESH,RAE BARELI,population_density,,persons_per_sq_km,,,,,,,,,
Uttar Pradesh,Rae Bareli,UTTAR PRADESH,RAE BARELI,sex_ratio,,females_per_1000_males,,,,,,,,,
Uttar Pradesh,Varanasi,UTTAR PRADESH,VARANASI,urban_pct,,percent,,,,,,,,,
Uttar Pradesh,Varanasi,UTTAR PRADESH,VARANASI,literacy_rate,,percent,,,,,,,,,
Uttar Pradesh,Varanasi,UTTAR PRADESH,VARANASI,sc_pct,,percent,,,,,,,,,
Uttar Pradesh,Varanasi,UTTAR PRADESH,VARANASI,st_pct,,percent,,,,,,,,,
Uttar Pradesh,Varanasi,UTTAR PRADESH,VARANASI,religion_hindu_pct,,percent,,,,,,,,,
Uttar Pradesh,Varanasi,UTTAR PRADESH,VARANASI,religion_muslim_pct,,percent,,,,,,,,,
Uttar Pradesh,Varanasi,UTTAR PRADESH,VARANASI,population_density,,persons_per_sq_km,,,,,,,,,
Uttar Pradesh,Varanasi,UTTAR PRADESH,VARANASI,sex_ratio,,females_per_1000_males,,,,,,,,,
Maharashtra,Hatkanangale,MAHARASHTRA,HATKANANGALE,urban_pct,,percent,,,,,,,,,
Maharashtra,Hatkanangale,MAHARASHTRA,HATKANANGALE,literacy_rate,,percent,,,,,,,,,
Maharashtra,Hatkanangale,MAHARASHTRA,HATKANANGALE,sc_pct,,percent,,,,,,,,,
Maharashtra,Hatkanangale,MAHARASHTRA,HATKANANGALE,st_pct,,percent,,,,,,,,,
Maharashtra,Hatkanangale,MAHARASHTRA,HATKANANGALE,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Hatkanangale,MAHARASHTRA,HATKANANGALE,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Hatkanangale,MAHARASHTRA,HATKANANGALE,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Hatkanangale,MAHARASHTRA,HATKANANGALE,sex_ratio,,females_per_1000_males,,,,,,,,,
Assam,Kaziranga,ASSAM,KAZIRANGA,urban_pct,,percent,,,,,,,,,
Assam,Kaziranga,ASSAM,KAZIRANGA,literacy_rate,,percent,,,,,,,,,
Assam,Kaziranga,ASSAM,KAZIRANGA,sc_pct,,percent,,,,,,,,,
Assam,Kaziranga,ASSAM,KAZIRANGA,st_pct,,percent,,,,,,,,,
Assam,Kaziranga,ASSAM,KAZIRANGA,religion_hindu_pct,,percent,,,,,,,,,
Assam,Kaziranga,ASSAM,KAZIRANGA,religion_muslim_pct,,percent,,,,,,,,,
Assam,Kaziranga,ASSAM,KAZIRANGA,population_density,,persons_per_sq_km,,,,,,,,,
Assam,Kaziranga,ASSAM,KAZIRANGA,sex_ratio,,females_per_1000_males,,,,,,,,,
Uttar Pradesh,Phulpur,UTTAR PRADESH,PHULPUR,urban_pct,,percent,,,,,,,,,
Uttar Pradesh,Phulpur,UTTAR PRADESH,PHULPUR,literacy_rate,,percent,,,,,,,,,
Uttar Pradesh,Phulpur,UTTAR PRADESH,PHULPUR,sc_pct,,percent,,,,,,,,,
Uttar Pradesh,Phulpur,UTTAR PRADESH,PHULPUR,st_pct,,percent,,,,,,,,,
Uttar Pradesh,Phulpur,UTTAR PRADESH,PHULPUR,religion_hindu_pct,,percent,,,,,,,,,
Uttar Pradesh,Phulpur,UTTAR PRADESH,PHULPUR,religion_muslim_pct,,percent,,,,,,,,,
Uttar Pradesh,Phulpur,UTTAR PRADESH,PHULPUR,population_density,,persons_per_sq_km,,,,,,,,,
Uttar Pradesh,Phulpur,UTTAR PRADESH,PHULPUR,sex_ratio,,females_per_1000_males,,,,,,,,,
West Bengal,Tamluk,WEST BENGAL,TAMLUK,urban_pct,,percent,,,,,,,,,
West Bengal,Tamluk,WEST BENGAL,TAMLUK,literacy_rate,,percent,,,,,,,,,
