year,poll_type,source_file,page,candidate_score,matched_group_types,matched_keywords,likely_table_type,page_text_excerpt,recommended_action
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,140,27,age;caste;electorate,age;all india;bjp;inc;india;party;st;upa;vote;voted,post_poll_vote_choice_table,"All India Postpoll NES 2019-Survey Findings GUJARAT GJQ1: If Assembly elections are held in Gujarat tomorrow for some reason, which party would you vote for? N (%) 001: INC 195 25.2 002: BJP 476 61.4 003: BSP 3 .4 005: CPI 1 .1 022: TDP 1 .1 900: Independent 2 .2 996: Can't say 71 9.2 998: No response 27 3.5 Total 776 100.0 GJQ2: And which party had you voted for one and a half years ago in the De",auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,212,27,age;caste;electorate,age;all india;bjp;congress;inc;india;party;st;vote;voted,voter_group_party_table,"All India Postpoll NES 2019-Survey Findings NAGALAND NGQ1: If Assembly elections are held in Nagaland tomorrow, which party would you vote for? N (%) 001: INC 70 19.4 002: BJP 7 1.9 060: NPF 23 6.3 120: NDPP 130 36.3 996: Can't say 111 31.0 998: No response 18 5.0 Total 358 100.0 NGQ2: And which party had you voted last year during the 2018 Assembly elections? N (%) 001: INC 25 7.1 002: BJP 9 2.5 ",auto_extract
2024,post_poll,post-poll/2024/postpoll_study_2024.pdf,25,27,gender;age;religion;caste;class;welfare_beneficiary;issue_preference,age;development;india;leadership;men;obc;poor;religious;sc;scheme;st;welfare,voter_group_party_table,"Social and Political Barometer Posttpoll Study 2024-Survey Findings N (%) Valid (%) 02: Good policies and welfare schemes 1019 5.2 11.2 03: Better for strengthening Indian civilisation 303 1.5 3.3 04: For protecting religious interests/Construction of 475 2.4 5.2 Ram temple 05: Maintaining law and order/national security 283 1.4 3.1 06: Upliftment of poor, SCs, STs and OBCs 251 1.3 2.7 07: For the",auto_extract
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,5,27,gender;age;religion;caste,age;hindu;inc;india;men;muslim;nda;others;party;religion;st,voter_group_party_table,Social and Political Barometer Prepoll Study 2024-Survey Findings N (%) Total 10019 100.0 a: (If heard) What is your opinion about „G20‟ summit held in India? N (%) Valid (%) Valid 01: Showcasing of India‟s growing power 1098 11.0 29.8 02: NDA government‟s foreign policy achievement 605 6.0 16.4 03: It will strengthen our foreign trade and 857 8.6 23.3 economy 04: Political stunt 369 3.7 10.0 05: ,auto_extract
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,10,27,gender;age;religion;caste;welfare_beneficiary;issue_preference,age;bjp;hindu;india;men;muslim;nda;sc;scheme;st;welfare,voter_group_party_table,Social and Political Barometer Prepoll Study 2024-Survey Findings N (%) 02: No 3238 32.3 98: Don‟t know 3350 33.4 Total 10019 100.0 Q21b: Do you think that the absence of serious and committed leaders among Muslims affects their representation in politics? N (%) 01: Yes 3837 38.3 02: No 2742 27.4 98: Don‟t know 3440 34.3 Total 10019 100.0 Q22: Should the BJP-led NDA government at the Centre get an,auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,19,26,age;caste;welfare_beneficiary;electorate,age;all india;bjp;inc;india;party;ration;st;vote;voted,voter_group_party_table,All India Postpoll NES 2019-Survey Findings N (%) Valid (%) 106: SBSP 1 .0 .0 109: Left Front 1 .0 .0 120: NDPP 0 .0 .0 121: BLF 1 .0 .0 124: NTK 2 .0 .1 126: VBA 3 .0 .1 900: Independent 7 .0 .2 903: Not a supporter of any particular party 1 .0 .0 997: Any other party 10 .0 .3 998: No response/Can’t say 385 1.6 12.6 Total 3053 12.6 100.0 Missing 999: N.A. 21182 87.4 Total 24235 100.0 Q13: People ,auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,33,26,gender;age;caste;electorate,age;all india;bjp;india;men;nda;party;st;vote;voted,voter_group_party_table,All India Postpoll NES 2019-Survey Findings Q22: Are you satisfied or dissatisfied with the performance of the ruling state government of Bihar? N (%) 1: Fully satisfied 6246 25.8 2: Somewhat satisfied 9747 40.2 3: Somewhat dissatisfied 3441 14.2 4: Fully dissatisfied 3898 16.1 8: No response 904 3.7 Total 24235 100.0 Q23: Let us assume that in this election Narendra Modi was not the PM candidate ,auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,183,26,age;caste;electorate,age;all india;bjp;inc;india;party;sc;st;vote;voted,post_poll_vote_choice_table,"All India Postpoll NES 2019-Survey Findings MADHYA PRADESH MPQ1: If Assembly elections are held again in Madhya Pradesh tomorrow for some reason, which party would you vote for? N (%) 001: INC 345 36.1 002: BJP 540 56.6 003: BSP 17 1.8 007: AITC 1 .1 009: LJP 0 .0 033: GGP 10 1.0 901: No party 1 .1 996: Can't say 23 2.4 998: No response 18 1.9 Total 954 100.0 MPQ2: And which party had you voted fo",auto_extract
2019,post_poll,post-poll/2019/postpoll_results_2019.pdf,220,26,gender;age;caste;electorate,age;all india;bjp;inc;india;men;nda;party;st;vote,voter_group_party_table,All India Postpoll NES 2019-Survey Findings ODISHA ODQ1: Let me ask you about your preference in the Odisha Assembly election. Which party did you vote for in the Assembly election? N (%) 001: INC 89 9.9 002: BJP 165 18.4 003: BSP 1 .1 004: CPI(M) 16 1.8 005: CPI 9 1.0 007: AITC 1 .1 070: BJD 582 64.7 902: NOTA 1 .1 995: Did not vote 17 1.9 996: Can't say 9 .9 998: No response 9 1.0 Total 900 100.,auto_extract
2024,pre_poll,pre-poll/2024/prepoll_report_2024.pdf,1,26,age;religion;caste;electorate,age;all india;bjp;congress;inc;india;muslim;party;st;vote,voter_group_party_table,Social and Political Barometer Prepoll Study 2024-Survey Findings Q1: When did you register you name in the electoral roll? N (%) 01: Within 6 months 159 1.6 02: 6 months and above but less than a year 380 3.8 03: 1 year and above but less than 2 years 463 4.6 04: 2 years to 4 years 1215 12.1 05: 5 years and above 6611 66.0 98: Don‟t know 1190 11.9 Total 10019 100.0 Q2: If Lok Sabha elections are ,auto_extract
