candidate_id,year,poll_type,source,source_file,source_page,source_table_index,source_table_title,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,raw_row_label,raw_column_label,raw_cell_value,extraction_confidence,evidence_text,candidate_status,notes
8d614815-fef6-4ff7-9a81-866488f1133c,2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,263,806,2019_post_poll_table_806.csv,state,West Bengal,electorate,all voters,Others,8.7,98: No response,(%),8.7,high,"All India Postpoll NES 2019-Survey Findings WEST BENGAL WBQ1: If Assembly elections are held in West Bengal tomorrow, which party would you vote for? N (%) 001: INC 46 2.9 002: BJP 457 28.4 004: CPI(M) 44 2.7 005: CPI 4 .3 007: AITC 651 40.4 009: LJP",auto_accepted_candidate,party_marginal_percent
c0f99829-fad6-4248-8b3b-60cda539d3d3,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,106,237,2019_pre_poll_table_237.csv,state,Tamil Nadu,electorate,all voters,INC,2.0,001: Congress,(%),2.0,medium,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Tamil Nadu tomorrow, which party will you vote for? N (%) 001: Congress 13 2.0 002: BJP 23 3.6 004: CPI-M 1 .2 005: CPI 2 .3 007: AITC 1 .1 016: IUML 1 .1 025: ",needs_review,party_marginal_percent
9c030d7e-f620-403b-baab-a84e2d91a31f,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,106,237,2019_pre_poll_table_237.csv,state,Tamil Nadu,electorate,all voters,BJP,3.6,002: BJP,(%),3.6,high,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Tamil Nadu tomorrow, which party will you vote for? N (%) 001: Congress 13 2.0 002: BJP 23 3.6 004: CPI-M 1 .2 005: CPI 2 .3 007: AITC 1 .1 016: IUML 1 .1 025: ",auto_accepted_candidate,party_marginal_percent
c18608e9-2a14-450e-8304-666d144c6816,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,106,237,2019_pre_poll_table_237.csv,state,Tamil Nadu,electorate,all voters,TMC,10.0,007: AITC,(%),0.1,high,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Tamil Nadu tomorrow, which party will you vote for? N (%) 001: Congress 13 2.0 002: BJP 23 3.6 004: CPI-M 1 .2 005: CPI 2 .3 007: AITC 1 .1 016: IUML 1 .1 025: ",auto_accepted_candidate,party_marginal_percent
88cdc15a-0504-4841-b522-a856cd5e27ce,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,106,237,2019_pre_poll_table_237.csv,state,Tamil Nadu,electorate,all voters,AIADMK,15.1,083: AIADMK,(%),15.1,high,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Tamil Nadu tomorrow, which party will you vote for? N (%) 001: Congress 13 2.0 002: BJP 23 3.6 004: CPI-M 1 .2 005: CPI 2 .3 007: AITC 1 .1 016: IUML 1 .1 025: ",auto_accepted_candidate,party_marginal_percent
9ed65bc5-5676-4143-9a0a-3a4b79a4bc1c,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,106,237,2019_pre_poll_table_237.csv,state,Tamil Nadu,electorate,all voters,DMK,40.1,085; DMK,(%),40.1,high,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Tamil Nadu tomorrow, which party will you vote for? N (%) 001: Congress 13 2.0 002: BJP 23 3.6 004: CPI-M 1 .2 005: CPI 2 .3 007: AITC 1 .1 016: IUML 1 .1 025: ",auto_accepted_candidate,party_marginal_percent
6285c5c5-b827-4648-a6f7-5cae9d65c944,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,106,237,2019_pre_poll_table_237.csv,state,Tamil Nadu,electorate,all voters,Others,12.1,998: No response/Can’t say,(%),12.1,high,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Tamil Nadu tomorrow, which party will you vote for? N (%) 001: Congress 13 2.0 002: BJP 23 3.6 004: CPI-M 1 .2 005: CPI 2 .3 007: AITC 1 .1 016: IUML 1 .1 025: ",auto_accepted_candidate,party_marginal_percent
1312af31-7fbe-417c-8711-a53b96605357,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,92,203,2019_pre_poll_table_203.csv,state,Kerala,electorate,all voters,INC,7.2,001: Congress,(%),7.2,medium,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in the Kerala tomorrow, which party will you vote for? N (%) 001: Congress 22 7.2 002: BJP 14 4.7 004: CPI-M 25 8.3 012: AAP 1 .3 016: IUML 2 .7 045: UDF 20 6.8 04",needs_review,party_marginal_percent
5d115473-e3e8-4c78-97f5-edc7aae754f8,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,92,203,2019_pre_poll_table_203.csv,state,Kerala,electorate,all voters,BJP,4.7,002: BJP,(%),4.7,high,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in the Kerala tomorrow, which party will you vote for? N (%) 001: Congress 22 7.2 002: BJP 14 4.7 004: CPI-M 25 8.3 012: AAP 1 .3 016: IUML 2 .7 045: UDF 20 6.8 04",auto_accepted_candidate,party_marginal_percent
16ef83fe-faea-4771-999d-aeb21d0bfb9b,2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,92,203,2019_pre_poll_table_203.csv,state,Kerala,electorate,all voters,AAP,30.0,012: AAP,(%),0.3,high,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in the Kerala tomorrow, which party will you vote for? N (%) 001: Congress 22 7.2 002: BJP 14 4.7 004: CPI-M 25 8.3 012: AAP 1 .3 016: IUML 2 .7 045: UDF 20 6.8 04",auto_accepted_candidate,party_marginal_percent
