state,constituency,constituency_id,state_key,constituency_key,winner_2019,winner_2024,winner_party_2019,winner_party_2024,bjp_vote_share_2019,bjp_vote_share_2024,inc_vote_share_2019,inc_vote_share_2024,bjp_swing_2019_2024,inc_swing_2019_2024,winner_changed,margin_2019,margin_2024,margin_change,turnout_2019,turnout_2024,turnout_change,fertility_rate_nfhs5,electricity_pct_nfhs5,improved_sanitation_pct_nfhs5,lpg_pct_nfhs5,mobile_phone_pct_nfhs5,bank_account_pct_nfhs5,women_secondary_edu_pct_nfhs5,female_literacy_pct_nfhs5,male_literacy_pct_nfhs5,wealth_index_mean_nfhs5,urban_pct_nfhs5,fertility_rate_change,electricity_pct_change,improved_sanitation_pct_change,lpg_pct_change,mobile_phone_pct_change,bank_account_pct_change,women_secondary_edu_pct_change,female_literacy_pct_change,male_literacy_pct_change,wealth_index_mean_change,urban_pct_change,nfhs5_coverage_share,change_coverage_share,change_quality_flag,districts_used,districts_missing,manual_demographic_fields_count,manual_demographic_source_count,demographic_source_type
Gujarat,Kheda,GUJARAT__KHEDA,GUJARAT,KHEDA,Chauhan Devusinh,DEVUSINH CHAUHAN,BJP,BJP,65.04192027729006,63.31047890543676,31.623572202910346,32.88494771433042,-1.7314413718533004,1.261375511420077,False,33.418348074379715,30.425531191106337,-2.9928168832733775,39.60980649967739,37.07,-2.5398064996773897,,88.18739757373359,72.7152559241474,57.17517175620273,28.546058365826937,58.80426172017553,,,,58507.24683797808,51.49657032858042,,5.77007303422495,18.03650745491752,11.151040429241585,12.73308410695288,,,,,,-6.289095804956922,1.0,1.0,medium,KHEDA→Kheda (NFHS-4 proxy); AHMEDABAD→Ahmadabad,,0,0,generated
Gujarat,Mahesana,GUJARAT__MAHESANA,GUJARAT,MAHESANA,SHARDABEN ANILBHAI PATEL,HARIBHAI PATEL,BJP,BJP,60.95774434394578,63.743386820724226,34.937861504078796,33.27925469922281,2.785642476778449,-1.6586068048559852,False,26.01988283986698,30.464132121501414,4.444249281634434,39.998629363521296,38.74,-1.258629363521294,,78.1765992842741,74.0073013494312,10.61545287779388,26.19120198313652,21.527153235656822,,,,-20093.8536472971,11.110203690430666,,-17.778247403538202,41.23231537839613,-7.352390995997624,24.520186770145987,,,,,,-26.2082818291158,1.0,1.0,low,MAHESANA→Mahesana; GANDHINAGAR→Gandhinagar,,0,0,generated
Gujarat,Navsari,GUJARAT__NAVSARI,GUJARAT,NAVSARI,C. R. Patil,C R PATIL,BJP,BJP,74.36740167184243,77.04772622655834,21.64121594656954,19.24308183432271,2.68032455471591,-2.398134112246833,False,52.72618572527288,57.80464439223563,5.078458666962753,49.336091756278215,46.36,-2.976091756278215,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,medium,,SURAT; NAVSARI,0,0,election_only
Gujarat,Panchmahal,GUJARAT__PANCHMAHAL,GUJARAT,PANCHMAHAL,Ratansinh Magansinh Rathod,RAJPALSINH MAHENDRASINH JADAV,BJP,BJP,67.56041473650795,70.22369480431676,28.01529239366748,25.208816284974684,2.663280067808813,-2.806476108692795,False,39.54512234284047,45.01487851934208,5.469756176501612,41.961940940942085,41.86,-0.1019409409420859,,85.654574188541,61.0293432029829,54.19543057294668,12.232239461277036,,,,,,59.79875535752748,,0.0,0.0,0.0,0.0,,,,,,0.0,1.0,1.0,medium,PANCHMAHALS→Panch Mahals (NFHS-4 proxy); KHEDA→Kheda (NFHS-4 proxy),,0,0,generated
Gujarat,Patan,GUJARAT__PATAN,GUJARAT,PATAN,DABHI BHARATSINHJI SHANKARJI,DABHI BHARATSINHJI SHANKARJI,BJP,BJP,56.23659274623176,49.613158721843895,39.02212285661519,46.941519119958095,-6.623434024387862,7.919396263342904,False,17.214469889616566,2.6716396018858006,-14.542830287730766,35.0499683737465,29.28,-5.769968373746501,,96.36149345201584,77.9956377464118,42.69412867389214,31.78873455498687,37.66931316817908,,,,23446.221994772623,23.696154178226564,,10.112998627278344,43.48367599387565,19.879699014483155,19.526945313905344,,,,,,-19.54734093812405,1.0,1.0,low,PATAN→Patan; KACHCHH→Kachchh; MAHESANA→Mahesana,,0,0,generated
Gujarat,Porbandar,GUJARAT__PORBANDAR,GUJARAT,PORBANDAR,RAMESHBHAI LAVJIBHAI DHADUK,DR. MANSUKH MANDAVIYA,BJP,BJP,59.359206355723,68.14982949472348,35.16596189050547,26.88303445605052,8.790623139000473,-8.282927434454951,False,24.193244465217532,41.26679503867295,17.07355057345542,33.92034735991068,35.8,1.8796526400893183,,94.40086692124676,67.18203718449148,16.55918312482887,4.7522378673441485,0.0,,,,-16985.0,67.54698925262673,,7.251496921802442,17.47211607540651,-10.62406842094664,-1.861010297483929,,,,,,29.156867812416955,1.0,1.0,medium,RAJKOT→Rajkot; JUNAGADH→Junagadh (NFHS-4 proxy); PORBANDAR→Porbandar (NFHS-4 proxy),,0,0,generated
Gujarat,Rajkot,GUJARAT__RAJKOT,GUJARAT,RAJKOT,KUNDARIA MOHANBHAI KALYANJIBHAI,PARSHOTTAMBHAI RUPALA,BJP,BJP,63.470543500176944,67.36990220974259,32.64849561312874,29.345243423459927,3.8993587095656466,-3.303252189668811,False,30.822047887048207,38.024658786282664,7.2026108992344575,40.26053698405648,40.61,0.3494630159435203,,100.0,100.0,0.0,0.0,0.0,,,,-16985.0,100.0,,16.919031548769127,40.76555313907262,-24.787840459511532,-4.342067889603194,,,,,,68.02815635188277,1.0,1.0,low,RAJKOT→Rajkot,,0,0,generated
Gujarat,Sabarkantha,GUJARAT__SABARKANTHA,GUJARAT,SABARKANTHA,RATHOD DIPSINH SHANKARSINH,SHOBHANABEN MAHENDRASINH BARAIYA,BJP,BJP,57.61737361831916,53.359099639345246,35.5395357503121,41.09447452964412,-4.258273978973911,5.554938779332019,False,22.07783786800706,12.264625109701129,-9.81321275830593,38.96189024136421,34.19,-4.771890241364211,,100.0,100.0,41.647334711785774,41.647334711785774,70.82366735589288,,,,26871.797808764943,12.471002067678652,,1.0180242189637028,68.35923775796851,20.338891594025196,39.61991183043137,,,,,,-16.80155914165225,1.0,1.0,low,SABARKANTHA→Sabarkantha,,0,0,generated
Gujarat,Surendranagar,GUJARAT__SURENDRANAGAR,GUJARAT,SURENDRANAGAR,Dr. MUNJAPARA MAHENDRABHAI,CHANDUBHAI CHHAGANBHAI SHIHORA,BJP,BJP,58.62751756940076,59.19768565208591,32.88470353318005,36.07391700556048,0.5701680826851501,3.1892134723804304,False,25.742814036220707,23.123768646525427,-2.6190453896952803,34.16427448688217,32.91,-1.2542744868821742,,100.0,49.95921215148488,38.189589724939026,38.189589724939026,38.189589724939026,,,,9811.567567019472,26.41996729839317,,26.349557116241513,25.14696041930396,25.730567257924868,30.35127811747842,,,,,,15.998289044745624,1.0,1.0,low,SURENDRANAGAR→Surendranagar; AHMEDABAD→Ahmadabad,,0,0,generated
Gujarat,Vadodara,GUJARAT__VADODARA,GUJARAT,VADODARA,RANJANBEN BHATT,DR. HEMANG JOSHI,BJP,BJP,72.29684181591495,72.0364410645886,24.096411169323304,24.012147021529533,-0.260400751326344,-0.0842641477937711,False,48.20043064659164,48.02429404305907,-0.1761366035325693,49.235108886531584,44.78,-4.455108886531583,,37.11370091357626,16.184816381075628,4.424749858464282,0.9696119367881127,0.0,,,,-16985.0,12.952758850978308,,1.4094962776402298,3.396110187503501,-2.0650336136386738,-0.3617304282467707,,,,,,5.667312155327368,0.9999,0.9999,medium,VADODARA→Vadodara (NFHS-4 proxy); PANCHMAHALS→Panch Mahals (NFHS-4 proxy); RAJKOT→Rajkot,,0,0,generated
