year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,sample_size,source_table,source_page,confidence,notes,original_label,dedupe_status,duplicate_count,conflict_flag,dedupe_notes
2024,post_poll,national,,caste,,Regional,6.0,,2024_post_poll_table_004.csv,,medium,auto-cleaned long table,nan | 051: Revolutionary Socialist Party (RSP),duplicate_conflict,8,True,conflicting vote_shares with tied confidence; values=3.1;4.1;5.6;5.9;6.0;6.8;47.0
2024,post_poll,national,,gender,,INC,11.2,,2024_post_poll_table_019.csv,,medium,auto-cleaned long table,nan | 02: Increasing poverty,duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=11.2;21.0
2024,post_poll,national,,gender,,INDIA,1.8,,2024_post_poll_table_017.csv,,medium,auto-cleaned long table,nan | 04: Strengthening Indian culture,duplicate_conflict,3,True,conflicting vote_shares with tied confidence; values=1.5;1.8;70.0
2024,post_poll,national,,gender,,NDA,12.8,,2024_post_poll_table_068.csv,,medium,auto-cleaned long table,nan | 07: Intermediate/Higher secondary completed (Class 12),unique,1,False,
2024,post_poll,national,,gender,,Others,2.6,,2024_post_poll_table_018.csv,,medium,auto-cleaned long table,nan | 97: Any other,duplicate_conflict,5,True,conflicting vote_shares with tied confidence; values=2.6;24.4;40.0;87.0
2024,post_poll,national,,gender,,Regional,6.9,,2024_post_poll_table_028.csv,,medium,auto-cleaned long table,nan | 98: Did not respond,duplicate_conflict,4,True,conflicting vote_shares with tied confidence; values=6.9;9.8;61.0;70.0
2024,post_poll,national,,religion,,INC,57.0,,2024_post_poll_table_005.csv,,medium,auto-cleaned long table,nan | 063: Nationalist Congress Party(Ajit Pawer),duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=57.0;88.0
2024,post_poll,national,,religion,,INDIA,67.0,,2024_post_poll_table_005.csv,,medium,auto-cleaned long table,nan | 060: All India Majlis -e- Ittehadul Muslimeen (AIMIM),duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=67.0;73.0
2024,post_poll,national,,religion,,Others,76.0,,2024_post_poll_table_005.csv,,medium,auto-cleaned long table,nan | 997: Any other,duplicate_conflict,3,True,conflicting vote_shares with tied confidence; values=25.0;39.2;76.0
2024,post_poll,national,,religion,,Regional,88.0,,2024_post_poll_table_025.csv,,medium,auto-cleaned long table,nan | 15: Telugu Desam Party/TDP,unique,1,False,
2024,pre_poll,national,,age,,BJP,20.7,,2024_pre_poll_table_079.csv,,medium,auto-cleaned long table,nan | 01: There is nothing wrong with the BJP taking leaders from other parties even if they have a tainted image,unique,1,False,
2024,pre_poll,national,,age,,INC,28.0,,2024_pre_poll_table_023.csv,,medium,auto-cleaned long table,nan | 01: The yatra will help the Congress gain support in the upcoming 2024 Lok Sabha elections,duplicate_conflict,3,True,conflicting vote_shares with tied confidence; values=2.4;21.5;28.0
2024,pre_poll,national,,age,,Others,30.0,,2024_pre_poll_table_084.csv,,medium,auto-cleaned long table,nan | 97: Any other,unique,1,False,
2024,pre_poll,national,,caste,,BJP,24.3,,2024_pre_poll_table_077.csv,,medium,auto-cleaned long table,nan | 01: BJP is as nepotistic as Congress,unique,1,False,
2024,pre_poll,national,,caste,,INC,70.7,,2024_pre_poll_table_010.csv,,medium,auto-cleaned long table,nan | 01: Increased,duplicate_conflict,5,True,conflicting vote_shares with tied confidence; values=15.0;23.6;48.0;55.1;70.7
2024,pre_poll,national,,caste,,INDIA,1.7,,2024_pre_poll_table_037.csv,,medium,auto-cleaned long table,nan | 07: India‟s international image,duplicate_conflict,3,True,conflicting vote_shares with tied confidence; values=1.7;15.0;21.0
2024,pre_poll,national,,caste,,NDA,30.0,,2024_pre_poll_table_092.csv,,medium,auto-cleaned long table,nan | 14: Munda,unique,1,False,
2024,pre_poll,national,,caste,,Others,50.0,,2024_pre_poll_table_037.csv,,medium,auto-cleaned long table,nan | 97: Any other,duplicate_conflict,3,True,conflicting vote_shares with tied confidence; values=8.1;50.0;71.0
2024,pre_poll,national,,caste,,Regional,2.3,,2024_pre_poll_table_037.csv,,medium,auto-cleaned long table,nan | 98: No response,duplicate_conflict,4,True,conflicting vote_shares with tied confidence; values=1.2;2.3;7.7;69.0
2024,pre_poll,national,,gender,,INC,22.6,,2024_pre_poll_table_042.csv,,medium,auto-cleaned long table,nan | 01: Increasing unemployment,unique,1,False,
2024,pre_poll,national,,gender,,INDIA,7.7,,2024_pre_poll_table_041.csv,,medium,auto-cleaned long table,nan | 06: India‟s international image,duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=1.8;7.7
2024,pre_poll,national,,gender,,NDA,6.0,,2024_pre_poll_table_014.csv,,medium,auto-cleaned long table,nan | 02: NDA government‟s foreign policy achievement,unique,1,False,
2024,pre_poll,national,,gender,,Others,20.0,,2024_pre_poll_table_014.csv,,medium,auto-cleaned long table,nan | 97: Any other,duplicate_conflict,9,True,conflicting vote_shares with tied confidence; values=0.0;1.4;2.7;4.4;5.5;20.0;28.1;54.0;96.0
2024,pre_poll,national,,gender,,Regional,15.9,,2024_pre_poll_table_031.csv,,medium,auto-cleaned long table,nan | 002: The farmer‟s protest is a well-orchestrated conspiracy against the government,duplicate_conflict,4,True,conflicting vote_shares with tied confidence; values=1.5;4.9;15.9;38.0
2024,pre_poll,national,,gender,Valid,INDIA,11.0,,2024_pre_poll_table_014.csv,,medium,auto-cleaned long table,Valid | 01: Showcasing of India‟s growing power,unique,1,False,
2024,pre_poll,national,,other,Valid,Others,21.1,,2024_pre_poll_table_078.csv,,medium,auto-cleaned long table,Valid | 01: Political parties should refrain from forming alliances with other parties that are ideologically very different,unique,1,False,
2024,pre_poll,national,,region,,Others,56.0,,2024_pre_poll_table_072.csv,,medium,auto-cleaned long table,nan | 97: Other regional parties,unique,1,False,
2024,pre_poll,national,,religion,,INC,24.1,,2024_pre_poll_table_016.csv,,medium,auto-cleaned long table,nan | 02: It will increase differences among communities,unique,1,False,
2024,pre_poll,national,,religion,,INDIA,10.9,,2024_pre_poll_table_045.csv,,medium,auto-cleaned long table,nan | 01: India belongs only to Hindus,unique,1,False,
