year,poll_type,source,source_file,source_page,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,confidence,data_origin,approval_status,evidence_text,notes,candidate_id
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,89,state,Karnataka,electorate,all voters,AAP,20.0,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx N (%) 8: No response 4 .8 Total 568 100.0 c: Congress N (%) 1: Like a lot 243 42.9 2: Like somewhat 103 18.2 3: Like somewhat 162 28.5 4: Don’t like at all 57 10.0 8: No response 3 .5 Total 568 100.0 Q29: If Vidh,party_marginal_percent,c18f679a-2a8d-4e20-9e8e-0c40c9cf7fe3
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,83,state,Bihar,electorate,all voters,BJP,29.7,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Bihar tomorrow, which party will you vote for? N (%) 001: Congress 88 11.0 002: BJP 238 29.7 006: NCP 1 .1 007: AITC 1 .2 008: JD-U 230 28.7 009: LJP 19 2.4 010",party_marginal_percent,bd25d121-2be1-4c51-a3b9-91bee7b31ca6
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,83,state,Bihar,electorate,all voters,TMC,20.0,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Bihar tomorrow, which party will you vote for? N (%) 001: Congress 88 11.0 002: BJP 238 29.7 006: NCP 1 .1 007: AITC 1 .2 008: JD-U 230 28.7 009: LJP 19 2.4 010",party_marginal_percent,740430f1-a125-42cc-8c92-19ddf78b1262
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,83,state,Bihar,electorate,all voters,AAP,10.0,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Bihar tomorrow, which party will you vote for? N (%) 001: Congress 88 11.0 002: BJP 238 29.7 006: NCP 1 .1 007: AITC 1 .2 008: JD-U 230 28.7 009: LJP 19 2.4 010",party_marginal_percent,b3c71169-39d6-4e17-a35a-3471f3f22ab9
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,83,state,Bihar,electorate,all voters,Others,4.1,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx Q29: If Vidhan Sabha or State elections are held in Bihar tomorrow, which party will you vote for? N (%) 001: Congress 88 11.0 002: BJP 238 29.7 006: NCP 1 .1 007: AITC 1 .2 008: JD-U 230 28.7 009: LJP 19 2.4 010",party_marginal_percent,484a927f-18ab-42a8-b327-54d627feac49
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,98,state,Odisha,electorate,all voters,BJP,14.1,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx c: BJP N (%) 1: Like a lot 142 27.9 2: Like somewhat 193 37.9 3: Like somewhat 70 13.7 4: Don’t like at all 38 7.5 8: No response 67 13.1 Total 510 100.0 Q29: If Vidhan Sabha or State elections are held in Odisha,party_marginal_percent,7d7d8957-e705-4370-8310-dae8aee64008
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,98,state,Odisha,electorate,all voters,TMC,20.0,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx c: BJP N (%) 1: Like a lot 142 27.9 2: Like somewhat 193 37.9 3: Like somewhat 70 13.7 4: Don’t like at all 38 7.5 8: No response 67 13.1 Total 510 100.0 Q29: If Vidhan Sabha or State elections are held in Odisha,party_marginal_percent,83932fe0-9159-4733-b93b-bf5e6d1dc978
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,98,state,Odisha,electorate,all voters,BJD,59.2,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx c: BJP N (%) 1: Like a lot 142 27.9 2: Like somewhat 193 37.9 3: Like somewhat 70 13.7 4: Don’t like at all 38 7.5 8: No response 67 13.1 Total 510 100.0 Q29: If Vidhan Sabha or State elections are held in Odisha,party_marginal_percent,7a2fdb38-d500-4e18-9a95-4ebabe8136c5
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,98,state,Odisha,electorate,all voters,Others,20.6,high,taxonomy_auto,approved,NES 2019 Prepoll-Survey findings.docx c: BJP N (%) 1: Like a lot 142 27.9 2: Like somewhat 193 37.9 3: Like somewhat 70 13.7 4: Don’t like at all 38 7.5 8: No response 67 13.1 Total 510 100.0 Q29: If Vidhan Sabha or State elections are held in Odisha,party_marginal_percent,4c63e82b-37c9-4c77-9a1d-40343f8c7690
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,96,state,Maharashtra,electorate,all voters,BJP,37.5,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 183 22.4 4: Don’t like at all 206 25.2 8: No response 97 11.9 Total 817 100.0 Q29: If Vidhan Sabha or State elections are held in Maharashtra tomorrow, which party will you vote for? N (%) ",party_marginal_percent,24a6fa59-56ec-440c-a119-d27081c103f1
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,96,state,Maharashtra,electorate,all voters,BSP,1.2,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 183 22.4 4: Don’t like at all 206 25.2 8: No response 97 11.9 Total 817 100.0 Q29: If Vidhan Sabha or State elections are held in Maharashtra tomorrow, which party will you vote for? N (%) ",party_marginal_percent,d16f7c28-caeb-4259-8403-514dd5e2938d
2019,pre_poll,CSDS-Lokniti National Election Study,pre-poll/2019/prepoll_2019_results.pdf,96,state,Maharashtra,electorate,all voters,Others,22.9,high,taxonomy_auto,approved,"NES 2019 Prepoll-Survey findings.docx N (%) 3: Like somewhat 183 22.4 4: Don’t like at all 206 25.2 8: No response 97 11.9 Total 817 100.0 Q29: If Vidhan Sabha or State elections are held in Maharashtra tomorrow, which party will you vote for? N (%) ",party_marginal_percent,04013c9d-52a7-4f35-ad10-981f1610fff7
2019,post_poll,CSDS-Lokniti National Election Study,post-poll/2019/postpoll_results_2019.pdf,21,state,Delhi,electorate,all voters,BJP,33.8,high,taxonomy_auto,approved,All India Postpoll NES 2019-Survey Findings N (%) 45: Arvind Kejriwal (Delhi) 40 .2 46: Pramod Sawant (Goa) 0 .0 47: Vijaybhai R Rupani (Gujarat) 6 .0 48: Manohar Lal Khattar (Haryana) 1 .0 52: Pinarayi Vijayan (Kerala) 4 .0 55: N Biren Singh (Manipu,party_marginal_percent,02248572-fb68-45d6-b379-52999982a711
