year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,sample_size,source_table,source_page,confidence,notes,original_label
2019,post_poll,national,,other,Valid,INC,6.0,,2019_post_poll_table_248.csv,,medium,auto-cleaned long table,Valid | 001: INC
2019,post_poll,national,,caste,nan,INC,63.0,,2019_post_poll_table_305.csv,,medium,auto-cleaned long table,nan | 06: Congress/Congress leaders
2019,post_poll,national,,caste,nan,BJP,2.0,,2019_post_poll_table_305.csv,,medium,auto-cleaned long table,nan | 08: BJP
2019,post_poll,national,,caste,nan,Others,5.0,,2019_post_poll_table_305.csv,,medium,auto-cleaned long table,nan | 25: Others
2019,post_poll,national,,caste,nan,Regional,97.0,,2019_post_poll_table_305.csv,,medium,auto-cleaned long table,nan | 98: No response
2019,post_poll,national,,religion,nan,BJP,30.7,,2019_post_poll_table_308.csv,,medium,auto-cleaned long table,nan | 2: Nothing wrong in contesting with BJP
2019,post_poll,national,,religion,nan,Others,1.4,,2019_post_poll_table_308.csv,,medium,auto-cleaned long table,nan | 3: Others
2019,post_poll,national,,religion,nan,Regional,46.0,,2019_post_poll_table_308.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,Others,33.0,,2019_post_poll_table_422.csv,,medium,auto-cleaned long table,nan | 5: Other
2019,post_poll,national,,gender,nan,Regional,18.0,,2019_post_poll_table_422.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,INC,32.0,,2019_post_poll_table_448.csv,,medium,auto-cleaned long table,nan | 001: INC
2019,post_poll,national,,gender,nan,Regional,100.0,,2019_post_poll_table_448.csv,,medium,auto-cleaned long table,nan | 003: BSP
2019,post_poll,national,,gender,nan,Others,0.0,,2019_post_poll_table_448.csv,,medium,auto-cleaned long table,nan | 997: Any other party
2019,post_poll,national,,religion,nan,Others,100.0,,2019_post_poll_table_460.csv,,medium,auto-cleaned long table,nan | 3: Others
2019,post_poll,national,,religion,nan,Regional,28.0,,2019_post_poll_table_460.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,religion,nan,Others,100.0,,2019_post_poll_table_462.csv,,medium,auto-cleaned long table,nan | 3: Others
2019,post_poll,national,,religion,nan,Regional,28.0,,2019_post_poll_table_462.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,Regional,38.0,,2019_post_poll_table_484.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,BJP,8.0,,2019_post_poll_table_492.csv,,medium,auto-cleaned long table,nan | 06: O. Rajagopal (BJP)
2019,post_poll,national,,gender,nan,NDA,64.0,,2019_post_poll_table_492.csv,,medium,auto-cleaned long table,nan | 12: V S Achuthanandan (CPM)
2019,post_poll,national,,gender,nan,Others,10.0,,2019_post_poll_table_492.csv,,medium,auto-cleaned long table,nan | 25: Other Cong leaders
2019,post_poll,national,,caste,nan,BJP,5.0,,2019_post_poll_table_516.csv,,medium,auto-cleaned long table,nan | 05: Gopal Bhargava (BJP)
2019,post_poll,national,,caste,nan,INDIA,41.5,,2019_post_poll_table_522.csv,,medium,auto-cleaned long table,nan | 2: Should have made Scindia the CM
2019,post_poll,national,,caste,nan,Regional,15.5,,2019_post_poll_table_522.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,Regional,14.0,,2019_post_poll_table_525.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,religion,nan,INC,7.0,,2019_post_poll_table_570.csv,,medium,auto-cleaned long table,nan | 06: Congress/Congress leaders
2019,post_poll,national,,religion,nan,BJP,4.0,,2019_post_poll_table_570.csv,,medium,auto-cleaned long table,nan | 08: BJP
2019,post_poll,national,,religion,nan,Others,3.0,,2019_post_poll_table_570.csv,,medium,auto-cleaned long table,nan | 25: Others
2019,post_poll,national,,religion,nan,Regional,7.0,,2019_post_poll_table_570.csv,,medium,auto-cleaned long table,nan | 98: No response
2019,post_poll,national,,religion,nan,INC,13.0,,2019_post_poll_table_598.csv,,medium,auto-cleaned long table,nan | 06: Congress/Congress leaders
2019,post_poll,national,,religion,nan,Others,15.0,,2019_post_poll_table_598.csv,,medium,auto-cleaned long table,nan | 25: Others
2019,post_poll,national,,religion,nan,Regional,45.0,,2019_post_poll_table_598.csv,,medium,auto-cleaned long table,nan | 98: No response
2019,post_poll,national,,religion,nan,INC,21.0,,2019_post_poll_table_623.csv,,medium,auto-cleaned long table,nan | 06: Congress/Congress leaders
2019,post_poll,national,,religion,nan,Others,12.0,,2019_post_poll_table_623.csv,,medium,auto-cleaned long table,nan | 19: Other parties of NE
2019,post_poll,national,,religion,nan,Regional,100.0,,2019_post_poll_table_623.csv,,medium,auto-cleaned long table,nan | 98: No response
2019,post_poll,national,,gender,nan,BJP,65.0,,2019_post_poll_table_637.csv,,medium,auto-cleaned long table,nan | 03: Dharmendra Pradhan (BJP)
2019,post_poll,national,,gender,nan,Regional,3.0,,2019_post_poll_table_637.csv,,medium,auto-cleaned long table,nan | 13: Pratap Jena (BJD)
2019,post_poll,national,,gender,nan,Others,11.0,,2019_post_poll_table_637.csv,,medium,auto-cleaned long table,nan | 25: Other Cong leaders
2019,post_poll,national,,gender,nan,Others,65.3,,2019_post_poll_table_657.csv,,medium,auto-cleaned long table,nan | 1: BJD will get another chance
2019,post_poll,national,,caste,nan,Regional,19.1,,2019_post_poll_table_679.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,Others,4.0,,2019_post_poll_table_708.csv,,medium,auto-cleaned long table,nan | 5: Other
2019,post_poll,national,,gender,nan,Regional,27.0,,2019_post_poll_table_708.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,48.0,,2019_post_poll_table_719.csv,,medium,auto-cleaned long table,nan | 04: Kanimozhi (DMK)
2019,post_poll,national,,caste,nan,BJP,8.0,,2019_post_poll_table_719.csv,,medium,auto-cleaned long table,nan | 07: Tamilsai Soundarajan (BJP)
2019,post_poll,national,,caste,nan,Others,18.0,,2019_post_poll_table_719.csv,,medium,auto-cleaned long table,nan | 12: Vijaykanth (DMDK)
2019,post_poll,national,,gender,nan,Others,20.0,,2019_post_poll_table_763.csv,,medium,auto-cleaned long table,nan | 5: Other answer
2019,post_poll,national,,gender,nan,Regional,76.0,,2019_post_poll_table_763.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,84.0,,2019_post_poll_table_764.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,96.0,,2019_post_poll_table_766.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,3.6,,2019_post_poll_table_767.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,99.0,,2019_post_poll_table_768.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,caste,nan,Regional,4.0,,2019_post_poll_table_771.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,post_poll,national,,gender,nan,BJP,32.0,,2019_post_poll_table_786.csv,,medium,auto-cleaned long table,nan | 04: Babul Supriyo (BJP)
2019,post_poll,national,,gender,nan,Regional,7.0,,2019_post_poll_table_786.csv,,medium,auto-cleaned long table,nan | 06: Subrata Mukherjee (TMC)
2019,post_poll,national,,other,Valid,INC,32.0,,2019_post_poll_table_839.csv,,medium,auto-cleaned long table,Valid | 001: INC
2019,post_poll,national,,other,Valid,INC,44.0,,2019_post_poll_table_867.csv,,medium,auto-cleaned long table,Valid | 001: INC
2019,pre_poll,national,,age,nan,INC,15.3,,2019_pre_poll_table_016.csv,,medium,auto-cleaned long table,nan | 1: With our total household income we are able to fulfill all our needs & also end up saving some money.
2019,pre_poll,national,,age,nan,INC,17.4,,2019_pre_poll_table_017.csv,,medium,auto-cleaned long table,nan | 4: With our total household income we are not able to fulfill our needs and face a lot of difficulty.
2019,pre_poll,national,,age,nan,Regional,2.6,,2019_pre_poll_table_017.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,pre_poll,national,,age,nan,Others,1.1,,2019_pre_poll_table_025.csv,,medium,auto-cleaned long table,nan | 8: Others
2019,pre_poll,national,,religion,nan,Others,1.5,,2019_pre_poll_table_027.csv,,medium,auto-cleaned long table,nan | 4: Others
2019,pre_poll,national,,religion,nan,Regional,3.1,,2019_pre_poll_table_027.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,pre_poll,national,,gender,nan,INC,63.0,,2019_pre_poll_table_034.csv,,medium,auto-cleaned long table,"nan | 06: Economic inequality, increasing gap between rich and poor"
2019,pre_poll,national,,gender,nan,Regional,19.0,,2019_pre_poll_table_035.csv,,medium,auto-cleaned long table,"nan | 17: Transport services – buses, trains, flights"
2019,pre_poll,national,,gender,nan,BJP,40.0,,2019_pre_poll_table_035.csv,,medium,auto-cleaned long table,"nan | 27: Vote for Modi or BJP, bringing Modi or BJP back"
2019,pre_poll,national,,gender,nan,INC,9.0,,2019_pre_poll_table_035.csv,,medium,auto-cleaned long table,nan | 29: Vote for Rahul Gandhi/Priyanka Gandhi/Congress eader
2019,pre_poll,national,,gender,nan,Others,33.0,,2019_pre_poll_table_035.csv,,medium,auto-cleaned long table,nan | 31: Vote in favour of any other party or leader
2019,pre_poll,national,,gender,nan,Regional,18.0,,2019_pre_poll_table_036.csv,,medium,auto-cleaned long table,"nan | 45: Low price for crops, produce/MSP"
2019,pre_poll,national,,gender,nan,Others,13.0,,2019_pre_poll_table_036.csv,,medium,auto-cleaned long table,nan | 50: Other agricultural problems
2019,pre_poll,national,,gender,nan,Regional,35.0,,2019_pre_poll_table_037.csv,,medium,auto-cleaned long table,nan | 59: Regional/state/linguistic identity
2019,pre_poll,national,,age,nan,INDIA,6.0,,2019_pre_poll_table_038.csv,,medium,auto-cleaned long table,nan | 87: Improving India’s image in the world
2019,pre_poll,national,,gender,nan,Regional,3.3,,2019_pre_poll_table_041.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,pre_poll,national,,gender,nan,Others,3.4,,2019_pre_poll_table_043.csv,,medium,auto-cleaned long table,nan | 4: Neither/Other
2019,pre_poll,national,,gender,nan,Regional,4.7,,2019_pre_poll_table_057.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,pre_poll,national,,caste,nan,Regional,8.2,,2019_pre_poll_table_062.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,pre_poll,national,,gender,nan,Regional,2.0,,2019_pre_poll_table_070.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,pre_poll,national,,gender,nan,Others,1.6,,2019_pre_poll_table_076.csv,,medium,auto-cleaned long table,nan | 5: Other
2019,pre_poll,national,,gender,nan,Regional,18.5,,2019_pre_poll_table_076.csv,,medium,auto-cleaned long table,nan | 8: No response
2019,pre_poll,national,,gender,nan,INDIA,4.3,,2019_pre_poll_table_084.csv,,medium,auto-cleaned long table,nan | 07: India-Pakistan
2019,pre_poll,national,,gender,nan,Others,2.7,,2019_pre_poll_table_084.csv,,medium,auto-cleaned long table,nan | 10: Others
2019,pre_poll,national,,gender,nan,Regional,6.8,,2019_pre_poll_table_084.csv,,medium,auto-cleaned long table,nan | 98: No response
2019,pre_poll,national,,gender,nan,Others,20.0,,2019_pre_poll_table_086.csv,,medium,auto-cleaned long table,nan | 3: Others
