year,geography_level,state,voter_group_type,voter_group,party_or_alliance,pre_poll_vote_share,post_poll_vote_share,pre_to_post_shift,absolute_shift,shift_direction,notes
2019,national,,caste,,Regional,8.2,4.7,-3.5,3.5,decreased_post_poll,
2019,national,,caste,,Regional,8.2,5.1,-3.1,3.1,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.8,-3.4,3.4,decreased_post_poll,
2019,national,,caste,,Regional,8.2,5.3,-2.9,2.9,decreased_post_poll,
2019,national,,caste,,Regional,8.2,5.4,-2.8,2.8,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.8,-3.4,3.4,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.8,-3.4,3.4,decreased_post_poll,
2019,national,,caste,,Regional,8.2,7.1,-1.1,1.1,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.2,-4.0,4.0,decreased_post_poll,
2019,national,,caste,,Regional,8.2,2.0,-6.2,6.2,decreased_post_poll,
2019,national,,caste,,Regional,8.2,2.1,-6.1,6.1,decreased_post_poll,
2019,national,,caste,,Regional,8.2,11.4,3.2,3.2,increased_post_poll,
2019,national,,caste,,Regional,8.2,4.4,-3.8,3.8,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.6,-6.6,6.6,decreased_post_poll,
2019,national,,caste,,Regional,8.2,2.7,-5.5,5.5,decreased_post_poll,
2019,national,,caste,,Regional,8.2,70.0,61.8,61.8,increased_post_poll,
2019,national,,caste,,Regional,8.2,5.6,-2.6,2.6,decreased_post_poll,
2019,national,,caste,,Regional,8.2,4.9,-3.3,3.3,decreased_post_poll,
2019,national,,caste,,Regional,8.2,3.3,-4.9,4.9,decreased_post_poll,
2019,national,,caste,,Regional,8.2,3.5,-4.7,4.7,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.4,-6.8,6.8,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.9,-6.3,6.3,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.8,-6.4,6.4,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.7,-6.5,6.5,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.7,-6.5,6.5,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.8,-6.4,6.4,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.8,-6.4,6.4,decreased_post_poll,
2019,national,,caste,,Regional,8.2,2.0,-6.2,6.2,decreased_post_poll,
2019,national,,caste,,Regional,8.2,5.8,-2.4,2.4,decreased_post_poll,
2019,national,,caste,,Regional,8.2,1.8,-6.4,6.4,decreased_post_poll,
2019,national,,caste,,Regional,8.2,97.0,88.8,88.8,increased_post_poll,
2019,national,,caste,,Regional,8.2,15.5,7.3,7.3,increased_post_poll,
2019,national,,caste,,Regional,8.2,19.1,10.9,10.9,increased_post_poll,
2019,national,,caste,,Regional,8.2,48.0,39.8,39.8,increased_post_poll,
2019,national,,caste,,Regional,8.2,84.0,75.8,75.8,increased_post_poll,
2019,national,,caste,,Regional,8.2,96.0,87.8,87.8,increased_post_poll,
2019,national,,caste,,Regional,8.2,3.6,-4.6,4.6,decreased_post_poll,
2019,national,,caste,,Regional,8.2,99.0,90.8,90.8,increased_post_poll,
2019,national,,caste,,Regional,8.2,4.0,-4.2,4.2,decreased_post_poll,
2019,national,,gender,,BJP,40.0,81.0,41.0,41.0,increased_post_poll,
2019,national,,gender,,BJP,40.0,8.0,-32.0,32.0,decreased_post_poll,
2019,national,,gender,,BJP,40.0,65.0,25.0,25.0,increased_post_poll,
2019,national,,gender,,BJP,40.0,32.0,-8.0,8.0,decreased_post_poll,
2019,national,,gender,,INC,63.0,32.0,-31.0,31.0,decreased_post_poll,
2019,national,,gender,,INC,9.0,32.0,23.0,23.0,increased_post_poll,
2019,national,,gender,,INDIA,4.3,8.0,3.7,3.7,increased_post_poll,
2019,national,,gender,,NDA,73.0,100.0,27.0,27.0,increased_post_poll,
2019,national,,gender,,NDA,73.0,64.0,-9.0,9.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,29.0,-4.0,4.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,10.0,-23.0,23.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,20.0,-13.0,13.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,42.0,9.0,9.0,increased_post_poll,
2019,national,,gender,,Others,33.0,30.0,-3.0,3.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,40.0,7.0,7.0,increased_post_poll,
2019,national,,gender,,Others,33.0,22.0,-11.0,11.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,14.0,-19.0,19.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,90.0,57.0,57.0,increased_post_poll,
2019,national,,gender,,Others,33.0,20.0,-13.0,13.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,10.0,-23.0,23.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,60.0,27.0,27.0,increased_post_poll,
2019,national,,gender,,Others,33.0,71.0,38.0,38.0,increased_post_poll,
2019,national,,gender,,Others,33.0,3.0,-30.0,30.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,62.0,29.0,29.0,increased_post_poll,
2019,national,,gender,,Others,33.0,10.0,-23.0,23.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,33.0,0.0,0.0,unchanged,
2019,national,,gender,,Others,33.0,0.0,-33.0,33.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,10.0,-23.0,23.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,11.0,-22.0,22.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,65.3,32.3,32.3,increased_post_poll,
2019,national,,gender,,Others,33.0,4.0,-29.0,29.0,decreased_post_poll,
2019,national,,gender,,Others,33.0,20.0,-13.0,13.0,decreased_post_poll,
2019,national,,gender,,Others,13.0,29.0,16.0,16.0,increased_post_poll,
2019,national,,gender,,Others,13.0,10.0,-3.0,3.0,decreased_post_poll,
2019,national,,gender,,Others,13.0,20.0,7.0,7.0,increased_post_poll,
2019,national,,gender,,Others,13.0,42.0,29.0,29.0,increased_post_poll,
2019,national,,gender,,Others,13.0,30.0,17.0,17.0,increased_post_poll,
2019,national,,gender,,Others,13.0,40.0,27.0,27.0,increased_post_poll,
2019,national,,gender,,Others,13.0,22.0,9.0,9.0,increased_post_poll,
2019,national,,gender,,Others,13.0,14.0,1.0,1.0,increased_post_poll,
2019,national,,gender,,Others,13.0,90.0,77.0,77.0,increased_post_poll,
2019,national,,gender,,Others,13.0,20.0,7.0,7.0,increased_post_poll,
2019,national,,gender,,Others,13.0,10.0,-3.0,3.0,decreased_post_poll,
2019,national,,gender,,Others,13.0,60.0,47.0,47.0,increased_post_poll,
2019,national,,gender,,Others,13.0,71.0,58.0,58.0,increased_post_poll,
2019,national,,gender,,Others,13.0,3.0,-10.0,10.0,decreased_post_poll,
2019,national,,gender,,Others,13.0,62.0,49.0,49.0,increased_post_poll,
2019,national,,gender,,Others,13.0,10.0,-3.0,3.0,decreased_post_poll,
2019,national,,gender,,Others,13.0,33.0,20.0,20.0,increased_post_poll,
2019,national,,gender,,Others,13.0,0.0,-13.0,13.0,decreased_post_poll,
2019,national,,gender,,Others,13.0,10.0,-3.0,3.0,decreased_post_poll,
2019,national,,gender,,Others,13.0,11.0,-2.0,2.0,decreased_post_poll,
2019,national,,gender,,Others,13.0,65.3,52.3,52.3,increased_post_poll,
