state,constituency,candidate,sex,age,category,party,party_symbol,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Assam,Barpeta,Kumar Deepak Das,MALE,66.0,GENERAL,AGP,Elephant,501319.0,3547.0,504866.0,29.959724629691497,34.60811840900242,1685149.0,2019,2.0,False,34.614263902001234,248667.0,
Assam,Dhubri,BADRUDDIN AJMAL,MALE,63.0,GENERAL,AIUDF,Lock and Key,718131.0,633.0,718764.0,38.67304147391053,42.65514896223157,1858566.0,2019,1.0,True,42.65649063355895,492506.0,226258.0
Assam,Dhubri,ABU TAHER BEPARI,MALE,52.0,GENERAL,INC,Hand,492086.0,420.0,492506.0,26.49924726913115,29.227836667936653,1858566.0,2019,2.0,False,29.22875599775668,399733.0,
Assam,Dibrugarh,RAMESWAR TELI,MALE,48.0,GENERAL,BJP,Lotus,657983.0,1600.0,659583.0,50.184392069200854,64.92009779604564,1314319.0,2019,1.0,True,64.93569271118427,295017.0,364566.0
Assam,Dibrugarh,PABAN SINGH GHATOWAR,MALE,67.0,GENERAL,INC,Hand,294663.0,354.0,295017.0,22.446377173273763,29.03733493964519,1314319.0,2019,2.0,False,29.044310202924343,21288.0,
Assam,Gauhati,QUEEN OJA,FEMALE,67.0,GENERAL,BJP,Lotus,1007156.0,1780.0,1008936.0,46.253482411330026,57.19753961280082,2181319.0,2019,1.0,True,57.203798482444014,663330.0,345606.0
Assam,Gauhati,BOBBEETA SHARMA,FEMALE,52.0,GENERAL,INC,Hand,662776.0,554.0,663330.0,30.409582459053446,37.60480739249979,2181319.0,2019,2.0,False,37.60892231753014,21193.0,
Assam,Jorhat,TOPON KUMAR GOGOI,MALE,50.0,GENERAL,BJP,Lotus,540942.0,2346.0,543288.0,39.80029816085302,51.31070436901456,1365035.0,2019,1.0,True,51.35217138563185,460635.0,82653.0
Assam,Jorhat,SUSHANTA BORGOHAIN,MALE,44.0,GENERAL,INC,Hand,459480.0,1155.0,460635.0,33.74528858234404,43.504561681872275,1365035.0,2019,2.0,False,43.53972012306645,17849.0,
Assam,Kaliabor,Gaurav Gogoi,MALE,36.0,GENERAL,INC,Hand,785014.0,1078.0,786092.0,45.309515383258656,55.17228794317779,1734938.0,2019,1.0,True,55.17647034050286,576098.0,209994.0
Assam,Kaliabor,Moni Madhab Mahanta,MALE,41.0,GENERAL,AGP,Elephant,574456.0,1642.0,576098.0,33.20568227798342,40.43374660916132,1734938.0,2019,2.0,False,40.436811734788066,18344.0,
Assam,Karimganj,KRIPANATH MALLAH,MALE,46.0,SC,BJP,Lotus,471946.0,1100.0,473046.0,35.297383248282124,44.578197444306234,1340173.0,2019,1.0,True,44.62395007131591,434657.0,38389.0
Assam,Karimganj,RADHESHYAM BISWAS,MALE,66.0,SC,AIUDF,Lock and Key,434519.0,138.0,434657.0,32.432902319327425,40.960552602812015,1340173.0,2019,2.0,False,41.00259227675102,120452.0,
Assam,Kokrajhar,Naba Kumar Sarania,MALE,50.0,ST,IND,Battery Torch,482556.0,2004.0,484560.0,27.27828512045432,32.74620474892955,1776358.0,2019,1.0,True,32.75193732954373,446774.0,37786.0
Assam,Kokrajhar,Pramila Rani Brahma,FEMALE,69.0,ST,BOPF,Nangol,443410.0,3364.0,446774.0,25.15112381625776,30.192654945720346,1776358.0,2019,2.0,False,30.19794049956573,312435.0,
Assam,Lakhimpur,PRADAN BARUAH,MALE,53.0,ST,BJP,Lotus,774017.0,2389.0,776406.0,45.45667977936937,60.47011176447681,1708013.0,2019,1.0,True,60.48711854028041,425855.0,350551.0
