state,constituency,winning_party,alliance_2019,winner_vote_share,margin_votes,party_type,ideology,effective_num_parties,top2_margin_pct
Gujarat,Rajkot,BJP,NDA,63.470543500176944,368407.0,national,centre-right,1.9613012365652913,30.822047887048207
Gujarat,Sabarkantha,BJP,NDA,57.61737361831916,268986.0,national,centre-right,2.1799756612751815,22.07783786800706
Gujarat,Surat,BJP,NDA,74.47042901053152,548230.0,national,centre-right,1.6437944494575218,51.31260225456097
Gujarat,Surendranagar,BJP,NDA,58.62751756940076,277437.0,national,centre-right,2.2106233389295324,25.742814036220707
Gujarat,Vadodara,BJP,NDA,72.29684181591495,589177.0,national,centre-right,1.7211254818267854,48.20043064659164
Gujarat,Valsad,BJP,NDA,61.24992760102731,353797.0,national,centre-right,2.058543953170657,28.070728044069355
Haryana,Ambala,BJP,NDA,56.715404164150016,342345.0,national,centre-right,2.371303786609163,26.00941321268618
Haryana,Bhiwani-Mahendragarh,BJP,NDA,63.44754826180008,444463.0,national,centre-right,2.1202915485023155,38.27898184073068
Haryana,Faridabad,BJP,NDA,68.8032426853111,638239.0,national,centre-right,1.920189090670453,48.08569308254759
Haryana,Gurgaon,BJP,NDA,60.94300139162632,386256.0,national,centre-right,2.04457349329449,26.702633720218813
Haryana,Hisar,BJP,NDA,51.13186294410651,314068.0,national,centre-right,2.8764449171295943,26.61888735105338
Haryana,Karnal,BJP,NDA,70.08369198030017,656142.0,national,centre-right,1.876495153215615,50.44444546951616
Haryana,Kurukshetra,BJP,NDA,55.97690460591025,384591.0,national,centre-right,2.6056168102136863,31.26242682096111
Haryana,Rohtak,BJP,NDA,47.014471095905115,7503.0,national,centre-right,2.28481745391562,0.6147122944916745
Haryana,Sirsa,BJP,NDA,52.161979019865846,309918.0,national,centre-right,2.7118307393415155,22.63024229528451
Haryana,Sonipat,BJP,NDA,52.02721126980023,164864.0,national,centre-right,2.4159671217302936,14.59577949097502
Himachal Pradesh,Hamirpur,BJP,NDA,69.04491967252076,399572.0,national,centre-right,1.789428774320123,40.41122005734425
