state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Andhra Pradesh,Anakapalle,NOTA,,,,NOTA,NOTA,1328726.0,1299097.0,26084.0,151.0,26235.0,1.64,1.97,2.02,1601365.0,2024,3,False,1.9795040035251545,25651.0,
Andhra Pradesh,Anakapalle,VEGI VENKATESH,MALE,50.0,GENERAL,INC,Hand,1328726.0,1299097.0,24833.0,818.0,25651.0,1.6,1.93,1.97,1601365.0,2024,4,False,1.9354395728768337,19157.0,
Andhra Pradesh,Anakapalle,PALAKA SREERAMA MURTHY,MALE,54.0,GENERAL,BSP,Elephant,1328726.0,1299097.0,19082.0,75.0,19157.0,1.2,1.44,1.47,1601365.0,2024,5,False,1.4454491402908856,4002.0,
Andhra Pradesh,Anakapalle,VANKAYALA RAMACHANDRA RAO,MALE,70.0,GENERAL,IND,Air conditioner,1328726.0,1299097.0,4001.0,1.0,4002.0,0.25,0.3,0.31,1601365.0,2024,6,False,0.3019620744085255,3852.0,
Andhra Pradesh,Anakapalle,LOVARAJU SIDDHA,MALE,36.0,GENERAL,IND,Telephone,1328726.0,1299097.0,3845.0,7.0,3852.0,0.24,0.29,0.3,1601365.0,2024,7,False,0.2906441555776213,3557.0,
Andhra Pradesh,Anakapalle,KRISHNA SWAROOP VADLAMURI,MALE,50.0,SC,DABAP,Gas cylinder,1328726.0,1299097.0,3549.0,8.0,3557.0,0.22,0.27,0.27,1601365.0,2024,8,False,0.26838558187684297,3124.0,
Andhra Pradesh,Anakapalle,GARA SURYA RAO,MALE,70.0,SC,IND,Slate,1328726.0,1299097.0,3116.0,8.0,3124.0,0.2,0.24,0.24,1601365.0,2024,9,False,0.23571452285163266,2619.0,
Andhra Pradesh,Anakapalle,APPALA RAJU NAMMI,MALE,54.0,GENERAL,BCYP,Ganna kisan,1328726.0,1299097.0,2589.0,30.0,2619.0,0.16,0.2,0.2,1601365.0,2024,10,False,0.1976108627875883,2184.0,
Andhra Pradesh,Anakapalle,NAGESWARA RAO PETLA,MALE,60.0,SC,IND,Lighter,1328726.0,1299097.0,2179.0,5.0,2184.0,0.14,0.16,0.17,1601365.0,2024,11,False,0.16478889817796596,1913.0,
Andhra Pradesh,Anakapalle,ADARI SARAT CHANDRA,MALE,39.0,GENERAL,JBNP,Battery Torch,1328726.0,1299097.0,1886.0,27.0,1913.0,0.12,0.14,0.15,1601365.0,2024,12,False,0.14434119149013228,1591.0,
Andhra Pradesh,Anakapalle,VIJAYA LAKSHMI KARRI,FEMALE,43.0,GENERAL,PPOI,Flute,1328726.0,1299097.0,1578.0,13.0,1591.0,0.1,0.12,0.12,1601365.0,2024,13,False,0.12004539239979113,1576.0,
Andhra Pradesh,Anakapalle,DR. THUMMAPALA HARI SHANKAR,MALE,35.0,GENERAL,IND,Mike,1328726.0,1299097.0,1567.0,9.0,1576.0,0.1,0.12,0.12,1601365.0,2024,14,False,0.11891360051670072,1201.0,
Andhra Pradesh,Anakapalle,JUNNURI J SRINIVAS,MALE,54.0,GENERAL,IND,Bat,1328726.0,1299097.0,1195.0,6.0,1201.0,0.07,0.09,0.09,1601365.0,2024,15,False,0.09061880343944008,1062.0,
Andhra Pradesh,Anakapalle,APPALANAIDU TUMMAGUNTA,MALE,42.0,GENERAL,IND,Cot,1328726.0,1299097.0,1055.0,7.0,1062.0,0.07,0.08,0.08,1601365.0,2024,16,False,0.08013086532280214,,
Andhra Pradesh,Ananthapur,AMBICA G LAKSHMINARAYANA VALMIKI,MALE,60.0,GENERAL,TDP,Bicycle,1445498.0,1431229.0,755862.0,12383.0,768245.0,43.42,53.15,53.68,1769264.0,2024,1,True,53.334495025089765,579690.0,188555.0
Andhra Pradesh,Ananthapur,MALAGUNDLA SANKAR NARAYANA,MALE,59.0,GENERAL,YSRCP,Ceiling fan,1445498.0,1431229.0,573769.0,5921.0,579690.0,32.76,40.1,40.5,1769264.0,2024,2,False,40.244288503139344,43217.0,
Andhra Pradesh,Ananthapur,MALLIKARJUNA VAJJALA,MALE,61.0,GENERAL,INC,Hand,1445498.0,1431229.0,41954.0,1263.0,43217.0,2.44,2.99,3.02,1769264.0,2024,3,False,3.0002888030502044,9199.0,
Andhra Pradesh,Ananthapur,NOTA,,,,NOTA,NOTA,1445498.0,1431229.0,9014.0,185.0,9199.0,0.52,0.64,0.64,1769264.0,2024,4,False,0.6386296295267795,6439.0,
Andhra Pradesh,Ananthapur,G.V.RAMANA REDDY,MALE,59.0,GENERAL,IND,Basket containing Fruits,1445498.0,1431229.0,6436.0,3.0,6439.0,0.36,0.45,0.45,1769264.0,2024,5,False,0.4470199135257021,6396.0,
Andhra Pradesh,Ananthapur,BANASI NARAYANAPPA,MALE,49.0,SC,BSP,Elephant,1445498.0,1431229.0,6280.0,116.0,6396.0,0.36,0.44,0.45,1769264.0,2024,6,False,0.44403468968945337,5778.0,
Andhra Pradesh,Ananthapur,V.MURALI PRASAD REDDY,MALE,53.0,GENERAL,IND,Bangles,1445498.0,1431229.0,5775.0,3.0,5778.0,0.33,0.4,0.4,1769264.0,2024,7,False,0.40113077501964695,4989.0,
Andhra Pradesh,Ananthapur,DR.NALLANI RAMESH NAIDU,MALE,44.0,GENERAL,ARPS,Glass tumbler,1445498.0,1431229.0,4862.0,127.0,4989.0,0.28,0.35,0.35,1769264.0,2024,8,False,0.3463553888149911,2935.0,
Andhra Pradesh,Ananthapur,M.SURENDRA,MALE,38.0,SC,PPOI,Baby walker,1445498.0,1431229.0,2927.0,8.0,2935.0,0.17,0.2,0.21,1769264.0,2024,9,False,0.20375888277650808,2540.0,
Andhra Pradesh,Ananthapur,U.C.VENKATASUBBAIAH,MALE,59.0,GENERAL,JCVIVP,Gas cylinder,1445498.0,1431229.0,2533.0,7.0,2540.0,0.14,0.18,0.18,1769264.0,2024,10,False,0.17633647776910752,1518.0,
Andhra Pradesh,Ananthapur,P.CHOWDESWARI,FEMALE,38.0,GENERAL,IND,Bucket,1445498.0,1431229.0,1514.0,4.0,1518.0,0.09,0.11,0.11,1769264.0,2024,11,False,0.1053853438005926,1494.0,
Andhra Pradesh,Ananthapur,VADLA KESAVAIAH,MALE,68.0,GENERAL,IND,Tray,1445498.0,1431229.0,1488.0,6.0,1494.0,0.08,0.1,0.1,1769264.0,2024,12,False,0.10371917235710497,1318.0,
Andhra Pradesh,Ananthapur,B.RAGHAVENDRA PRASAD,MALE,33.0,SC,IND,Batsman,1445498.0,1431229.0,1317.0,1.0,1318.0,0.07,0.09,0.09,1769264.0,2024,13,False,0.09150058177152902,1091.0,
Andhra Pradesh,Ananthapur,LOKANATH GOWD SURAGOWINI,MALE,40.0,GENERAL,IND,Pen nib with seven rays,1445498.0,1431229.0,1085.0,6.0,1091.0,0.06,0.08,0.08,1769264.0,2024,14,False,0.07574137686854185,1091.0,
Andhra Pradesh,Ananthapur,KETHIREDDY RAGHUNATHAREDDY,MALE,48.0,GENERAL,IND,Balloon,1445498.0,1431229.0,1086.0,5.0,1091.0,0.06,0.08,0.08,1769264.0,2024,15,False,0.07574137686854185,904.0,
Andhra Pradesh,Ananthapur,SREERANGARAJULA GOPINATH ROYAL,MALE,33.0,GENERAL,IND,Diamond,1445498.0,1431229.0,903.0,1.0,904.0,0.05,0.06,0.06,1769264.0,2024,16,False,0.0627591243713674,753.0,
