state,constituency,actual_winner,actual_party,actual_vote_share,actual_margin_votes,sim_winner,sim_party,sim_vote_share,flipped
Tamil Nadu,Vellore,D.M.KATHIR ANAND,DMK,47.301557908689105,8141.0,D.M.KATHIR ANAND,DMK,47.3015579086891,False
West Bengal,Maldaha Dakshin,ABU HASEM KHAN CHOWDHURY (DALU),INC,34.7302458876706,8222.0,ABU HASEM KHAN CHOWDHURY (DALU),INC,34.7302458876706,False
Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),TDP,45.041327812001306,8726.0,KESINENI SRINIVAS (NANI),TDP,45.041327812001306,False
Dadra & Nagar Haveli,Dadra And Nagar Haveli,DELKAR MOHANBHAI SANJIBHAI,IND,45.44157038540981,9001.0,DELKAR MOHANBHAI SANJIBHAI,IND,45.44157038540981,False
Odisha,Sambalpur,NITESH GANGA DEB,BJP,42.13330013206398,9162.0,NITESH GANGA DEB,BJP,42.13330013206398,False
Goa,South Goa,COSME FRANCISCO CAITANO SARDINHA,INC,47.47359123829712,9755.0,COSME FRANCISCO CAITANO SARDINHA,INC,47.47359123829711,False
Daman & Diu,Daman & diu,LALUBHAI BABUBHAI PATEL,BJP,42.983228343756075,9942.0,LALUBHAI BABUBHAI PATEL,BJP,42.98322834375607,False
Jharkhand,Lohardaga,SUDARSHAN BHAGAT,BJP,45.452265916457705,10363.0,SUDARSHAN BHAGAT,BJP,45.45226591645771,False
Kerala,Alappuzha,Adv. A M ARIFF,CPIM,40.96248098698665,10474.0,Adv. A M ARIFF,CPIM,40.96248098698666,False
Telangana,Malkajgiri,ANUMULA REVANTH REDDY,INC,38.62595429614801,10919.0,ANUMULA REVANTH REDDY,INC,38.62595429614801,False
Jammu & Kashmir,Ladakh,Jamyang Tsering Namgyal,BJP,33.9439672219322,10930.0,Jamyang Tsering Namgyal,BJP,33.9439672219322,False
Kerala,Palakkad,V K SREEKANDAN,INC,38.83047783173142,11637.0,V K SREEKANDAN,INC,38.830477831731415,False
Odisha,Puri,PINAKI MISRA,BJD,47.40326869903665,11714.0,PINAKI MISRA,BJD,47.40326869903665,False
West Bengal,Jhargram,Kunar Hembram,BJP,44.558154022076295,11767.0,Kunar Hembram,BJP,44.558154022076295,False
Sikkim,Sikkim,INDRA HANG SUBBA,SKM,47.45526601581823,12433.0,INDRA HANG SUBBA,SKM,47.45526601581824,False
Odisha,Balasore,PRATAP CHANDRA SARANGI,BJP,41.788593029793475,12956.0,PRATAP CHANDRA SARANGI,BJP,41.78859302979346,False
Karnataka,Tumkur,G. S. BASAVARAJ,BJP,47.88714857437555,13339.0,G. S. BASAVARAJ,BJP,47.887148574375544,False
Telangana,CHEVELLA,Dr. G. Ranjith Reddy,TRS,40.620707371361505,14317.0,Dr. G. Ranjith Reddy,TRS,40.620707371361505,False
West Bengal,Barrackpore,ARJUN SINGH,BJP,42.823605250077634,14857.0,ARJUN SINGH,BJP,42.823605250077634,False
Andhra Pradesh,Bapatla,NANDIGAM SURESH,YSRCP,47.23732956860367,16065.0,NANDIGAM SURESH,YSRCP,47.23732956860368,False
Nagaland,Nagaland,Tokheho Yepthomi,NDPP,49.73483564977438,16344.0,Tokheho Yepthomi,NDPP,49.734835649774375,False
Assam,Nowgong,Pradyut Bordoloi,INC,49.530390532148175,16752.0,Pradyut Bordoloi,INC,49.53039053214818,False
Manipur,Inner manipur,DR RAJKUMAR RANJAN SINGH,BJP,34.72035464196676,17755.0,DR RAJKUMAR RANJAN SINGH,BJP,34.72035464196676,False
Punjab,Jalandhar,Santokh Singh Chaudhary,INC,37.85208606886373,19491.0,Santokh Singh Chaudhary,INC,37.85208606886372,False
Odisha,Bolangir,Sangeeta Kumari Singh Deo,BJP,38.11770828151725,19516.0,Sangeeta Kumari Singh Deo,BJP,38.11770828151725,False
Punjab,Bathinda,Harsimrat Kaur Badal,SAD,41.04096401595589,21772.0,Harsimrat Kaur Badal,SAD,41.0409640159559,False
Uttar Pradesh,Saharanpur,HAJI FAZLUR REHMAN,BSP,41.740667312903796,22417.0,HAJI FAZLUR REHMAN,BSP,42.59251766622836,False
Uttar Pradesh,Baghpat,Dr. SATYAPAL SINGH,BJP,50.31984105564775,23502.0,Dr. SATYAPAL SINGH,BJP,49.30596026086504,False
Odisha,Bhubaneswar,APARAJITA SARANGI,BJP,48.446451754102355,23839.0,APARAJITA SARANGI,BJP,48.44645175410235,False
Odisha,Mayurbhanj,BISHWESWAR TUDU,BJP,42.05755256846353,25256.0,BISHWESWAR TUDU,BJP,42.05755256846353,False
Telangana,Nalgonda,UTTAM KUMAR REDDY NALAMADA,INC,44.741571638415486,25682.0,UTTAM KUMAR REDDY NALAMADA,INC,44.74157163841548,False
Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,YSRCP,43.54495790321992,25738.0,VANGA GEETHAVISWANATH,YSRCP,43.54495790321992,False
Chhattisgarh,KORBA,JYOTSNA CHARANDAS MAHANT,INC,46.02943259011543,26249.0,JYOTSNA CHARANDAS MAHANT,INC,46.02943259011543,False
Odisha,Kalahandi,BASANTA KUMAR PANDA,BJP,35.25822849941219,26814.0,BASANTA KUMAR PANDA,BJP,35.25822849941219,False
Odisha,Bhadrak,MANJULATA MANDAL,BJD,41.87589172317648,28791.0,MANJULATA MANDAL,BJD,41.87589172317648,False
Jammu & Kashmir,Baramulla,MOHAMMAD AKBAR LONE,JKN,29.28899132916255,30233.0,MOHAMMAD AKBAR LONE,JKN,29.288991329162556,False
Uttar Pradesh,Basti,HARISH CHANDRA ALIAS HARISH DWIVEDI,BJP,44.679428641330475,30354.0,HARISH CHANDRA ALIAS HARISH DWIVEDI,BJP,43.55043738911273,False
Maharashtra,Raigad,Tatkare Sunil Dattatray,NCP,47.487437430946095,31438.0,Tatkare Sunil Dattatray,NCP,47.487437430946095,False
Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,YSRCP,38.14379768675206,32676.0,KANUMURU RAGHU RAMA KRISHNA RAJU,YSRCP,38.14379768675206,False
West Bengal,Balurghat,Sukanta Majumdar,BJP,45.02378847417329,33293.0,Sukanta Majumdar,BJP,45.02378847417328,False
Bihar,Kishanganj,Dr. Mohammad Jawed,INC,33.31663040133333,34466.0,Dr. Mohammad Jawed,INC,33.31663040133333,False
Odisha,Dhenkanal,MAHESH SAHOO,BJD,46.210679067662845,35412.0,MAHESH SAHOO,BJD,46.210679067662845,False
Uttar Pradesh,Sant Kabir Nagar,PRAVEEN KUMAR NISHAD,BJP,43.96721804794102,35749.0,PRAVEEN KUMAR NISHAD,BJP,42.8236918856541,False
Maharashtra,Amravati,Navnit Ravi Rana,IND,45.93256831043209,36951.0,Navnit Ravi Rana,IND,45.93256831043209,False
Madhya Pradesh,CHHINDWARA,NAKUL KAMAL NATH,INC,47.05852659108628,37536.0,NAKUL KAMAL NATH,INC,47.05852659108627,False
Assam,Kokrajhar,Naba Kumar Sarania,IND,32.75193732954373,37786.0,Naba Kumar Sarania,IND,32.75193732954373,False
Kerala,Attingal,Adv. ADOOR PRAKASH,INC,37.9141755101066,38247.0,Adv. ADOOR PRAKASH,INC,37.9141755101066,False
Assam,Karimganj,KRIPANATH MALLAH,BJP,44.62395007131591,38389.0,KRIPANATH MALLAH,BJP,44.62395007131592,False
Karnataka,Koppal,KARADI SANGANNA AMARAPPA,BJP,49.29512150658589,38397.0,KARADI SANGANNA AMARAPPA,BJP,49.29512150658589,False
Chhattisgarh,BASTAR,DEEPAK BAIJ,INC,44.09582777379755,38982.0,DEEPAK BAIJ,INC,44.09582777379755,False
Bihar,Pataliputra,RAM KRIPAL YADAV,BJP,47.27974695406815,39321.0,RAM KRIPAL YADAV,BJP,47.27974695406816,False
Andhra Pradesh,Amalapuram,CHINTA ANURADHA,YSRCP,39.41600866253817,39795.0,CHINTA ANURADHA,YSRCP,39.41600866253816,False
Maharashtra,Nanded,Prataprao Patil Chikhalikar,BJP,43.104971886483376,40148.0,Prataprao Patil Chikhalikar,BJP,41.814042096968215,False
Kerala,Kasaragod,Rajmohan Unnithan,INC,43.17627091834833,40438.0,Rajmohan Unnithan,INC,43.17627091834832,False
Odisha,Nabarangpur,RAMESH CHANDRA MAJHI,BJD,33.84530482021212,41634.0,RAMESH CHANDRA MAJHI,BJD,33.84530482021212,False
Maharashtra,Parbhani,JADHAV SANJAY (BANDU) HARIBHAU,SHS,43.01953572129868,42199.0,JADHAV SANJAY (BANDU) HARIBHAU,SHS,43.01953572129869,False
Uttar Pradesh,Bhadohi,RAMESH CHAND,BJP,49.07003146076064,43615.0,RAMESH CHAND,BJP,48.03064434771495,False
Kerala,Pathanamthitta,ANTO ANTONY,INC,37.10738753868529,44243.0,ANTO ANTONY,INC,37.10738753868529,False
Maharashtra,Chandrapur,Balubhau alias Suresh Narayan Dhanorkar,INC,45.17712927360606,44763.0,Balubhau alias Suresh Narayan Dhanorkar,INC,46.409175149352826,False
Punjab,Anandpur Sahib,Manish Tewari,INC,39.57052010350116,46884.0,Manish Tewari,INC,39.57052010350115,False
Chandigarh,CHANDIGARH,KIRRON KHER,BJP,50.636049832664575,46970.0,KIRRON KHER,BJP,50.636049832664575,False
Jharkhand,Dumka,SUNIL SOREN,BJP,47.26492444208786,47590.0,SUNIL SOREN,BJP,47.26492444208786,False
Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,YSRCP,47.493451789570486,48036.0,Bellana Chandra Sekhar,YSRCP,47.493451789570486,False
Punjab,Hoshiarpur,SOM PARKASH,BJP,42.52359983084222,48530.0,SOM PARKASH,BJP,42.52359983084223,False
West Bengal,Dum dum,SOUGATA RAY,AITC,42.50676539438514,53002.0,SOUGATA RAY,AITC,42.50676539438514,False
West Bengal,Cooch behar,NISITH PRAMANIK,BJP,47.983351293350815,54231.0,NISITH PRAMANIK,BJP,47.983351293350815,False
Uttar Pradesh,Robertsganj,PAKAURI LAL KOL,ADAL,45.32225962701118,54336.0,PAKAURI LAL KOL,ADAL,44.4335878696188,False
Uttar Pradesh,Amethi,Smriti Irani,BJP,49.71218723904534,55120.0,Smriti Irani,BJP,48.68590534596464,False
Karnataka,Bellary,Y. DEVENDRAPPA,BJP,50.44397123884753,55707.0,Y. DEVENDRAPPA,BJP,50.44397123884753,False
Bihar,Katihar,DULAL CHANDRA GOSWAMI,JD(U),50.049743498900455,57203.0,DULAL CHANDRA GOSWAMI,JD(U),50.049743498900455,False
Maharashtra,Shirur,Dr. Amol Ramsing Kolhe,NCP,49.1703380281908,58483.0,Dr. Amol Ramsing Kolhe,NCP,49.1703380281908,False
Telangana,Adilabad,SOYAM BAPU RAO,BJP,35.47648369417051,58560.0,SOYAM BAPU RAO,BJP,35.47648369417051,False
Uttar Pradesh,Banda,R.K. SINGH PATEL,BJP,46.19655521391447,58938.0,R.K. SINGH PATEL,BJP,44.196555213914465,False
Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,YSRCP,46.02794539479499,60238.0,BALASHOWRY VALLABHANENI,YSRCP,46.02794539479499,False
West Bengal,Raiganj,DEBASREE CHAUDHURI,BJP,40.06329921721638,60574.0,DEBASREE CHAUDHURI,BJP,40.06329921721638,False
Kerala,Mavelikkara,KODIKUNNIL SURESH,INC,45.355213766754034,61138.0,KODIKUNNIL SURESH,INC,45.35521376675403,False
Telangana,Secundrabad,G . KISHAN REDDY,BJP,42.047587929704314,62114.0,G . KISHAN REDDY,BJP,42.047587929704314,False
West Bengal,Krishnanagar,MAHUA MOITRA,AITC,44.997998452917535,63218.0,MAHUA MOITRA,AITC,44.99799845291754,False
Uttar Pradesh,Amroha,KUNWAR DANISH ALI,BSP,51.41047330526812,63248.0,KUNWAR DANISH ALI,BSP,52.459666638028715,False
Odisha,Bargarh,Suresh Pujari,BJP,46.57740289379379,63939.0,Suresh Pujari,BJP,46.57740289379379,False
Meghalaya,Tura,AGATHA K. SANGMA,NPEP,52.21845461982948,64030.0,AGATHA K. SANGMA,NPEP,52.21845461982948,False
Uttar Pradesh,Etawah,Dr RAM SHANKAR KATHERIA,BJP,50.79892782261399,64437.0,Dr RAM SHANKAR KATHERIA,BJP,48.79892782261401,False
Uttar Pradesh,Faizabad,LALLU SINGH,BJP,48.66256838015271,65477.0,LALLU SINGH,BJP,46.662568380152706,False
Chhattisgarh,RAIGARH,GOMATI SAI,BJP,48.76107676035682,66027.0,GOMATI SAI,BJP,48.76107676035682,False
Odisha,Keonjhar,Chandrani Murmu,BJD,44.74730764129995,66203.0,Chandrani Murmu,BJD,44.74730764129994,False
Uttar Pradesh,Bijnor,MALOOK NAGAR,BSP,50.96873713960226,69941.0,MALOOK NAGAR,BSP,52.00891544857373,False
Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,BJP,52.38017434755822,69948.0,Tapir Gao,BJP,52.38017434755822,False
Jammu & Kashmir,Srinagar,Farooq Abdullah,JKN,57.13689303759527,70050.0,Farooq Abdullah,JKN,57.13689303759527,False
Bihar,Aurangabad,SUSHIL KUMAR SINGH,BJP,45.75040565792528,70552.0,SUSHIL KUMAR SINGH,BJP,45.75040565792527,False
Tamil Nadu,Dharmapuri,DNV SENTHILKUMAR. S.,DMK,47.006675087168546,70753.0,DNV SENTHILKUMAR. S.,DMK,47.006675087168546,False
Telangana,Nizamabad,ARVIND DHARMAPURI,BJP,45.220029206750674,70875.0,ARVIND DHARMAPURI,BJP,45.22002920675068,False
Karnataka,Bangalore central,P. C. Mohan,BJP,50.35381554483084,70968.0,P. C. Mohan,BJP,50.35381554483082,False
Jharkhand,Singhbhum,GEETA KORA,INC,49.10733070329763,72155.0,GEETA KORA,INC,49.107330703297634,False
West Bengal,Hooghly,LOCKET CHATTERJEE,BJP,46.05766605708986,73362.0,LOCKET CHATTERJEE,BJP,46.05766605708986,False
Manipur,Outer manipur,Lorho S. Pfoze,NPF,42.36768221120732,73782.0,Lorho S. Pfoze,NPF,42.36768221120731,False
Punjab,Ludhiana,RAVNEET SINGH BITTU,INC,36.658213581290504,76372.0,RAVNEET SINGH BITTU,INC,36.658213581290504,False
Tamil Nadu,Theni,"RAVEENDRANATH KUMAR, P",ADMK,43.018127992678245,76693.0,"RAVEENDRANATH KUMAR, P",ADMK,43.01812799267825,False
Maharashtra,Gadchiroli-Chimur,ASHOK MAHADEORAO NETE,BJP,45.50353636743917,77526.0,ASHOK MAHADEORAO NETE,BJP,44.22465966576801,False
Telangana,Mahbubnagar,MANNE SRINIVAS REDDY,TRS,41.782225679795744,77829.0,MANNE SRINIVAS REDDY,TRS,41.78222567979575,False
West Bengal,Bishnupur,KHAN SAUMITRA,BJP,46.24783901430896,78047.0,KHAN SAUMITRA,BJP,46.24783901430897,False
Rajasthan,Dausa,Jaskaur Meena,BJP,51.6292290235352,78444.0,Jaskaur Meena,BJP,51.6292290235352,False
Karnataka,Chitradurga,A NARAYANASWAMY,BJP,50.25843733697178,80178.0,A NARAYANASWAMY,BJP,50.25843733697178,False
Goa,North Goa,SHRIPAD YESSO NAIK,BJP,57.12272646677305,80247.0,SHRIPAD YESSO NAIK,BJP,57.12272646677305,False
West Bengal,Baharampur,ADHIR RANJAN CHOWDHURY,INC,45.469797237993625,80696.0,ADHIR RANJAN CHOWDHURY,INC,45.469797237993625,False
Uttar Pradesh,Jaunpur,SHYAM SINGH YADAV,BSP,50.07706706949106,80936.0,SHYAM SINGH YADAV,BSP,51.09904803009291,False
Assam,Silchar,RAJDEEP ROY,BJP,52.58672248803827,81596.0,RAJDEEP ROY,BJP,52.58672248803826,False
Punjab,Gurdaspur,SUNNY DEOL,BJP,50.61378565016166,82459.0,SUNNY DEOL,BJP,50.61378565016166,False
Assam,Jorhat,TOPON KUMAR GOGOI,BJP,51.35217138563185,82653.0,TOPON KUMAR GOGOI,BJP,51.35217138563185,False
Chhattisgarh,JANJGIR-CHAMPA,GUHARAM AJGALLEY,BJP,45.90950987857171,83255.0,GUHARAM AJGALLEY,BJP,45.909509878571704,False
Punjab,Faridkot,Mohammad Sadique,INC,42.98336217250784,83256.0,Mohammad Sadique,INC,42.98336217250783,False
West Bengal,Maldaha Uttar,KHAGEN MURMU,BJP,37.61140793648216,84288.0,KHAGEN MURMU,BJP,37.611407936482166,False
Bihar,Karakat,MAHABALI SINGH,JD(U),45.85737996634431,84542.0,MAHABALI SINGH,JD(U),45.85737996634431,False
Kerala,Vadakara,K. MURALEEDHARAN,INC,49.431832578060266,84663.0,K. MURALEEDHARAN,INC,49.43183257806027,False
Kerala,Kozhikode,M.K.RAGHAVAN,INC,45.850883624033976,85225.0,M.K.RAGHAVAN,INC,45.85088362403398,False
Maharashtra,Madha,Ranjeetsinha Hindurao Naik- Nimbalkar,BJP,48.203966229254,85764.0,Ranjeetsinha Hindurao Naik- Nimbalkar,BJP,47.41519414137463,False
Maharashtra,Palghar,Rajendra Dhedya Gavit,SHS,48.29513262298233,88883.0,Rajendra Dhedya Gavit,SHS,48.29513262298233,False
West Bengal,Birbhum,SATABDI ROY,AITC,45.126715941447046,88924.0,SATABDI ROY,AITC,45.12671594144704,False
West Bengal,Medinipur,Dilip Ghosh,BJP,48.61864854608584,88952.0,Dilip Ghosh,BJP,48.61864854608584,False
Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,YSRCP,47.33389261609491,89192.0,Dr.Beesetti Venkata Satyavathi,YSRCP,47.33389261609491,False
West Bengal,Bardhaman Purba,SUNIL KUMAR MONDAL,AITC,44.52443781152599,89311.0,SUNIL KUMAR MONDAL,AITC,44.52443781152599,False
Telangana,Karimnagar,BANDI SANJAY KUMAR,BJP,43.41529166670297,89508.0,BANDI SANJAY KUMAR,BJP,43.41529166670297,False
Uttar Pradesh,Mohanlalganj,Kaushal Kishore,BJP,49.62208391028943,90204.0,Kaushal Kishore,BJP,48.59396317376472,False
Chhattisgarh,MAHASAMUND,CHUNNI LAL SAHU,BJP,50.44280005072259,90511.0,CHUNNI LAL SAHU,BJP,50.44280005072259,False
Madhya Pradesh,RATLAM,GUMAN SINGH DAMOR,BJP,49.703572058444465,90636.0,GUMAN SINGH DAMOR,BJP,49.70357205844446,False
Uttar Pradesh,Kairana,Pradeep Kumar,BJP,50.43926099175569,92160.0,Pradeep Kumar,BJP,48.43926099175569,False
Tamil Nadu,Tiruppur,"SUBBARAYAN, K.",CPI,45.438752250836025,93368.0,"SUBBARAYAN, K.",CPI,45.438752250836025,False
Kerala,Thrissur,T. N. PRATHAPAN,INC,39.84080532197426,93633.0,T. N. PRATHAPAN,INC,39.840805321974265,False
Punjab,Fatehgarh Sahib,AMAR SINGH,INC,41.75179624077538,93898.0,AMAR SINGH,INC,41.75179624077538,False
Uttar Pradesh,Mainpuri,MULAYAM SINGH YADAV,SP,53.75487190200283,94389.0,MULAYAM SINGH YADAV,SP,55.754871902002826,False
Kerala,Kannur,K. SUDHAKARAN,INC,50.26759229561927,94559.0,K. SUDHAKARAN,INC,50.26759229561926,False
Odisha,Berhampur,CHANDRA SEKHAR SAHU,BJD,44.836702326474125,94844.0,CHANDRA SEKHAR SAHU,BJD,44.83670232647412,False
Telangana,Peddapalle,Venkatesh Netha Borlakunta,TRS,45.49461832419121,95180.0,Venkatesh Netha Borlakunta,TRS,45.4946183241912,False
Karnataka,Gulbarga,DR. UMESH G JADHAV,BJP,52.14497532708741,95452.0,DR. UMESH G JADHAV,BJP,52.144975327087415,False
Maharashtra,Nandurbar,Dr. Heena Vijaykumar Gavit,BJP,49.864792960807904,95629.0,Dr. Heena Vijaykumar Gavit,BJP,48.60783212141499,False
Uttar Pradesh,Ambedkar Nagar,Ritesh Pandey,BSP,51.74672889652086,95880.0,Ritesh Pandey,BSP,52.80278458828658,False
Maharashtra,Hatkanangle,Dhairyasheel Sambhajirao Mane,SHS,46.77933670922872,96039.0,Dhairyasheel Sambhajirao Mane,SHS,46.77933670922872,False
Madhya Pradesh,MANDLA,FAGGAN SINGH KULASTE,BJP,48.59209559368728,97674.0,FAGGAN SINGH KULASTE,BJP,48.59209559368728,False
Rajasthan,KARAULI-DHOLPUR,MANOJ RAJORIA,BJP,52.747474059259915,97682.0,MANOJ RAJORIA,BJP,52.747474059259915,False
Uttar Pradesh,Moradabad,Dr. S.T. HASAN,SP,50.648335758840624,97878.0,Dr. S.T. HASAN,SP,52.648335758840624,False
West Bengal,Srerampur,KALYAN BANERJEE,AITC,45.49509347544598,98536.0,KALYAN BANERJEE,AITC,45.49509347544598,False
Jharkhand,Rajmahal,VIJAY KUMAR HANSDAK,JMM,48.47292577627983,99195.0,VIJAY KUMAR HANSDAK,JMM,48.47292577627983,False
Punjab,Amritsar,GURJEET SINGH AUJLA,INC,51.777227336875654,99626.0,GURJEET SINGH AUJLA,INC,51.77722733687566,False
Kerala,Thiruvananthapuram,Dr. SHASHI THAROOR,INC,41.19374764893385,99989.0,Dr. SHASHI THAROOR,INC,41.19374764893385,False
Maharashtra,Mumbai South,Arvind Ganpat Sawant,SHS,52.63612899523584,100067.0,Arvind Ganpat Sawant,SHS,52.114979203203795,False
Uttar Pradesh,Misrikh,Ashok Kumar Rawat,BJP,52.05470512375958,100672.0,Ashok Kumar Rawat,BJP,51.07622971812203,False
Uttar Pradesh,Sitapur,Rajesh Verma,BJP,48.33422731914166,100833.0,Rajesh Verma,BJP,47.27982379504251,False
Odisha,Jajpur,SARMISTHA SETHI,BJD,49.81484940718846,101693.0,SARMISTHA SETHI,BJD,49.814849407188454,False
West Bengal,Howrah,Prasun Banerjee,AITC,47.18271314652051,103695.0,Prasun Banerjee,AITC,47.18271314652051,False
Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,BJP,49.96127960993394,105321.0,JAGDAMBIKA PAL,BJP,48.94008123462647,False
Kerala,Kottayam,Thomas Chazhikadan,KEC(M),46.25156123158516,106259.0,Thomas Chazhikadan,KEC(M),46.25156123158516,False
West Bengal,Bolpur,ASIT KUMAR MAL,AITC,47.84683723530712,106402.0,ASIT KUMAR MAL,AITC,47.84683723530712,False
West Bengal,Ghatal,ADHIKARI DEEPAK (DEV),AITC,48.22342287640262,107973.0,ADHIKARI DEEPAK (DEV),AITC,48.223422876402616,False
Uttar Pradesh,Rampur,Mohammad Azam Khan,SP,52.70675196362406,109997.0,Mohammad Azam Khan,SP,54.70675196362404,False
Uttar Pradesh,Barabanki,Upendra Singh Rawat,BJP,46.38604533207079,110140.0,Upendra Singh Rawat,BJP,44.386045332070786,False
West Bengal,Barasat,Dr. Kakoli Ghoshdastidar,AITC,46.46915034731255,110169.0,Dr. Kakoli Ghoshdastidar,AITC,46.46915034731255,False
Punjab,Sangrur,BHAGWANT MANN,AAAP,37.39628244451518,110211.0,BHAGWANT MANN,AAAP,37.39628244451518,False
Rajasthan,TONK-SAWAI MADHOPUR,Sukhbir Singh Jaunapuria,BJP,52.23680092877099,111291.0,Sukhbir Singh Jaunapuria,BJP,52.23680092877099,False
West Bengal,Bangaon,SHANTANU THAKUR,BJP,48.84518503890584,111594.0,SHANTANU THAKUR,BJP,48.84518503890583,False
West Bengal,Kanthi,Adhikari Sisir,AITC,49.98234154609418,111668.0,Adhikari Sisir,AITC,49.98234154609419,False
Chhattisgarh,RAJNANDGAON,SANTOSH PANDEY,BJP,50.6786745246677,111966.0,SANTOSH PANDEY,BJP,50.6786745246677,False
