party,candidate_count
MLPOIRF,1
JSWBHVKP,1
LKSNP,1
BHRLVP,1
VRA,1
NPF,1
VOTPP,1
UDP,1
ZPM,1
MNF,1
MPC,1
ATBP,1
AaSaP,1
SatBP,1
ABSPARTY,1
BLokSP,1
RMGLMP,1
BVD,1
AnAP,1
RLPI,1
RJ,1
BDPty,1
AJPty,1
BSSSSP,1
HSVP,1
BTMSP,1
RRP,1
BNPA,1
RSTRSURKP,1
SRVLKTSP,1
NDPP,1
SZPB,1
JNTADRBARP,1
KJD,1
PCHVP,1
SLDP,1
SACSP,1
MEDP,1
NRPI,1
SBM,1
aimpr,1
SNHRABHRTP,1
SSF,1
ALPU,1
BIP,1
SMJSNGP,1
APNEP,1
ADJP,1
nafp,1
AKBAP,1
BGVKP,1
ABCD(A),1
PHCPP,1
BRKP(D),1
NJMP,1
JHNDCGP,1
BKP,1
DKD,1
RLTP,1
ARJP,1
BHRJAP,1
UMEDPI,1
bhp,1
RJSTHNRJP,1
SKM,1
CAPS,1
SDF,1
SRPP,1
AIJYMKG,1
TMNP,1
RPI(S),1
AMM,1
PNGDSP,1
AIMK,1
VKK,1
AHIMSASP,1
NGPP,1
VTIP,1
HFPP,1
MANAK,1
MDMK,1
AIUUK,1
MNK,1
TMNK,1
AIPDP,1
TRPS,1
PRJVNIP,1
PEOPRTCP,1
AIMEP,1
MTP,1
TPJRP,1
INDPJC,1
TCPY,1
JSKHP,1
TSP,1
NIP,1
PS,1
TLGNARJYS,1
AIBPSP,1
MTRSP,1
LPRSTRP,1
ADRSP,1
RSHSNSP,1
RAJUP,1
KMSMP,1
JNSKTSMTP,1
RNVP,1
SNYGWDIP,1
VIP,1
SaSPa,1
svjn,1
BAP(R),1
RDD,1
PASIP,1
ASaP,1
bmd,1
JSEP,1
MKUP,1
RKSYPP,1
JNTSMTP,1
PLTIJSTP,1
JSPVR,1
AACP,1
BRM,1
BNRP,1
VIPty,1
NP,1
BRJ,1
RJKMP,1
BHRTYLKVNP,1
SBSP,1
ABHSP,1
RJBVP,1
MNGSMJP,1
JNLKVKSP,1
BRSBD,1
AWMIPCHDAP,1
BHUNP,1
BHRTSRVDHN,1
SPSTWDJAP,1
JUSTIP,1
PPSP,1
RMEP,1
ABSTP,1
RViP,1
NSCBRAP,1
JKRP,1
UPRP,1
SRVRP,1
KSNVSWP,1
SaPP,1
PRJP,1
ABHASP,1
SACP,1
APNHQP,1
BhBSP,1
RaCP,1
VSJNP,1
YVP,1
HINDSMJP,1
RATLJNTAP,1
AKBHAD,1
BHRTPNCLP,1
JNSNKP,1
ABSHP,1
JNTASP,1
SJAP,1
ManKP,1
RtrJP,1
ADPT,1
AADP,1
MBCOI,1
PPI,1
UPP,1
BKLJP,1
raup,1
GSD,1
grac,1
DSPI,1
MBMP,1
JKPP,1
MNDB,1
RSSCMJP,1
JeSM,1
INDMP,1
IUC,1
