state,constituency,actual_winner,actual_party,actual_vote_share,actual_margin_votes,sim_winner,sim_party,sim_vote_share,flipped
Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,BJP,45.46799939153946,42728.0,JAGDAMBIKA PAL,BJP,43.46799939153946,False
Uttar Pradesh,Sultanpur,RAMBHUAL NISHAD,SP,42.99744432627854,43174.0,RAMBHUAL NISHAD,SP,44.99744432627853,False
Chhattisgarh,KORBA,JYOTSNA CHARANDAS MAHANT,INC,46.53357958333911,43283.0,JYOTSNA CHARANDAS MAHANT,INC,46.53357958333911,False
Uttar Pradesh,Ballia,SANATAN PANDEY,SP,46.36729863936259,43384.0,SANATAN PANDEY,SP,48.367298639362595,False
Uttar Pradesh,Fatehpur Sikri,RAJKUMAR CHAHAR,BJP,43.09383022854408,43405.0,RAJKUMAR CHAHAR,BJP,41.93247982504497,False
Karnataka,Haveri,BASAVARAJ BOMMAI,BJP,50.54677850598791,43513.0,BASAVARAJ BOMMAI,BJP,50.54677850598791,False
Uttar Pradesh,Bhadohi,DR. VINOD KUMAR BIND,BJP,42.394927893544015,44072.0,DR. VINOD KUMAR BIND,BJP,41.21931417708573,False
Punjab,Hoshiarpur,DR. RAJ KUMAR CHABBEWAL,AAAP,32.03624727855475,44111.0,DR. RAJ KUMAR CHABBEWAL,AAAP,32.03624727855475,False
Uttar Pradesh,Akbarpur,DEVENDRA SINGH ALIAS BHOLE SINGH,BJP,47.603070233947555,44345.0,DEVENDRA SINGH ALIAS BHOLE SINGH,BJP,45.60307023394756,False
Chhattisgarh,RAJNANDGAON,SANTOSH PANDEY,BJP,49.264379792428144,44411.0,SANTOSH PANDEY,BJP,49.264379792428144,False
Telangana,Zahirabad,SURESH KUMAR SHETKAR,INC,42.731763805876305,46188.0,SURESH KUMAR SHETKAR,INC,42.73176380587631,False
Uttar Pradesh,Gonda,KIRTIVARDHAN SINGH,BJP,49.77080106287859,46224.0,KIRTIVARDHAN SINGH,BJP,47.7708010628786,False
Karnataka,Koppal,K. RAJASHEKAR BASAVARAJ HITNAL,INC,49.927987502784184,46357.0,K. RAJASHEKAR BASAVARAJ HITNAL,INC,49.92798750278417,False
West Bengal,Kanthi,ADHIKARI SOUMENDU,BJP,49.84954248767306,47764.0,ADHIKARI SOUMENDU,BJP,49.84954248767306,False
Maharashtra,Ratnagiri- Sindhudurg,NARAYAN TATU RANE,BJP,49.06951352131968,47858.0,NARAYAN TATU RANE,BJP,48.05001365789867,False
Karnataka,Chitradurga,GOVIND MAKTHAPPA KARJOL,BJP,50.10501796388787,48121.0,GOVIND MAKTHAPPA KARJOL,BJP,50.10501796388787,False
Rajasthan,ALWAR,BHUPENDER YADAV,BJP,50.4206829536044,48282.0,BHUPENDER YADAV,BJP,50.4206829536044,False
Haryana,AMBALA,VARUN CHAUDHRY,INC,49.279435547945305,49036.0,VARUN CHAUDHRY,INC,49.2794355479453,False
Punjab,Bathinda,HARSIMRAT KAUR BADAL,SAD,32.71089413379432,49656.0,HARSIMRAT KAUR BADAL,SAD,32.71089413379432,False
Bihar,Katihar,TARIQ ANWAR,INC,48.4054403326886,49863.0,TARIQ ANWAR,INC,48.4054403326886,False
Telangana,Secunderabad,G. KISHAN REDDY,BJP,45.14942361970832,49944.0,G. KISHAN REDDY,BJP,45.149423619708315,False
Andhra Pradesh,Ongole,MAGUNTA SREENIVASULU REDDY,TDP,49.352207192447835,50199.0,MAGUNTA SREENIVASULU REDDY,TDP,49.352207192447835,False
Maharashtra,Shirdi,BHAUSAHEB RAJARAM WAKCHAURE,SHSUBT,44.996339152947925,50529.0,BHAUSAHEB RAJARAM WAKCHAURE,SHSUBT,45.269989206913365,False
Andhra Pradesh,Araku,GUMMA THANUJA RANI,YSRCP,40.96415030336341,50580.0,GUMMA THANUJA RANI,YSRCP,40.96415030336341,False
Nagaland,Nagaland,S SUPONGMEREN JAMIR,INC,52.83295390617195,50984.0,S SUPONGMEREN JAMIR,INC,52.83295390617195,False
Bihar,Sitamarhi,DEVESH CHANDRA THAKUR,JD(U),47.14102114092242,51356.0,DEVESH CHANDRA THAKUR,JD(U),47.14102114092242,False
Assam,Kokrajhar,JOYANTA BASUMATARY,UPPL,39.387561458111826,51583.0,JOYANTA BASUMATARY,UPPL,39.38756145811183,False
Rajasthan,BHARATPUR,SANJNA JATAV,INC,51.18181818181819,51983.0,SANJNA JATAV,INC,51.18181818181819,False
Madhya Pradesh,MORENA,SHIVMANGAL SINGH TOMAR,BJP,43.41476808067843,52530.0,SHIVMANGAL SINGH TOMAR,BJP,43.41476808067842,False
Maharashtra,Mumbai South,ARVIND GANPAT SAWANT,SHSUBT,51.17686547762099,52673.0,ARVIND GANPAT SAWANT,SHSUBT,51.419766644399004,False
Maharashtra,Mumbai South Central,ANIL YESHWANT DESAI,SHSUBT,49.732670127019446,53384.0,ANIL YESHWANT DESAI,SHSUBT,49.98275634529297,False
Tamil Nadu,KALLAKURICHI,MALAIYARASAN D,DMK,44.94265218059361,53784.0,MALAIYARASAN D,DMK,44.94265218059361,False
Uttar Pradesh,Jalaun,NARAYAN DAS AHIRWAR,SP,46.96226313146121,53898.0,NARAYAN DAS AHIRWAR,SP,48.962263131461214,False
Uttar Pradesh,Faizabad,AWADHESH PRASAD,SP,48.59366630401144,54567.0,AWADHESH PRASAD,SP,50.59366630401145,False
Chhattisgarh,BASTAR,MAHESH KASHYAP,BJP,45.50330307376947,55245.0,MAHESH KASHYAP,BJP,45.503303073769466,False
Uttar Pradesh,Shahjahanpur,ARUN KUMAR SAGAR,BJP,47.49715923205508,55379.0,ARUN KUMAR SAGAR,BJP,45.497159232055076,False
Rajasthan,BIKANER,ARJUN RAM MEGHWAL,BJP,50.679256216231686,55711.0,ARJUN RAM MEGHWAL,BJP,50.679256216231686,False
West Bengal,Krishnanagar,MAHUA MOITRA,AITC,44.10350758077367,56705.0,MAHUA MOITRA,AITC,44.10350758077368,False
Odisha,Cuttack,BHARTRUHARI MAHTAB,BJP,47.43070766732543,57077.0,BHARTRUHARI MAHTAB,BJP,47.43070766732544,False
Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli,DELKAR KALABEN MOHANBHAI,BJP,58.89156954686071,57584.0,DELKAR KALABEN MOHANBHAI,BJP,58.8915695468607,False
Uttar Pradesh,Etawah,JITENDRA KUMAR DOHARE,SP,47.47094170542396,58419.0,JITENDRA KUMAR DOHARE,SP,49.47094170542396,False
Uttar Pradesh,Allahabad,UJJWAL RAMAN SINGH,INC,48.80095036958817,58795.0,UJJWAL RAMAN SINGH,INC,49.79688813223283,False
Maharashtra,Nanded,CHAVAN VASANTRAO BALWANTRAO,INC,46.87721027357315,59442.0,CHAVAN VASANTRAO BALWANTRAO,INC,48.11779926992276,False
West Bengal,Asansol,SHATRUGHAN PRASAD SINHA,AITC,46.53295327074081,59564.0,SHATRUGHAN PRASAD SINHA,AITC,46.53295327074081,False
Bihar,Kishanganj,MOHAMMAD JAWED,INC,34.99698983319419,59692.0,MOHAMMAD JAWED,INC,34.996989833194185,False
Bihar,Arrah,SUDAMA PRASAD,CPI(ML)(L),48.27656646552266,59808.0,SUDAMA PRASAD,CPI(ML)(L),48.27656646552266,False
Chhattisgarh,JANJGIR-CHAMPA,KAMLESH JANGDE,BJP,48.71279377118888,60000.0,KAMLESH JANGDE,BJP,48.71279377118888,False
Bihar,Ujiarpur,NITYANAND RAI,BJP,49.513563414287745,60102.0,NITYANAND RAI,BJP,49.513563414287745,False
Maharashtra,Latur,DR. KALGE SHIVAJI BANDAPPA,INC,49.151103359834195,61881.0,DR. KALGE SHIVAJI BANDAPPA,INC,50.40311895460725,False
Andhra Pradesh,Kadapa,Y. S. AVINASH REDDY,YSRCP,45.77567654456401,62695.0,Y. S. AVINASH REDDY,YSRCP,45.77567654456401,False
Haryana,HISAR,JAI PARKASH (J P) S/O HARIKESH,INC,48.58331594434958,63381.0,JAI PARKASH (J P) S/O HARIKESH,INC,48.58331594434958,False
Kerala,Alappuzha,K. C VENUGOPAL,INC,38.212794334199494,63513.0,K. C VENUGOPAL,INC,38.212794334199494,False
Kerala,Chalakudy,BENNY BEHANAN,INC,41.435549944443686,63754.0,BENNY BEHANAN,INC,41.43554994444368,False
Uttar Pradesh,Baharaich,ANAND KUMAR,BJP,49.10265899148752,64227.0,ANAND KUMAR,BJP,47.10265899148752,False
West Bengal,Barrackpur,PARTHA BHOWMICK,AITC,45.55996356821327,64438.0,PARTHA BHOWMICK,AITC,45.55996356821327,False
Uttar Pradesh,Saharanpur,IMRAN MASOOD,INC,44.56991105815178,64542.0,IMRAN MASOOD,INC,45.47950107974671,False
Chhattisgarh,SURGUJA,CHINTAMANI MAHARAJ,BJP,49.00812152255013,64822.0,CHINTAMANI MAHARAJ,BJP,49.00812152255012,False
Madhya Pradesh,BHIND,SANDHYA RAY,BJP,51.197465793841225,64840.0,SANDHYA RAY,BJP,51.197465793841225,False
Rajasthan,TONK-SAWAI MADHOPUR,HARISH CHANDRA MEENA,INC,50.85367166048147,64949.0,HARISH CHANDRA MEENA,INC,50.85367166048147,False
Kerala,Pathanamthitta,ANTO ANTONY,INC,39.97775044613291,66119.0,ANTO ANTONY,INC,39.97775044613291,False
Maharashtra,Bhiwandi,BALYA MAMA - SURESH GOPINATH MHATRE,NCPSP,39.84876324298966,66121.0,BALYA MAMA - SURESH GOPINATH MHATRE,NCPSP,40.45559720100473,False
Uttar Pradesh,Pratapgarh,SHIV PAL SINGH PATEL (DR. S P SINGH),SP,46.65233804291831,66206.0,SHIV PAL SINGH PATEL (DR. S P SINGH),SP,48.6523380429183,False
Odisha,Kendrapara,BAIJAYANT PANDA,BJP,48.21087958105345,66536.0,BAIJAYANT PANDA,BJP,48.21087958105344,False
Bihar,Nawada,VIVEK THAKUR,BJP,47.20337521698645,67670.0,VIVEK THAKUR,BJP,47.20337521698645,False
West Bengal,Raiganj,KARTICK CHANDRA PAUL,BJP,40.987130892799335,68197.0,KARTICK CHANDRA PAUL,BJP,40.98713089279934,False
Mizoram,MIZORAM,RICHARD VANLALHMANGAIHA,ZPM,42.445902600257256,68288.0,RICHARD VANLALHMANGAIHA,ZPM,42.445902600257256,False
Karnataka,Bagalkot,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,BJP,50.93039335560176,68399.0,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,BJP,50.93039335560176,False
Uttar Pradesh,Kairana,IQRA CHOUDHARY,SP,48.898876279628006,69116.0,IQRA CHOUDHARY,SP,50.898876279628006,False
Punjab,Faridkot,SARABJEET SINGH KHALSA,IND,29.381490554041335,70053.0,SARABJEET SINGH KHALSA,IND,29.381490554041328,False
Madhya Pradesh,GWALIOR,BHARAT SINGH KUSHWAH,BJP,49.994081426175285,70210.0,BHARAT SINGH KUSHWAH,BJP,49.994081426175285,False
Uttar Pradesh,Mohanlalganj,R. K. CHAUDHARY,SP,48.485827455330565,70292.0,R. K. CHAUDHARY,SP,50.485827455330565,False
Tamil Nadu,SALEM,SELVAGANAPATHI T M,DMK,43.383346974810785,70357.0,SELVAGANAPATHI T M,DMK,43.383346974810785,False
West Bengal,Dum dum,SOUGATA RAY,AITC,41.949182807611784,70660.0,SOUGATA RAY,AITC,41.9491828076118,False
Tamil Nadu,VILUPPURAM,RAVIKUMAR. D,VCK,41.38515286722011,70703.0,RAVIKUMAR. D,VCK,41.38515286722011,False
Uttar Pradesh,Banda,KRISHNA DEVI SHIVSHANKER PATEL,SP,38.938276003417194,71210.0,KRISHNA DEVI SHIVSHANKER PATEL,SP,40.93827600341719,False
Karnataka,Kolar,M. MALLESH BABU,JD(S),51.02322266068883,71388.0,M. MALLESH BABU,JD(S),51.02322266068883,False
Rajasthan,CHURU,RAHUL KASWAN,INC,51.115260292915075,72737.0,RAHUL KASWAN,INC,51.115260292915075,False
Rajasthan,SIKAR,AMRARAM,CPI(M),50.68201245948821,72896.0,AMRARAM,CPI(M),50.6820124594882,False
West Bengal,Bangaon,SHANTANU THAKUR,BJP,48.18840967967488,73693.0,SHANTANU THAKUR,BJP,48.18840967967488,False
Maharashtra,Solapur,PRANITI SUSHILKUMAR SHINDE,INC,51.49296172222984,74197.0,PRANITI SUSHILKUMAR SHINDE,INC,52.75674544947723,False
Kerala,Thrissur,SURESH GOPI,BJP,37.79879656349576,74686.0,SURESH GOPI,BJP,37.79879656349576,False
Himachal Pradesh,MANDI,KANGNA RANAUT,BJP,52.86638249278901,74755.0,KANGNA RANAUT,BJP,52.86638249278901,False
Haryana,GURGAON,RAO INDERJIT SINGH,BJP,50.48212876085414,75079.0,RAO INDERJIT SINGH,BJP,50.48212876085414,False
Kerala,Palakkad,V K SREEKANDAN,INC,40.65981487416927,75283.0,V K SREEKANDAN,INC,40.659814874169264,False
West Bengal,Alipurduars,MANOJ TIGGA,BJP,48.91792464976161,75447.0,MANOJ TIGGA,BJP,48.9179246497616,False
Andhra Pradesh,Rajampet,P V MIDHUN REDDY,YSRCP,48.377607677470614,76071.0,P V MIDHUN REDDY,YSRCP,48.37760767747061,False
Odisha,Dhenkanal,RUDRA NARAYAN PANY,BJP,50.24205465761161,76567.0,RUDRA NARAYAN PANY,BJP,50.24205465761161,False
Uttar Pradesh,Shrawasti,RAM SHIROMANI VERMA,SP,48.8333804733366,76673.0,RAM SHIROMANI VERMA,SP,50.83338047333661,False
Maharashtra,Ramtek,Shyamkumar (Babalu) Daulat Barve,INC,48.943642855317954,76768.0,Shyamkumar (Babalu) Daulat Barve,INC,49.44915134189895,False
