state,constituency,winning_party,alliance_2024,winner_vote_share,margin_votes,party_type,ideology,effective_num_parties,top2_margin_pct
Gujarat,Bharuch,BJP,NDA,50.72354132400972,85696.0,national,centre-right,2.233380143176708,7.147504011796848
Gujarat,Bhavnagar,BJP,NDA,68.45503193179735,455289.0,national,centre-right,1.8811058201463406,43.47546675426267
Gujarat,Chhota Udaipur,BJP,NDA,62.83640144227546,398777.0,national,centre-right,2.0235446983482945,31.45626120615058
Gujarat,Dahod,BJP,NDA,61.58621972397241,333677.0,national,centre-right,2.0777660963729145,29.838039012996585
Gujarat,Gandhinagar,BJP,NDA,76.48437511820984,744716.0,national,centre-right,1.597740241868097,56.340964834370055
Gujarat,Jamnagar,BJP,NDA,58.98291057660752,238008.0,national,centre-right,2.082050776097839,22.640798679648235
Gujarat,Junagadh,BJP,NDA,54.673284324967966,135494.0,national,centre-right,2.103120758452289,12.683699460708283
Gujarat,Kachchh,BJP,NDA,60.22643328764734,268782.0,national,centre-right,2.0390240803084643,24.542782450370126
Gujarat,Kheda,BJP,NDA,63.31047890543676,357758.0,national,centre-right,1.963498406642587,30.425531191106337
Gujarat,Mahesana,BJP,NDA,63.743386820724226,328046.0,national,centre-right,1.933092261008069,30.464132121501414
Gujarat,Navsari,BJP,NDA,77.04772622655834,773551.0,national,centre-right,1.5848749782451852,57.80464439223563
Gujarat,Panchmahal,BJP,NDA,70.22369480431676,509342.0,national,centre-right,1.7947743335659283,45.014878519342076
Gujarat,Patan,BJP,NDA,49.613158721843895,31876.0,national,centre-right,2.1424279362155034,2.6716396018858006
Gujarat,Porbandar,BJP,NDA,68.14982949472348,383612.0,national,centre-right,1.8616463576790188,41.26679503867295
Gujarat,Rajkot,BJP,NDA,67.36990220974259,484260.0,national,centre-right,1.851046648393645,38.024658786282664
Gujarat,Sabarkantha,BJP,NDA,53.359099639345246,155682.0,national,centre-right,2.2023943030932505,12.264625109701129
Gujarat,Surendranagar,BJP,NDA,59.19768565208591,261617.0,national,centre-right,2.079430764377966,23.123768646525427
Gujarat,Vadodara,BJP,NDA,72.0364410645886,582126.0,national,centre-right,1.733415394622472,48.02429404305907
Gujarat,Valsad,BJP,NDA,56.134848330151584,210704.0,national,centre-right,2.0803897876000876,15.476883909414568
Haryana,AMBALA,INC,INDIA,49.279435547945305,49036.0,national,centre-left,2.2144202286486467,3.6411375176168477
Haryana,BHIWANI-MAHENDRAGARH,BJP,NDA,49.7436612458224,41510.0,national,centre-right,2.1669618860329134,3.5077045280738943
Haryana,FARIDABAD,BJP,NDA,53.595949764905306,172914.0,national,centre-right,2.1611591318072927,11.752288078340435
Haryana,GURGAON,BJP,NDA,50.48212876085414,75079.0,national,centre-right,2.1519556869205885,4.688827103130585
