party,votes,vote_share_pct,seats,seat_share_pct,representation_gap
SSD,63543.0,0.01034611067445425,0.0,0.0,-0.01034611067445425
MADP,59235.0,0.009644679442287859,0.0,0.0,-0.009644679442287859
RSPSR,58110.0,0.00946150624447282,0.0,0.0,-0.00946150624447282
TJS,57073.0,0.009292661261242424,0.0,0.0,-0.009292661261242424
RJBP,55868.0,0.009096462413804981,0.0,0.0,-0.009096462413804981
LTSP,55280.0,0.009000723889080322,0.0,0.0,-0.009000723889080322
BARESP,54266.0,0.008835623780116366,0.0,0.0,-0.008835623780116366
SAD(M),52185.0,0.008496794069313614,0.0,0.0,-0.008496794069313614
AHNP,50071.0,0.008152591278041622,0.0,0.0,-0.008152591278041622
ANC,49149.0,0.00800247066614343,0.0,0.0,-0.00800247066614343
ABGP,48426.0,0.007884751357680964,0.0,0.0,-0.007884751357680964
BAHUMP,46185.0,0.007519870347633405,0.0,0.0,-0.007519870347633405
PUJP,43892.0,0.0071465226653312855,0.0,0.0,-0.0071465226653312855
RVNP,42905.0,0.006985818713114891,0.0,0.0,-0.006985818713114891
BJKVP,40906.0,0.006660340293175102,0.0,0.0,-0.006660340293175102
ACDP,40214.0,0.006547668423941318,0.0,0.0,-0.006547668423941318
PDP,39856.0,0.006489378641881065,0.0,0.0,-0.006489378641881065
JKNPP,39760.0,0.006473747862334182,0.0,0.0,-0.006473747862334182
TNLK,37356.0,0.006082327091180979,0.0,0.0,-0.006082327091180979
NEINDP,37221.0,0.0060603463074431745,0.0,0.0,-0.0060603463074431745
ASDC,36915.0,0.006010523197637483,0.0,0.0,-0.006010523197637483
AMB,36570.0,0.005954350083640871,0.0,0.0,-0.005954350083640871
ASP,35076.0,0.005711096076942499,0.0,0.0,-0.005711096076942499
JKP,35060.0,0.005708490947018019,0.0,0.0,-0.005708490947018019
AAM,34845.0,0.005673484513657811,0.0,0.0,-0.005673484513657811
BLSD,34643.0,0.005640594748361244,0.0,0.0,-0.005640594748361244
JKiP,33902.0,0.005519944668733738,0.0,0.0,-0.005519944668733738
SPAKP,33366.0,0.0054326728162636395,0.0,0.0,-0.0054326728162636395
BLND,32445.0,0.005282715024985727,0.0,0.0,-0.005282715024985727
BNARP,31308.0,0.0050975879797273286,0.0,0.0,-0.0050975879797273286
AJPR,31017.0,0.005050207179225838,0.0,0.0,-0.005050207179225838
RSOSP,30983.0,0.0050446712781363175,0.0,0.0,-0.0050446712781363175
YKP,30492.0,0.00496472635357882,0.0,0.0,-0.00496472635357882
PECP,29998.0,0.004884292967160483,0.0,0.0,-0.004884292967160483
BJKD,29507.0,0.004804348042602986,0.0,0.0,-0.004804348042602986
WAP,29392.0,0.004785623671270781,0.0,0.0,-0.004785623671270781
BLRP,29129.0,0.004742801848137133,0.0,0.0,-0.004742801848137133
RTORP,28817.0,0.004692001814609762,0.0,0.0,-0.004692001814609762
RSPS,28545.0,0.004647714605893592,0.0,0.0,-0.004647714605893592
PPA,27703.0,0.004510619643617804,0.0,0.0,-0.004510619643617804
JDR,27584.0,0.004491243989804479,0.0,0.0,-0.004491243989804479
JPJD,27404.0,0.004461936278154072,0.0,0.0,-0.004461936278154072
BNDl,26746.0,0.004354800310009809,0.0,0.0,-0.004354800310009809
DSSP,26588.0,0.004329074652005565,0.0,0.0,-0.004329074652005565
RUC,25756.0,0.004193607895932575,0.0,0.0,-0.004193607895932575
SJDD,25630.0,0.004173092497777291,0.0,0.0,-0.004173092497777291
SWAJANPA,25494.0,0.0041509488934192065,0.0,0.0,-0.0041509488934192065
BALP,24915.0,0.004056675754277066,0.0,0.0,-0.004056675754277066
SGUP,24816.0,0.004040556512869342,0.0,0.0,-0.004040556512869342
BMF,23765.0,0.003869432040955026,0.0,0.0,-0.003869432040955026
RaJSP,23580.0,0.00383931022620322,0.0,0.0,-0.00383931022620322
ABHM,23475.0,0.003822214061073816,0.0,0.0,-0.003822214061073816
