state,constituency,candidate,sex,age,category,party,party_symbol,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,raw_swing,sim_vote_share,sim_rank
Andhra Pradesh,Anakapalli,Ruthala Srirama Murthy,MALE,49.0,GENERAL,INC,Hand,10072.0,49.0,10121.0,0.665258718662147,0.8159096332316503,1521363.0,2019,6.0,False,0.8172041621618567,4444.0,,0.0,0.8172041621618567,6.0
Andhra Pradesh,Anakapalli,Vadlamuri Krishna Swaroop,MALE,46.0,SC,DABAP,Cup & Saucer,4443.0,1.0,4444.0,0.292106486091748,0.3582553512579245,1521363.0,2019,7.0,False,0.3588237621428012,3765.0,,0.0,0.3588237621428012,7.0
Andhra Pradesh,Anakapalli,Appala Naidu Tummagunta,MALE,37.0,GENERAL,IND,Laptop,3760.0,5.0,3765.0,0.2474754545759296,0.3035174161759869,1521363.0,2019,8.0,False,0.3039989794031608,2716.0,,0.0,0.3039989794031608,8.0
Andhra Pradesh,Anakapalli,P.S.AJAY KUMAR,MALE,57.0,GENERAL,CPI(ML)(L),Flag with Three Stars,2708.0,8.0,2716.0,0.1785241260632735,0.2189517403277504,1521363.0,2019,9.0,False,0.2192991309585616,1803.0,,0.0,0.21929913095856157,9.0
Andhra Pradesh,Anakapalli,Taadi Veera Jagadeeshwari,FEMALE,65.0,GENERAL,PPOI,FLUTE,1801.0,2.0,1803.0,0.1185121499602658,0.1453497745990184,1521363.0,2019,10.0,False,0.1455803877460554,1621.0,,0.0,0.1455803877460554,10.0
Andhra Pradesh,Anakapalli,K B SWAROOP,MALE,51.0,GENERAL,JAJGP,Mike,1615.0,6.0,1621.0,0.1065491930591187,0.1306777507626227,1521363.0,2019,11.0,False,0.1308850851560487,,,0.0,0.1308850851560487,11.0
Andhra Pradesh,Anantapur,TALARI RANGAIAH,MALE,48.0,GENERAL,YSRCP,Ceiling Fan,690901.0,4307.0,695208.0,41.77531006633978,51.56893259768832,1664160.0,2019,1.0,True,51.79206529658662,553780.0,141428.0,0.0,51.79206529658661,1.0
Andhra Pradesh,Anantapur,J.C. PAVAN REDDY,MALE,45.0,GENERAL,TDP,Bicycle,550597.0,3183.0,553780.0,33.27684837996346,41.07812840753823,1664160.0,2019,2.0,False,41.25586863204068,30079.0,,0.0,41.255868632040674,2.0
Andhra Pradesh,Anantapur,K.RAJIV REDDY,MALE,29.0,GENERAL,INC,Hand,29994.0,85.0,30079.0,1.80745841745986,2.2311911307203993,1664160.0,2019,3.0,False,2.2408452320111807,20294.0,,0.0,2.2408452320111802,3.0
Andhra Pradesh,Anantapur,D.JAGADEESH,MALE,58.0,GENERAL,CPI,Ears of Corn And Sickle,20192.0,102.0,20294.0,1.219474089029901,1.5053623061551171,1664160.0,2019,4.0,False,1.5118758315913063,16466.0,,0.0,1.5118758315913061,4.0
Andhra Pradesh,Anantapur,NOTA,,,,NOTA,,16406.0,60.0,16466.0,0.9894481299875012,1.2214100587932477,1664160.0,2019,5.0,False,1.2266949562916356,7604.0,,0.0,1.2266949562916356,5.0
Andhra Pradesh,Anantapur,HAMSA DEVINENI,FEMALE,33.0,GENERAL,BJP,Lotus,7440.0,164.0,7604.0,0.4569272185366791,0.5640472541639654,1664160.0,2019,6.0,False,0.5664878202138708,4398.0,,0.0,0.5664878202138707,6.0
Andhra Pradesh,Anantapur,S.V.P. YADAV,MALE,51.0,GENERAL,IND,Tractor Chalata Kisan,4398.0,0.0,4398.0,0.2642774733198731,0.3262335381132456,1664160.0,2019,7.0,False,0.3276451122173334,3588.0,,0.0,0.3276451122173334,7.0
Andhra Pradesh,Anantapur,P. RANGAIAH,MALE,48.0,GENERAL,IND,Electric Pole,3580.0,8.0,3588.0,0.2156042688203057,0.2661495986244487,1664160.0,2019,8.0,False,0.2673011965974971,3237.0,,0.0,0.26730119659749707,8.0
Andhra Pradesh,Anantapur,SOMANATH DESHMUKH,MALE,50.0,GENERAL,IND,DIAMOND,3236.0,1.0,3237.0,0.1945125468704932,0.24011322484597,1664160.0,2019,9.0,False,0.241152166495568,2066.0,,0.0,0.24115216649556798,9.0
Andhra Pradesh,Anantapur,VADDE KASINATH,MALE,28.0,GENERAL,IND,Gas Stove,2063.0,3.0,2066.0,0.1241467166618594,0.1532511345479685,1664160.0,2019,10.0,False,0.1539142341612121,1691.0,,0.0,0.15391423416121208,10.0
Andhra Pradesh,Anantapur,L. RANGAIAH,MALE,70.0,GENERAL,IND,Dish Antenna,1688.0,3.0,1691.0,0.1016128256898375,0.1254344958957476,1664160.0,2019,11.0,False,0.1259772361890657,1220.0,,0.0,0.1259772361890657,11.0
Andhra Pradesh,Anantapur,P.RADHA KRISHNA,MALE,40.0,GENERAL,RD,Latch,1219.0,1.0,1220.0,0.0733102586289779,0.0904967977485583,1664160.0,2019,12.0,False,0.0908883667360497,1048.0,,0.0,0.09088836673604969,12.0
Andhra Pradesh,Anantapur,M.VENKATESULU,MALE,48.0,GENERAL,PPOI,FLUTE,1043.0,5.0,1048.0,0.0629747139698106,0.077738232820073,1664160.0,2019,13.0,False,0.0780745969994919,899.0,,0.0,0.07807459699949189,13.0
Andhra Pradesh,Anantapur,G. LALITHA,FEMALE,56.0,GENERAL,SUCI(C),Battery Torch,890.0,9.0,899.0,0.0540212479569272,0.0666857550622573,1664160.0,2019,14.0,False,0.0669742964718924,728.0,,0.0,0.0669742964718924,14.0
Andhra Pradesh,Anantapur,GADIDAMA RANGANAYAKULU,MALE,43.0,SC,VJNP,Ring,728.0,0.0,728.0,0.0437457936736852,0.0540013678368446,1664160.0,2019,15.0,False,0.0542350253965936,,,0.0,0.05423502539659359,15.0
Andhra Pradesh,Aruku,GODDETI. MADHAVI,FEMALE,26.0,ST,YSRCP,Ceiling Fan,557561.0,4629.0,562190.0,38.73384510871438,52.13983964534633,1451418.0,2019,1.0,True,52.31922928737745,338101.0,224089.0,0.0,52.31922928737745,1.0
Andhra Pradesh,Aruku,KISHORE CHANDRA DEO,MALE,72.0,ST,TDP,Bicycle,336163.0,1938.0,338101.0,23.294529901103612,31.35689344159668,1451418.0,2019,2.0,False,31.464778351254218,47977.0,,0.0,31.464778351254225,2.0
Andhra Pradesh,Aruku,NOTA,,,,NOTA,,47955.0,22.0,47977.0,3.3055260441857546,4.4495865929041445,1451418.0,2019,3.0,False,4.464895610950939,42794.0,,0.0,4.46489561095094,3.0
Andhra Pradesh,Aruku,GANGULAIAH VAMPURU.,MALE,49.0,ST,JnP,Glass Tumbler,42245.0,549.0,42794.0,2.9484269865745083,3.968893608536173,1451418.0,2019,4.0,False,3.982548779103205,17867.0,,0.0,3.982548779103206,4.0
Andhra Pradesh,Aruku,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,MALE,54.0,ST,BJP,Lotus,17578.0,289.0,17867.0,1.2310030604553617,1.6570599173649532,1451418.0,2019,5.0,False,1.66276111221753,17730.0,,0.0,1.66276111221753,5.0
Andhra Pradesh,Aruku,SHRUTI DEVI VYRICHERLA,FEMALE,46.0,ST,INC,Hand,17656.0,74.0,17730.0,1.2215640153284582,1.6443539673633298,1451418.0,2019,6.0,False,1.6500114467799183,13826.0,,0.0,1.6500114467799185,6.0
Andhra Pradesh,Aruku,KANGALA BALUDORA,MALE,61.0,ST,IND,Cup & Saucer,13810.0,16.0,13826.0,0.9525856782815152,1.2822807643973717,1451418.0,2019,7.0,False,1.2866925134336804,11236.0,,0.0,1.2866925134336804,7.0
Andhra Pradesh,Aruku,NARAVA SATYAVATHI,FEMALE,37.0,ST,IND,Bangles,11231.0,5.0,11236.0,0.7741394966853105,1.0420733884542794,1451418.0,2019,8.0,False,1.0456586923868676,10240.0,,0.0,1.0456586923868678,8.0
