state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,raw_swing,sim_vote_share,sim_rank
Rajasthan,JODHPUR,SHAHNAZ BANO,FEMALE,36.0,GENERAL,DKD,Truck,1385918.0,1373247.0,546.0,1.0,547.0,0.03,0.04,0.04,2138241.0,2024,14.0,False,0.0395277481901783,503.0,,0.0,0.03952774819017829,14.0
Rajasthan,JODHPUR,RAM DAYAL BISHNOI,MALE,60.0,GENERAL,RJSPS,Chakki,1385918.0,1373247.0,491.0,12.0,503.0,0.02,0.04,0.04,2138241.0,2024,15.0,False,0.0363481852644601,487.0,,0.0,0.0363481852644601,15.0
Rajasthan,JODHPUR,BHOM SINGH,MALE,47.0,GENERAL,IPGP,Pot,1385918.0,1373247.0,483.0,4.0,487.0,0.02,0.04,0.04,2138241.0,2024,16.0,False,0.0351919805641989,,,0.0,0.035191980564198894,16.0
Rajasthan,KARAULI-DHOLPUR,BHAJAN LAL JATAV,MALE,55.0,SC,INC,Hand,990998.0,980662.0,525379.0,4632.0,530011.0,26.77,53.48,54.05,1980182.0,2024,1.0,True,53.638214714377376,431066.0,98945.0,0.0,53.638214714377376,1.0
Rajasthan,KARAULI-DHOLPUR,INDU DEVI,FEMALE,37.0,SC,BJP,Lotus,990998.0,980662.0,426798.0,4268.0,431066.0,21.77,43.5,43.96,1980182.0,2024,2.0,False,43.62477507838101,14112.0,,0.0,43.62477507838101,2.0
Rajasthan,KARAULI-DHOLPUR,VIKRAM SINGH,MALE,36.0,SC,BSP,Elephant,990998.0,980662.0,14005.0,107.0,14112.0,0.71,1.42,1.44,1980182.0,2024,3.0,False,1.428163728770334,7460.0,,0.0,1.428163728770334,3.0
Rajasthan,KARAULI-DHOLPUR,NOTA,,,,NOTA,NOTA,990998.0,980662.0,7402.0,58.0,7460.0,0.38,0.75,0.76,1980182.0,2024,4.0,False,0.7549675040126624,5473.0,,0.0,0.7549675040126624,4.0
Rajasthan,KARAULI-DHOLPUR,RAMKHILADI DHOVI,MALE,58.0,SC,IND,Iron,990998.0,980662.0,5426.0,47.0,5473.0,0.28,0.55,0.56,1980182.0,2024,5.0,False,0.5538789744586194,,,0.0,0.5538789744586194,5.0
Rajasthan,KOTA,OM BIRLA,MALE,62.0,GENERAL,BJP,Lotus,1500959.0,1489896.0,744396.0,6100.0,750496.0,35.93,50.0,50.37,2088853.0,2024,1.0,True,50.027830420415995,708522.0,41974.0,0.0,50.027830420415995,1.0
Rajasthan,KOTA,PRAHLAD GUNJAL,MALE,56.0,GENERAL,INC,Hand,1500959.0,1489896.0,702623.0,5899.0,708522.0,33.92,47.2,47.56,2088853.0,2024,2.0,False,47.229856608341656,10261.0,,0.0,47.229856608341656,2.0
Rajasthan,KOTA,NOTA,,,,NOTA,NOTA,1500959.0,1489896.0,10176.0,85.0,10261.0,0.49,0.68,0.69,2088853.0,2024,3.0,False,0.6839950751821309,7575.0,,0.0,0.6839950751821309,3.0
Rajasthan,KOTA,DHANRAJ YADAV,MALE,35.0,SC,BSP,Elephant,1500959.0,1489896.0,7547.0,28.0,7575.0,0.36,0.5,0.51,2088853.0,2024,4.0,False,0.5049471488650855,5775.0,,0.0,0.5049471488650855,4.0
Rajasthan,KOTA,ASHISH YOGI,MALE,29.0,GENERAL,ESBD,Diamond,1500959.0,1489896.0,5756.0,19.0,5775.0,0.28,0.38,0.39,2088853.0,2024,5.0,False,0.3849597075506097,3892.0,,0.0,0.3849597075506097,5.0
Rajasthan,KOTA,LAKSHMICHAND,MALE,58.0,GENERAL,IND,Balloon,1500959.0,1489896.0,3890.0,2.0,3892.0,0.19,0.26,0.26,2088853.0,2024,6.0,False,0.2594395119977442,2521.0,,0.0,0.2594395119977442,6.0
Rajasthan,KOTA,SATYENDRA KUMAR JAIN,MALE,55.0,GENERAL,IND,Sitar,1500959.0,1489896.0,2520.0,1.0,2521.0,0.12,0.17,0.17,2088853.0,2024,7.0,False,0.1680490775298852,2422.0,,0.0,0.1680490775298852,7.0
Rajasthan,KOTA,RAMNATH MEHRA,MALE,65.0,SC,IND,Almirah,1500959.0,1489896.0,2407.0,15.0,2422.0,0.12,0.16,0.16,2088853.0,2024,8.0,False,0.161449768257589,1860.0,,0.0,0.161449768257589,8.0
Rajasthan,KOTA,MOINUDDIN,MALE,35.0,GENERAL,IND,Iron,1500959.0,1489896.0,1854.0,6.0,1860.0,0.09,0.12,0.12,2088853.0,2024,9.0,False,0.1239870226916249,1131.0,,0.0,0.1239870226916249,9.0
Rajasthan,KOTA,BHANWAR KUMAR RAWAL,MALE,40.0,SC,IND,Flute,1500959.0,1489896.0,1102.0,29.0,1131.0,0.05,0.08,0.08,2088853.0,2024,10.0,False,0.0753921089592622,1069.0,,0.0,0.0753921089592622,10.0
Rajasthan,KOTA,BALDEV SINGH FOJI,MALE,73.0,GENERAL,BHRJWNKP,Gift pack,1500959.0,1489896.0,1066.0,3.0,1069.0,0.05,0.07,0.07,2088853.0,2024,11.0,False,0.0712592082028747,1014.0,,0.0,0.0712592082028747,11.0
Rajasthan,KOTA,KAMAL KUMAR BAIRWA,MALE,27.0,SC,IND,Apple,1500959.0,1489896.0,965.0,49.0,1014.0,0.05,0.07,0.07,2088853.0,2024,12.0,False,0.0675929252738213,1000.0,,0.0,0.0675929252738213,12.0
Rajasthan,KOTA,TARUN GOCHAR,MALE,40.0,GENERAL,RTORP,Pressure cooker,1500959.0,1489896.0,992.0,8.0,1000.0,0.05,0.07,0.07,2088853.0,2024,13.0,False,0.0666596896191532,994.0,,0.0,0.0666596896191532,13.0
Rajasthan,KOTA,KAILASHI ANIL JAIN,MALE,60.0,GENERAL,IND,Phone charger,1500959.0,1489896.0,990.0,4.0,994.0,0.05,0.07,0.07,2088853.0,2024,14.0,False,0.0662597314814382,865.0,,0.0,0.0662597314814382,14.0
Rajasthan,KOTA,ABDUL ASIF,MALE,32.0,GENERAL,IND,Auto- rickshaw,1500959.0,1489896.0,860.0,5.0,865.0,0.04,0.06,0.06,2088853.0,2024,15.0,False,0.0576606315205675,760.0,,0.0,0.0576606315205675,15.0
Rajasthan,KOTA,OM PRAKASH SHAKYAWAL,MALE,39.0,SC,IND,Baby walker,1500959.0,1489896.0,757.0,3.0,760.0,0.04,0.05,0.05,2088853.0,2024,16.0,False,0.0506613641105564,,,0.0,0.0506613641105564,16.0
Rajasthan,NAGAUR,HANUMAN BENIWAL,MALE,52.0,GENERAL,RLTP,Bottle,1241279.0,1229702.0,591460.0,5495.0,596955.0,27.69,48.09,48.54,2155502.0,2024,1.0,True,48.20088932096219,554730.0,42225.0,0.0,48.2008893209622,1.0
Rajasthan,NAGAUR,JYOTI MIRDHA,FEMALE,51.0,GENERAL,BJP,Lotus,1241279.0,1229702.0,550304.0,4426.0,554730.0,25.74,44.69,45.11,2155502.0,2024,2.0,False,44.79144882447982,26294.0,,0.0,44.79144882447983,2.0
Rajasthan,NAGAUR,DR ASHOK CHOUDHARY,MALE,59.0,GENERAL,ARJP,Bat,1241279.0,1229702.0,26251.0,43.0,26294.0,1.22,2.12,2.14,2155502.0,2024,3.0,False,2.123098363872285,24008.0,,0.0,2.123098363872285,3.0
Rajasthan,NAGAUR,DR. GAJENDRA SINGH RATHORE,MALE,48.0,GENERAL,BSP,Elephant,1241279.0,1229702.0,23551.0,457.0,24008.0,1.11,1.93,1.95,2155502.0,2024,4.0,False,1.938516221185282,8771.0,,0.0,1.9385162211852824,4.0
Rajasthan,NAGAUR,NOTA,,,,NOTA,NOTA,1241279.0,1229702.0,8711.0,60.0,8771.0,0.41,0.71,0.71,2155502.0,2024,5.0,False,0.7082108370549862,8232.0,,0.0,0.7082108370549863,5.0
Rajasthan,NAGAUR,RAJKUMAR JAT,MALE,48.0,GENERAL,IND,Whistle,1241279.0,1229702.0,8219.0,13.0,8232.0,0.38,0.66,0.67,2155502.0,2024,6.0,False,0.6646895006996518,7626.0,,0.0,0.6646895006996519,6.0
