state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,general,postal,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,raw_swing,sim_vote_share,sim_rank
Odisha,Sundargarh,JUAL ORAM,MALE,63.0,ST,BJP,Lotus,1159760.0,1137976.0,490655.0,3627.0,494282.0,31.3,42.62,43.44,1579096.0,2024,1.0,True,42.76620836026327,355474.0,138808.0,0.0,42.76620836026328,1.0
Puducherry,PUDUCHERRY,VE. VAITHILINGAM,MALE,73.0,GENERAL,INC,Hand,811432.0,798177.0,424292.0,1713.0,426005.0,41.6,52.5,53.37,1024024.0,2024,1.0,True,52.72730648315469,289489.0,136516.0,0.0,52.7273064831547,1.0
Punjab,Amritsar,GURJEET SINGH AUJLA,MALE,51.0,GENERAL,INC,Hand,905825.0,901942.0,254414.0,767.0,255181.0,15.78,28.17,28.29,1617542.0,2024,1.0,True,28.176371602462748,214880.0,40301.0,0.0,28.176371602462748,1.0
Punjab,Anandpur Sahib,MALVINDER SINGH KANG,MALE,45.0,GENERAL,AAAP,Broom,1077450.0,1070721.0,312241.0,976.0,313217.0,17.99,29.07,29.25,1740606.0,2024,1.0,True,29.07903739870006,302371.0,10846.0,0.0,29.07903739870007,1.0
Punjab,Bathinda,HARSIMRAT KAUR BADAL,FEMALE,57.0,GENERAL,SAD,Scales,1151720.0,1146237.0,375019.0,1539.0,376558.0,22.7,32.7,32.85,1659163.0,2024,1.0,True,32.71089413379432,326902.0,49656.0,0.0,32.71089413379432,1.0
Punjab,Faridkot,SARABJEET SINGH KHALSA,MALE,45.0,SC,IND,Ganna kisan,1014543.0,1010312.0,296922.0,1140.0,298062.0,18.63,29.38,29.5,1599861.0,2024,1.0,True,29.381490554041335,228009.0,70053.0,0.0,29.381490554041328,1.0
Punjab,Fatehgarh Sahib,AMAR SINGH,MALE,70.0,SC,INC,Hand,974566.0,965068.0,331324.0,1267.0,332591.0,21.36,34.13,34.46,1557201.0,2024,1.0,True,34.13794731569526,298389.0,34202.0,0.0,34.13794731569526,1.0
Punjab,Firozpur,SHER SINGH GHUBAYA,MALE,61.0,SC,INC,Hand,1127376.0,1119015.0,264712.0,1914.0,266626.0,15.92,23.65,23.83,1674979.0,2024,1.0,True,23.697666460761788,263384.0,3242.0,0.0,23.697666460761788,1.0
Punjab,Gurdaspur,SUKHJINDER SINGH RANDHAWA,MALE,65.0,GENERAL,INC,Hand,1081028.0,1074472.0,361713.0,2330.0,364043.0,22.37,33.68,33.88,1627611.0,2024,1.0,True,33.77567436673452,281182.0,82861.0,0.0,33.77567436673452,1.0
Punjab,Hoshiarpur,DR. RAJ KUMAR CHABBEWAL,MALE,54.0,SC,AAAP,Broom,949116.0,942933.0,302402.0,1457.0,303859.0,18.78,32.01,32.22,1618186.0,2024,1.0,True,32.03624727855475,259748.0,44111.0,0.0,32.03624727855475,1.0
