state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Arunachal Pradesh,Arunachal East,BOSIRAM SIRAM,MALE,57.0,ST,INC,Hand,326063.0,318548.0,109433.0,5727.0,115160.0,30.44,35.32,36.15,378357.0,2024,2.0,False,35.60441870746932,27603.0,
Arunachal Pradesh,Arunachal West,KIREN RIJIJU,MALE,53.0,ST,BJP,Lotus,402330.0,397508.0,196415.0,9002.0,205417.0,39.5,51.06,51.68,520085.0,2024,1.0,True,51.37942591870016,104679.0,100738.0
Arunachal Pradesh,Arunachal West,NABAM TUKI,MALE,56.0,ST,INC,Hand,402330.0,397508.0,100100.0,4579.0,104679.0,20.13,26.02,26.33,520085.0,2024,2.0,False,26.182579463937326,33314.0,
Assam,Barpeta,PHANI BHUSAN CHOUDHURY,MALE,72.0,GENERAL,AGP,Elephant,1690051.0,1668826.0,853642.0,6471.0,860113.0,43.46,50.89,51.54,1979051.0,2024,1.0,True,51.01673069611488,637762.0,222351.0
Assam,Barpeta,DEEP BAYAN,MALE,50.0,GENERAL,INC,Hand,1690051.0,1668826.0,635411.0,2351.0,637762.0,32.23,37.74,38.22,1979051.0,2024,2.0,False,37.82820652892773,96138.0,
Assam,Darrang-Udalguri,DILIP SAIKIA,MALE,50.0,GENERAL,BJP,Lotus,1820644.0,1787996.0,864583.0,3804.0,868387.0,39.21,47.7,48.57,2214516.0,2024,1.0,True,47.9453953180212,539375.0,329012.0
Assam,Darrang-Udalguri,MADHAB RAJBANGSHI,MALE,67.0,GENERAL,INC,Hand,1820644.0,1787996.0,538032.0,1343.0,539375.0,24.36,29.63,30.17,2214516.0,2024,2.0,False,29.77998012367491,310574.0,
Assam,Dhubri,RAKIBUL HUSSAIN,MALE,59.0,GENERAL,INC,Hand,2458780.0,2438593.0,1468549.0,3336.0,1471885.0,55.25,59.86,60.36,2663987.0,2024,1.0,True,59.98859638540467,459409.0,1012476.0
Assam,Dhubri,MOHAMMED BADRUDDIN AJMAL,MALE,68.0,GENERAL,AIUDF,Lock and key,2458780.0,2438593.0,458202.0,1207.0,459409.0,17.25,18.68,18.84,2663987.0,2024,2.0,False,18.723814072989654,438594.0,
Assam,Dibrugarh,SARBANANDA SONOWAL,MALE,62.0,ST,BJP,Lotus,1278464.0,1246067.0,691153.0,2609.0,693762.0,41.74,54.27,55.68,1661998.0,2024,1.0,True,54.27130253566786,414441.0,279321.0
Assam,Dibrugarh,LURINJYOTI GOGOI,MALE,45.0,GENERAL,ASMJTYP,Ship,1278464.0,1246067.0,412793.0,1648.0,414441.0,24.94,32.42,33.26,1661998.0,2024,2.0,False,32.42070464249227,137864.0,
Assam,Diphu,AMARSING TISSO,MALE,56.0,ST,BJP,Lotus,687376.0,666568.0,332440.0,2180.0,334620.0,37.1,48.68,50.2,902050.0,2024,1.0,True,49.00509206577947,187017.0,147603.0
Assam,Diphu,J. I. KATHAR,MALE,73.0,ST,IND,Scissors,687376.0,666568.0,185864.0,1153.0,187017.0,20.73,27.21,28.06,902050.0,2024,2.0,False,27.388635774508035,124019.0,
Assam,Guwahati,BIJULI KALITA MEDHI,FEMALE,45.0,GENERAL,BJP,Lotus,1602455.0,1579140.0,891901.0,2986.0,894887.0,43.87,55.84,56.67,2039765.0,2024,1.0,True,55.95180409518885,643797.0,251090.0
Assam,Guwahati,MIRA BORTHAKUR GOSWAMI,FEMALE,51.0,GENERAL,INC,Hand,1602455.0,1579140.0,642353.0,1444.0,643797.0,31.56,40.18,40.77,2039765.0,2024,2.0,False,40.252683993700096,20249.0,
Assam,Jorhat,GAURAV GOGOI,MALE,41.0,GENERAL,INC,Hand,1396283.0,1376605.0,743194.0,8577.0,751771.0,43.38,53.84,54.61,1732944.0,2024,1.0,True,54.039147186520594,607378.0,144393.0
Assam,Jorhat,TOPON KUMAR GOGOI,MALE,55.0,GENERAL,BJP,Lotus,1396283.0,1376605.0,602019.0,5359.0,607378.0,35.05,43.5,44.12,1732944.0,2024,2.0,False,43.65982345668363,14555.0,
Assam,Karimganj,KRIPANATH MALLAH,MALE,50.0,SC,BJP,Lotus,1147607.0,1143942.0,541220.0,3873.0,545093.0,38.54,47.5,47.65,1414520.0,2024,1.0,True,47.52825486841715,526733.0,18360.0
Assam,Karimganj,HAFIZ RASHID AHMED CHOUDHURY,MALE,71.0,GENERAL,INC,Hand,1147607.0,1143942.0,524390.0,2343.0,526733.0,37.24,45.9,46.05,1414520.0,2024,2.0,False,45.92739270474208,29205.0,
Assam,Kaziranga,KAMAKHYA PRASAD TASA,MALE,48.0,GENERAL,BJP,Lotus,1635636.0,1605506.0,892766.0,4277.0,897043.0,43.68,54.84,55.87,2053805.0,2024,1.0,True,55.0354400200744,648096.0,248947.0
Assam,Kaziranga,ROSELINA TIRKEY,FEMALE,42.0,GENERAL,INC,Hand,1635636.0,1605506.0,646123.0,1973.0,648096.0,31.56,39.62,40.37,2053805.0,2024,2.0,False,39.76202761211016,24431.0,
Assam,Kokrajhar,JOYANTA BASUMATARY,MALE,48.0,ST,UPPL,Tractor chalata kisan,1254499.0,1227584.0,484681.0,4314.0,488995.0,32.72,38.98,39.83,1494404.0,2024,1.0,True,39.387561458111826,437412.0,51583.0
Assam,Kokrajhar,KAMPA BORGOYARI,MALE,58.0,ST,BOPF,Nangol,1254499.0,1227584.0,432768.0,4644.0,437412.0,29.27,34.87,35.63,1494404.0,2024,2.0,False,35.232654797115735,113736.0,
Assam,Lakhimpur,PRADAN BARUAH,MALE,58.0,ST,BJP,Lotus,1214239.0,1194293.0,659307.0,3815.0,663122.0,41.96,54.61,55.52,1580500.0,2024,1.0,True,54.74854154592005,461865.0,201257.0
Assam,Lakhimpur,UDAY SHANKAR HAZARIKA,MALE,65.0,GENERAL,INC,Hand,1214239.0,1194293.0,458720.0,3145.0,461865.0,29.22,38.04,38.67,1580500.0,2024,2.0,False,38.132402696798415,19631.0,
Assam,Nagaon,PRADYUT BORDOLOI,MALE,64.0,GENERAL,INC,Hand,1550628.0,1538003.0,786620.0,2230.0,788850.0,43.32,50.87,51.29,1821023.0,2024,1.0,True,50.893614056276206,576619.0,212231.0
Assam,Nagaon,SURESH BORAH,MALE,52.0,GENERAL,BJP,Lotus,1550628.0,1538003.0,573579.0,3040.0,576619.0,31.66,37.19,37.49,1821023.0,2024,2.0,False,37.20127380809524,137340.0,
Assam,Silchar,PARIMAL SUKLABAIDYA,MALE,66.0,SC,BJP,Lotus,1090948.0,1076726.0,647572.0,4833.0,652405.0,47.46,59.8,60.59,1374559.0,2024,1.0,True,59.885205603684874,388094.0,264311.0
Assam,Silchar,SURYA KANTA SARKAR,MALE,51.0,SC,INC,Hand,1090948.0,1076726.0,386453.0,1641.0,388094.0,28.23,35.57,36.04,1374559.0,2024,2.0,False,35.62371377220665,20493.0,
Assam,Sonitpur,RANJIT DUTTA,MALE,67.0,GENERAL,BJP,Lotus,1290556.0,1269720.0,771018.0,4770.0,775788.0,47.33,60.11,61.1,1638992.0,2024,1.0,True,60.2101099910902,414380.0,361408.0
Assam,Sonitpur,PREMLAL GANJU,MALE,53.0,GENERAL,INC,Hand,1290556.0,1269720.0,412553.0,1827.0,414380.0,25.28,32.11,32.64,1638992.0,2024,2.0,False,32.16067453751277,33048.0,
Bihar,Araria,PRADEEP KUMAR SINGH,MALE,58.0,GENERAL,BJP,Lotus,1252751.0,1239056.0,599118.0,1028.0,600146.0,29.71,47.91,48.44,2019757.0,2024,1.0,True,47.91355304336719,580052.0,20094.0
Bihar,Araria,SHAHNAWAZ,MALE,42.0,GENERAL,RJD,Hurricane lamp,1252751.0,1239056.0,578904.0,1148.0,580052.0,28.72,46.3,46.81,2019757.0,2024,2.0,False,46.30931851567989,13746.0,
Bihar,Arrah,SUDAMA PRASAD,MALE,56.0,GENERAL,CPI(ML)(L),Flag with three stars,1097080.0,1079598.0,526564.0,2818.0,529382.0,24.24,48.25,49.04,2183625.0,2024,1.0,True,48.27656646552266,469574.0,59808.0
Bihar,Arrah,R. K. SINGH,MALE,71.0,GENERAL,BJP,Lotus,1097080.0,1079598.0,464736.0,4838.0,469574.0,21.5,42.8,43.5,2183625.0,2024,2.0,False,42.822423923520894,23635.0,
Bihar,Aurangabad,ABHAY KUMAR SINHA,MALE,53.0,GENERAL,RJD,Hurricane lamp,946044.0,923253.0,463845.0,1722.0,465567.0,24.82,49.21,50.43,1875809.0,2024,1.0,True,49.220514230134896,386456.0,79111.0
Bihar,Aurangabad,SUSHIL KUMAR SINGH,MALE,58.0,GENERAL,BJP,Lotus,946044.0,923253.0,384819.0,1637.0,386456.0,20.6,40.85,41.86,1875809.0,2024,2.0,False,40.85676830041866,22627.0,
Bihar,Banka,GIRIDHARI YADAV,MALE,63.0,GENERAL,JD(U),Arrow,1014931.0,979266.0,505674.0,1004.0,506678.0,27.24,49.92,51.74,1859967.0,2024,1.0,True,49.96060759943007,402834.0,103844.0
Bihar,Banka,JAI PRAKASH NARAYAN YADAV,MALE,70.0,GENERAL,RJD,Hurricane lamp,1014931.0,979266.0,401567.0,1267.0,402834.0,21.66,39.69,41.14,1859967.0,2024,2.0,False,39.72114716192298,34889.0,
Bihar,Begusarai,GIRIRAJ SINGH,MALE,71.0,GENERAL,BJP,Lotus,1296227.0,1272291.0,646912.0,2419.0,649331.0,29.51,50.09,51.04,2200435.0,2024,1.0,True,50.15405434422438,567851.0,81480.0
Bihar,Begusarai,ABDHESH KUMAR ROY,MALE,72.0,GENERAL,CPI,Ears of corn and sickle,1296227.0,1272291.0,564310.0,3541.0,567851.0,25.81,43.81,44.63,2200435.0,2024,2.0,False,43.8605732876178,22382.0,
Bihar,Bhagalpur,AJAY KUMAR MANDAL,MALE,46.0,GENERAL,JD(U),Arrow,1065031.0,1032278.0,534923.0,1108.0,536031.0,26.96,50.33,51.93,1988207.0,2024,1.0,True,50.37501844314484,431163.0,104868.0
Bihar,Bhagalpur,AJEET SHARMA,MALE,70.0,GENERAL,INC,Hand,1065031.0,1032278.0,430025.0,1138.0,431163.0,21.69,40.48,41.77,1988207.0,2024,2.0,False,40.519753665369464,31803.0,
Bihar,Buxar,SUDHAKAR SINGH,MALE,52.0,GENERAL,RJD,Hurricane lamp,1074086.0,1064142.0,435062.0,3283.0,438345.0,22.66,40.81,41.19,1934352.0,2024,1.0,True,40.823406369585726,408254.0,30091.0
Bihar,Buxar,MITHILESH TIWARI,MALE,53.0,GENERAL,BJP,Lotus,1074086.0,1064142.0,405795.0,2459.0,408254.0,21.11,38.01,38.36,1934352.0,2024,2.0,False,38.02100843857886,114714.0,
Bihar,Darbhanga,GOPAL JEE THAKUR,MALE,54.0,GENERAL,BJP,Lotus,1024986.0,1000280.0,565706.0,924.0,566630.0,31.78,55.28,56.65,1782853.0,2024,1.0,True,55.32501972301852,388474.0,178156.0
Bihar,Darbhanga,LALIT KUMAR YADAV,MALE,58.0,GENERAL,RJD,Hurricane lamp,1024986.0,1000280.0,387408.0,1066.0,388474.0,21.79,37.9,38.84,1782853.0,2024,2.0,False,37.93009849792615,23904.0,
Bihar,Gaya,JITAN RAM MANJHI,MALE,78.0,SC,HAMS,Pan,964870.0,946388.0,492732.0,2228.0,494960.0,27.18,51.3,52.3,1821330.0,2024,1.0,True,51.36166097319016,393148.0,101812.0
Bihar,Gaya,KUMAR SARVJEET,MALE,48.0,SC,RJD,Hurricane lamp,964870.0,946388.0,390469.0,2679.0,393148.0,21.59,40.75,41.54,1821330.0,2024,2.0,False,40.796699305575736,17288.0,
Bihar,Gopalganj,DR. ALOK KUMAR SUMAN,MALE,67.0,SC,JD(U),Arrow,1064581.0,1020164.0,510329.0,1537.0,511866.0,25.25,48.08,50.17,2027054.0,2024,1.0,True,48.15174026623971,384686.0,127180.0
Bihar,Gopalganj,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,MALE,36.0,SC,VSIP,Lady purse,1064581.0,1020164.0,383065.0,1621.0,384686.0,18.98,36.13,37.71,2027054.0,2024,2.0,False,36.1877920316229,42863.0,
Bihar,Hajipur,CHIRAG PASWAN,MALE,42.0,SC,LJPRV,Helicopter,1155605.0,1118397.0,613106.0,2612.0,615718.0,31.21,53.28,55.05,1972915.0,2024,1.0,True,53.29396775276892,445613.0,170105.0
Bihar,Hajipur,SHIV CHANDRA RAM,MALE,53.0,SC,RJD,Hurricane lamp,1155605.0,1118397.0,442553.0,3060.0,445613.0,22.59,38.56,39.84,1972915.0,2024,2.0,False,38.570392374779715,36927.0,
Bihar,Jahanabad,SURENDRA PRASAD YADAV,MALE,65.0,GENERAL,RJD,Hurricane lamp,927696.0,914315.0,440352.0,2683.0,443035.0,26.39,47.76,48.46,1678716.0,2024,1.0,True,47.87652506564942,300444.0,142591.0
Bihar,Jahanabad,CHANDESHWAR PRASAD,MALE,72.0,GENERAL,JD(U),Arrow,927696.0,914315.0,299044.0,1400.0,300444.0,17.9,32.39,32.86,1678716.0,2024,2.0,False,32.46744545425073,86380.0,
Bihar,Jamui,ARUN BHARTI,MALE,45.0,SC,LJPRV,Helicopter,979337.0,953051.0,508179.0,867.0,509046.0,26.64,51.98,53.41,1910619.0,2024,1.0,True,51.98415494575856,396564.0,112482.0
Bihar,Jamui,ARCHANA KUMARI,FEMALE,38.0,SC,RJD,Hurricane lamp,979337.0,953051.0,395696.0,868.0,396564.0,20.76,40.49,41.61,1910619.0,2024,2.0,False,40.49740970739344,26182.0,
