sr_no,party_type,abbreviation,party_symbol,party_name,year
150,U,ASPKR,"Air conditioner,Kettle,Pen nib with seven rays",Aazad Samaj Party (Kanshi Ram),2024
151,U,ASSP,Auto- rickshaw,Asankhya Samaj Party,2024
152,U,ATBP,Batsman,Atulya Bharat Party,2024
153,U,AVIRP,Bat,AARAKSHAN VIRODHI PARTY,2024
154,U,AVRMK,Diamond,Aravor Munnetra Kazhagam,2024
155,U,AWMIPCHDAP,Air conditioner,Aawami Pichhada Party,2024
156,U,AYSRCP,"Carrom board,Diamond,Road roller,Whistle",Anna YSR Congress Party,2024
157,U,AZSP,"Gas cylinder,Kettle",Azad Samaj Party,2024
158,U,BAAP,Fountain,Bharat Jan Aadhar Party,2024
159,U,BAHUMP,"Bat,Computer,Envelope,Ganna kisan,Petrol pump,Scissors,Television,Trumpet,Whistle",Bahujan Maha Party,2024
160,U,BALP,Ganna kisan,Baliraja Party,2024
161,U,BAP(R),Auto- rickshaw,Bhartiya Awam Party (Rastriya),2024
162,U,BARESP,"Almirah,Auto- rickshaw,Ganna kisan,Nagrik,Ring,Whistle",Bahujan Republican Socialist Party,2024
163,U,BAWPA,Tooth brush,Bahujan Awam Party,2024
164,U,BBC,Auto- rickshaw,Bharatiya Bahujan Congress,2024
165,U,BBKD,Television,BhartiyaBahujanKranti Dal,2024
166,U,BCYP,Ganna kisan,Bharatha Chaitanya Yuvajana Party,2024
167,U,BDJS,Pot,Bharath Dharma Jana Sena,2024
168,U,BDlP,Shoe,Bhartiya Dalit Party,2024
169,U,BDPty,Bucket,Bharatrashtra Democratic Party,2024
170,U,BED,Battery Torch,Bharatiya Ekta Dal,2024
171,U,BGanP,Pot,Bharatiya Gana Parishad,2024
172,U,BGDRPP,"Air conditioner,Almirah,Auto- rickshaw,Cot,Football player,Kettle,Pot,Walking stick",Bhagidari Party(P),2024
173,U,BGVKP,Road roller,Bhartiya Garib Vikas Kalyan Party,2024
174,U,BHAGP,Walking stick,Bhartiya Gandhiwadi Party,2024
