state,constituency,candidate,sex,age,category,party,party_symbol,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Andhra Pradesh,Amalapuram,MURALIKRISHNA KANDERI,MALE,41.0,SC,IPBP,Trumpet,1803.0,1.0,1804.0,0.12359923154712804,0.14602936129153418,1459556.0,2019,10,False,0.14632227399738015,1231.0,
Andhra Pradesh,Amalapuram,CHELLE RAJANI,MALE,30.0,SC,JAJGP,Mike,1231.0,0.0,1231.0,0.08434071731403249,0.09964642114738281,1459556.0,2019,11,False,0.09984629672437637,,
Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,FEMALE,52.0,GENERAL,YSRCP,Ceiling Fan,583210.0,3016.0,586226.0,38.53294710072481,47.25891123909272,1521363.0,2019,1,True,47.33389261609491,497034.0,89192.0
Andhra Pradesh,Anakapalli,ADARI ANAND KUMAR,MALE,43.0,GENERAL,TDP,Bicycle,495381.0,1653.0,497034.0,32.6703094527736,40.06865217307184,1521363.0,2019,2,False,40.13222542594173,82588.0,
Andhra Pradesh,Anakapalli,Chintala Partha Sarathi,MALE,56.0,GENERAL,JnP,Glass Tumbler,82126.0,462.0,82588.0,5.42855321182387,6.65787420110024,1521363.0,2019,3,False,6.668437639030078,34897.0,
Andhra Pradesh,Anakapalli,NOTA,,,,NOTA,,34877.0,20.0,34897.0,2.2937983899963386,2.8132396473554886,1521363.0,2019,4,False,2.8177031565025503,13276.0,
Andhra Pradesh,Anakapalli,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),MALE,65.0,GENERAL,BJP,Lotus,12888.0,388.0,13276.0,0.8726385484595064,1.0702515849010366,1521363.0,2019,5,False,1.0719496548622478,10121.0,
Andhra Pradesh,Anakapalli,Ruthala Srirama Murthy,MALE,49.0,GENERAL,INC,Hand,10072.0,49.0,10121.0,0.665258718662147,0.8159096332316503,1521363.0,2019,6,False,0.8172041621618567,4444.0,
Andhra Pradesh,Anakapalli,Vadlamuri Krishna Swaroop,MALE,46.0,SC,DABAP,Cup & Saucer,4443.0,1.0,4444.0,0.292106486091748,0.3582553512579245,1521363.0,2019,7,False,0.3588237621428012,3765.0,
Andhra Pradesh,Anakapalli,Appala Naidu Tummagunta,MALE,37.0,GENERAL,IND,Laptop,3760.0,5.0,3765.0,0.24747545457592962,0.3035174161759869,1521363.0,2019,8,False,0.3039989794031608,2716.0,
Andhra Pradesh,Anakapalli,P.S.AJAY KUMAR,MALE,57.0,GENERAL,CPI(ML)(L),Flag with Three Stars,2708.0,8.0,2716.0,0.17852412606327353,0.21895174032775044,1521363.0,2019,9,False,0.21929913095856168,1803.0,
Andhra Pradesh,Anakapalli,Taadi Veera Jagadeeshwari,FEMALE,65.0,GENERAL,PPOI,FLUTE,1801.0,2.0,1803.0,0.11851214996026589,0.14534977459901843,1521363.0,2019,10,False,0.14558038774605547,1621.0,
Andhra Pradesh,Anakapalli,K B SWAROOP,MALE,51.0,GENERAL,JAJGP,Mike,1615.0,6.0,1621.0,0.1065491930591187,0.13067775076262278,1521363.0,2019,11,False,0.13088508515604877,,
Andhra Pradesh,Anantapur,TALARI RANGAIAH,MALE,48.0,GENERAL,YSRCP,Ceiling Fan,690901.0,4307.0,695208.0,41.77531006633978,51.568932597688324,1664160.0,2019,1,True,51.79206529658662,553780.0,141428.0
Andhra Pradesh,Anantapur,J.C. PAVAN REDDY,MALE,45.0,GENERAL,TDP,Bicycle,550597.0,3183.0,553780.0,33.27684837996346,41.07812840753823,1664160.0,2019,2,False,41.25586863204068,30079.0,
Andhra Pradesh,Anantapur,K.RAJIV REDDY,MALE,29.0,GENERAL,INC,Hand,29994.0,85.0,30079.0,1.8074584174598598,2.2311911307203993,1664160.0,2019,3,False,2.2408452320111807,20294.0,
Andhra Pradesh,Anantapur,D.JAGADEESH,MALE,58.0,GENERAL,CPI,Ears of Corn And Sickle,20192.0,102.0,20294.0,1.219474089029901,1.5053623061551173,1664160.0,2019,4,False,1.5118758315913063,16466.0,
Andhra Pradesh,Anantapur,NOTA,,,,NOTA,,16406.0,60.0,16466.0,0.9894481299875012,1.2214100587932475,1664160.0,2019,5,False,1.2266949562916356,7604.0,
Andhra Pradesh,Anantapur,HAMSA DEVINENI,FEMALE,33.0,GENERAL,BJP,Lotus,7440.0,164.0,7604.0,0.45692721853667917,0.5640472541639654,1664160.0,2019,6,False,0.5664878202138708,4398.0,
Andhra Pradesh,Anantapur,S.V.P. YADAV,MALE,51.0,GENERAL,IND,Tractor Chalata Kisan,4398.0,0.0,4398.0,0.2642774733198731,0.3262335381132456,1664160.0,2019,7,False,0.32764511221733345,3588.0,
Andhra Pradesh,Anantapur,P. RANGAIAH,MALE,48.0,GENERAL,IND,Electric Pole,3580.0,8.0,3588.0,0.21560426882030576,0.2661495986244487,1664160.0,2019,8,False,0.2673011965974971,3237.0,
Andhra Pradesh,Anantapur,SOMANATH DESHMUKH,MALE,50.0,GENERAL,IND,DIAMOND,3236.0,1.0,3237.0,0.19451254687049324,0.24011322484597,1664160.0,2019,9,False,0.24115216649556806,2066.0,
Andhra Pradesh,Anantapur,VADDE KASINATH,MALE,28.0,GENERAL,IND,Gas Stove,2063.0,3.0,2066.0,0.12414671666185943,0.1532511345479685,1664160.0,2019,10,False,0.15391423416121214,1691.0,
Andhra Pradesh,Anantapur,L. RANGAIAH,MALE,70.0,GENERAL,IND,Dish Antenna,1688.0,3.0,1691.0,0.10161282568983752,0.12543449589574768,1664160.0,2019,11,False,0.1259772361890657,1220.0,
Andhra Pradesh,Anantapur,P.RADHA KRISHNA,MALE,40.0,GENERAL,RD,Latch,1219.0,1.0,1220.0,0.07331025862897798,0.09049679774855836,1664160.0,2019,12,False,0.09088836673604976,1048.0,
Andhra Pradesh,Anantapur,M.VENKATESULU,MALE,48.0,GENERAL,PPOI,FLUTE,1043.0,5.0,1048.0,0.0629747139698106,0.07773823282007308,1664160.0,2019,13,False,0.07807459699949192,899.0,
Andhra Pradesh,Anantapur,G. LALITHA,FEMALE,56.0,GENERAL,SUCI(C),Battery Torch,890.0,9.0,899.0,0.05402124795692722,0.06668575506225735,1664160.0,2019,14,False,0.0669742964718924,728.0,
Andhra Pradesh,Anantapur,GADIDAMA RANGANAYAKULU,MALE,43.0,SC,VJNP,Ring,728.0,0.0,728.0,0.043745793673685224,0.05400136783684466,1664160.0,2019,15,False,0.05423502539659362,,
Andhra Pradesh,Aruku,GODDETI. MADHAVI,FEMALE,26.0,ST,YSRCP,Ceiling Fan,557561.0,4629.0,562190.0,38.73384510871438,52.13983964534633,1451418.0,2019,1,True,52.31922928737745,338101.0,224089.0
Andhra Pradesh,Aruku,KISHORE CHANDRA DEO,MALE,72.0,ST,TDP,Bicycle,336163.0,1938.0,338101.0,23.294529901103612,31.356893441596682,1451418.0,2019,2,False,31.464778351254214,47977.0,
Andhra Pradesh,Aruku,NOTA,,,,NOTA,,47955.0,22.0,47977.0,3.3055260441857546,4.4495865929041445,1451418.0,2019,3,False,4.464895610950939,42794.0,
Andhra Pradesh,Aruku,GANGULAIAH VAMPURU.,MALE,49.0,ST,JnP,Glass Tumbler,42245.0,549.0,42794.0,2.9484269865745083,3.9688936085361726,1451418.0,2019,4,False,3.982548779103205,17867.0,
Andhra Pradesh,Aruku,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,MALE,54.0,ST,BJP,Lotus,17578.0,289.0,17867.0,1.2310030604553615,1.6570599173649532,1451418.0,2019,5,False,1.6627611122175299,17730.0,
Andhra Pradesh,Aruku,SHRUTI DEVI VYRICHERLA,FEMALE,46.0,ST,INC,Hand,17656.0,74.0,17730.0,1.2215640153284582,1.6443539673633298,1451418.0,2019,6,False,1.6500114467799185,13826.0,
Andhra Pradesh,Aruku,KANGALA BALUDORA,MALE,61.0,ST,IND,Cup & Saucer,13810.0,16.0,13826.0,0.9525856782815151,1.2822807643973717,1451418.0,2019,7,False,1.2866925134336804,11236.0,
Andhra Pradesh,Aruku,NARAVA SATYAVATHI,FEMALE,37.0,ST,IND,Bangles,11231.0,5.0,11236.0,0.7741394966853105,1.0420733884542794,1451418.0,2019,8,False,1.0456586923868676,10240.0,
Andhra Pradesh,Aruku,ANUMULA VAMSIKRISHNA,MALE,41.0,ST,IND,Helicopter,10211.0,29.0,10240.0,0.705516949631326,0.9497002045008741,1451418.0,2019,9,False,0.9529676940229196,7867.0,
Andhra Pradesh,Aruku,BIDDIKA RAMAYYA.,MALE,57.0,ST,IND,Battery Torch,7863.0,4.0,7867.0,0.5420216643310197,0.729618311407068,1451418.0,2019,10,False,0.7321285985232723,4710.0,
Andhra Pradesh,Aruku,SWAMULA. SUBRAHMANYAM,MALE,50.0,ST,JAJGP,Mike,4705.0,5.0,4710.0,0.324510237574565,0.4368249964061638,1451418.0,2019,11,False,0.43832791394999526,,
Andhra Pradesh,Bapatla,NANDIGAM SURESH,MALE,42.0,SC,YSRCP,Ceiling Fan,592250.0,6007.0,598257.0,40.734582489883714,47.10692457783398,1468671.0,2019,1,True,47.23732956860367,582192.0,16065.0
Andhra Pradesh,Bapatla,MALYADRI SRIRAM,MALE,65.0,SC,TDP,Bicycle,577403.0,4789.0,582192.0,39.64073642088664,45.8419619558456,1468671.0,2019,2,False,45.96886518035645,42580.0,
Andhra Pradesh,Bapatla,K. DEVANAND,MALE,64.0,SC,BSP,Elephant,42262.0,318.0,42580.0,2.899219770799587,3.352761185450686,1468671.0,2019,3,False,3.3620425553418416,13218.0,
Andhra Pradesh,Bapatla,NOTA,,,,NOTA,,13178.0,40.0,13218.0,0.8999973445380212,1.0407890406126623,1468671.0,2019,4,False,1.0436702324215235,13155.0,
Andhra Pradesh,Bapatla,J.D. SEELAM,MALE,65.0,SC,INC,Hand,12941.0,214.0,13155.0,0.8957077521105815,1.0358284028793745,1468671.0,2019,5,False,1.0386958622715343,10351.0,
Andhra Pradesh,Bapatla,CHALLAGALI KISHORE KUMAR,MALE,43.0,SC,BJP,Lotus,9842.0,509.0,10351.0,0.704786844705179,0.8150406536073286,1468671.0,2019,6,False,0.8172969114688446,1951.0,
Andhra Pradesh,Bapatla,BUSSA NAGARAJU,MALE,29.0,SC,IND,CCTV Camera,1943.0,8.0,1951.0,0.1328411877132455,0.15362228916895931,1468671.0,2019,7,False,0.15404755813696416,1276.0,
Andhra Pradesh,Bapatla,GOLLA BABURAO,MALE,46.0,SC,IND,Stumps,1271.0,5.0,1276.0,0.08688126884782228,0.10047259916944752,1468671.0,2019,8,False,0.10075073510136662,885.0,
Andhra Pradesh,Bapatla,KUMAR KATTEPOGU,MALE,53.0,SC,PPOI,FLUTE,877.0,8.0,885.0,0.060258560290221565,0.06968514911047104,1468671.0,2019,9,False,0.06987805686889455,655.0,
Andhra Pradesh,Bapatla,GELLA NAGAMALLI,FEMALE,34.0,SC,IND,Basket containing Fruits,651.0,4.0,655.0,0.04459814349163291,0.05157488436989665,1468671.0,2019,10,False,0.05171765790861687,606.0,
Andhra Pradesh,Bapatla,NUTHAKKI RAMA RAO,MALE,71.0,SC,AINPP,Boat with Man and Sail,600.0,6.0,606.0,0.04126179382584663,0.047716610577339495,1468671.0,2019,11,False,0.04784870334751423,530.0,
Andhra Pradesh,Bapatla,GADDE HARI BABU,MALE,40.0,SC,NPT,Bat,521.0,9.0,530.0,0.03608704740544342,0.04173234918480187,1468671.0,2019,12,False,0.0418478758649877,466.0,
Andhra Pradesh,Bapatla,CHINA NAGESWARA RAO SADHU,MALE,35.0,SC,MPP,Telephone,463.0,3.0,466.0,0.03172936620931441,0.03669297117003334,1468671.0,2019,13,False,0.03679454745864956,370.0,
Andhra Pradesh,Bapatla,THUMATI RAVI,MALE,46.0,SC,AlPP,Cot,368.0,2.0,370.0,0.02519284441512088,0.029133904147880547,1468671.0,2019,14,False,0.029214554849142357,,
Andhra Pradesh,Chittoor,N. REDDEPPA,MALE,68.0,SC,YSRCP,Ceiling Fan,681325.0,5467.0,686792.0,43.84247931214767,52.04408794856153,1566499.0,2019,1,True,52.0505171765676,549521.0,137271.0
Andhra Pradesh,Chittoor,NARAMALLI SIVA PRASAD,MALE,67.0,SC,TDP,Bicycle,545374.0,4147.0,549521.0,35.07956277022839,41.64189340234232,1566499.0,2019,2,False,41.64703760291996,24643.0,
Andhra Pradesh,Chittoor,CHEEMALA. RANGAPPA,MALE,60.0,SC,INC,Hand,24497.0,146.0,24643.0,1.5731258047403798,1.8674103066378203,1566499.0,2019,3,False,1.8676409957922562,20556.0,
Andhra Pradesh,Chittoor,NOTA,,,,NOTA,,20503.0,53.0,20556.0,1.3122255424357119,1.5577034558798455,1566499.0,2019,4,False,1.5578958856269782,20062.0,
Andhra Pradesh,Chittoor,C. PUNYAMURTHY,MALE,45.0,SC,BSP,Elephant,19952.0,110.0,20062.0,1.2806902525951183,1.5202688622232663,1566499.0,2019,5,False,1.5204566675154911,10496.0,
Andhra Pradesh,Chittoor,JAYARAM DUGGANI,MALE,70.0,SC,BJP,Lotus,10137.0,359.0,10496.0,0.6700291541839477,0.7953714474078059,1566499.0,2019,6,False,0.7954697030327282,3445.0,
Andhra Pradesh,Chittoor,PALLIPATTU. ABHINAV VISHNU,MALE,27.0,SC,MPP,Telephone,3441.0,4.0,3445.0,0.21991715283571836,0.2610570347103555,1566499.0,2019,7,False,0.2610892841985279,2094.0,
Andhra Pradesh,Chittoor,A. HEMANTH,MALE,28.0,SC,IND,Air Conditioner,2089.0,5.0,2094.0,0.13367388041741488,0.1586802411272814,1566499.0,2019,8,False,0.15869984357379316,1863.0,
Andhra Pradesh,Chittoor,P. RAMACHANDRAN,MALE,42.0,SC,IND,Stool,1854.0,9.0,1863.0,0.11892762140288632,0.14117540077369878,1566499.0,2019,9,False,0.1411928407726727,,
Andhra Pradesh,Eluru,KOTAGIRI SRIDHAR,MALE,46.0,GENERAL,YSRCP,Ceiling Fan,672834.0,3975.0,676809.0,42.43449637919684,50.80347692931294,1594950.0,2019,1,True,50.96748832575383,510884.0,165925.0
Andhra Pradesh,Eluru,MAGANTTI VENKATESWARA RAO BABU,MALE,59.0,GENERAL,TDP,Bicycle,509549.0,1335.0,510884.0,32.03134894510799,38.34860870283214,1594950.0,2019,2,False,38.472411427469815,76827.0,
Andhra Pradesh,Eluru,PENTAPATI PULLARAO,MALE,71.0,GENERAL,JnP,Glass Tumbler,76481.0,346.0,76827.0,4.816890811624189,5.766883599432522,1594950.0,2019,3,False,5.785501117158148,23880.0,
Andhra Pradesh,Eluru,NOTA,,,,NOTA,,23861.0,19.0,23880.0,1.4972256183579422,1.7925101898349358,1594950.0,2019,4,False,1.7982970398133025,20378.0,
Andhra Pradesh,Eluru,JETTI GURUNADHA RAO,MALE,55.0,GENERAL,INC,Hand,20284.0,94.0,20378.0,1.2776576068215304,1.529638720622124,1594950.0,2019,5,False,1.534576929535824,8412.0,
Andhra Pradesh,Eluru,CHINNAM RAMA KOTAYYA,MALE,58.0,GENERAL,BJP,Lotus,8317.0,95.0,8412.0,0.5274146524969434,0.6314319814443669,1594950.0,2019,6,False,0.6334704647784547,3010.0,
Andhra Pradesh,Eluru,Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),MALE,46.0,SC,IND,Helmet,3010.0,0.0,3010.0,0.18872064955014264,0.22594035474887592,1594950.0,2019,7,False,0.22666976925619933,2935.0,
Andhra Pradesh,Eluru,CHINA VENKATA SURYANARAYANA JOSYULA,MALE,62.0,GENERAL,PPOI,FLUTE,2932.0,3.0,2935.0,0.18401830778394307,0.2203106116903491,1594950.0,2019,8,False,0.2210218514175897,1879.0,
Andhra Pradesh,Eluru,MATHE. BOBBY,MALE,29.0,SC,RPI(A),Sewing Machine,1871.0,8.0,1879.0,0.11780933571585316,0.14104382942629165,1594950.0,2019,9,False,0.1414991682499663,1648.0,
Andhra Pradesh,Eluru,ALAGA. RAVI KUMAR,MALE,49.0,SC,IND,Apple,1648.0,0.0,1648.0,0.1033261230759585,0.12370422080602908,1594950.0,2019,10,False,0.12410358130704867,1261.0,
Andhra Pradesh,Eluru,V. SIVA RAMA KRISHNA,MALE,55.0,GENERAL,JAJGP,Mike,1261.0,0.0,1261.0,0.07906203956236872,0.09465474662403076,1594950.0,2019,11,False,0.09496032525982305,,
Andhra Pradesh,Guntur,Jayadev Galla,MALE,53.0,GENERAL,TDP,Bicycle,586292.0,1626.0,587918.0,34.45937827314508,43.500277833887154,1706119.0,2019,1,True,43.501983759953944,583713.0,4205.0
Andhra Pradesh,Guntur,Modugula Venugopala Reddy,MALE,52.0,GENERAL,YSRCP,Ceiling Fan,580840.0,2873.0,583713.0,34.212912463901986,43.189148274507275,1706119.0,2019,2,False,43.19084199918015,129205.0,
Andhra Pradesh,Guntur,Bonaboyina Srinivasa Rao (Bonaboyina Srinivasa Yadav),MALE,50.0,GENERAL,JnP,Glass Tumbler,128746.0,459.0,129205.0,7.5730356440553095,9.559927400636466,1706119.0,2019,3,False,9.56030230696262,14205.0,
Andhra Pradesh,Guntur,Shaik Mastanvali,MALE,53.0,GENERAL,INC,Hand,14124.0,81.0,14205.0,0.8325913960280613,1.0510333866803994,1706119.0,2019,4,False,1.0510746044688986,11841.0,
Andhra Pradesh,Guntur,Jayaprakash Narayana Valluru,MALE,44.0,GENERAL,BJP,Lotus,11667.0,174.0,11841.0,0.6940313073120925,0.8761201219065546,1706119.0,2019,5,False,0.8761544802193754,6006.0,
Andhra Pradesh,Guntur,NOTA,,,,NOTA,,5972.0,34.0,6006.0,0.3520270274230578,0.4443862386766968,1706119.0,2019,6,False,0.44440366592328084,3216.0,
Andhra Pradesh,Guntur,Mannava Hariprasad,MALE,55.0,GENERAL,CPIM,Tractor Chalata Kisan,3212.0,4.0,3216.0,0.18849798871004894,0.23795307085984962,1706119.0,2019,7,False,0.23796240253234616,2909.0,
Andhra Pradesh,Guntur,Dasari Kiran Babu,MALE,37.0,SC,IND,Whistle,2907.0,2.0,2909.0,0.1705039331957501,0.21523802336172343,1706119.0,2019,8,False,0.21524646423090643,2676.0,
Andhra Pradesh,Guntur,Umar Basha Shaik,MALE,29.0,GENERAL,IND,Almirah,2676.0,0.0,2676.0,0.15684720702366012,0.19799826418562114,1706119.0,2019,9,False,0.19800602897281044,1947.0,
Andhra Pradesh,Guntur,Y. V. Suresh,MALE,50.0,GENERAL,IND,Baby Walker,1947.0,0.0,1947.0,0.11411865174703524,0.1440592751754127,1706119.0,2019,10,False,0.1440649246674372,1746.0,
