state,census_state_code,nfhs_state_code,population_total,population_density,urban_pct,rural_pct,hindu_pct,muslim_pct,christian_pct,sikh_pct,buddhist_pct,jain_pct,sc_pct,st_pct,sex_ratio,literacy_rate,male_literacy,female_literacy,youth_pct,working_age_pct,elderly_pct,internet_pct,bank_account_pct,mobile_phone_pct,women_secondary_edu_pct,fertility_rate,electricity_pct,lpg_pct,improved_sanitation_pct
GUJARAT,24.0,,60439692.0,,42.5963173339798,57.4036826660202,88.5742237071625,9.673710779333554,0.5231297340165135,0.0963704447732791,0.0504353993067999,0.9590618032931076,6.741343089571005,14.75383759401024,919.2528974705998,67.99068069374013,74.54408937590938,60.86162110611034,19.26959190989921,,,,,,,,,,
HARYANA,6.0,,25351462.0,,34.87807922083547,65.12192077916453,87.45502724852713,7.026584896760589,0.1986197087962816,4.90603658282114,0.0296393162650737,0.2075343820407675,20.1708879748237,0.0,878.6188745921186,65.47546646422207,72.57695483290001,57.392908060301295,20.688652985772578,,,,,,,,,,
HIMACHAL PRADESH,2.0,,6864602.0,,10.030472269186182,89.96952773081381,95.16596883548384,2.183389510418812,0.1842204398740087,1.1638839367526332,1.1458639554048435,0.0262943139310917,25.190855930176287,5.712290384788513,971.5256702355313,73.41628837330991,79.05486501087202,67.6124513669289,18.709416802314248,,,,,,,,,,
JAMMU & KASHMIR,1.0,,12267013.0,,27.48210179609331,72.51789820390668,,,,,,,7.5363497209956485,10.3945923918072,891.9171561092959,56.14428712189349,63.935781919108635,47.40861616428678,,,,,,,,,,,
JHARKHAND,20.0,,32988134.0,,24.04822594694201,75.95177405305799,67.8306053928361,14.532480072986246,4.300358425850944,0.2165081541138398,0.0271491561177725,0.0453920794671199,12.082053504451025,26.20652019905097,948.4654597389357,55.55958090869887,64.27830196898286,46.36713117765246,18.288060791798653,,,,,,,,,,
KARNATAKA,29.0,,61095297.0,,38.670672146826625,61.329327853173375,83.99578121373239,12.919267746582852,1.8702699816648731,0.0470952780538901,0.1566569027399932,0.7206446676247437,17.145332806877096,6.954687526930265,972.9380862777665,66.5310162908284,72.68615078469723,60.20467900310137,19.444761844761963,,,,,,,,,,
KERALA,32.0,,33406061.0,,47.70070317479214,52.299296825207854,54.72806865796001,26.562461225224965,18.383696898595737,0.0114170898508507,0.0142249635477825,0.013437681263888,9.098866819407412,1.4513504001564268,1084.3078720382305,84.2237101824127,85.50914520697415,83.03822121040594,15.794621820273871,,,,,,,,,,
LADAKH,1.0,,274289.0,,22.607177101524304,77.3928228984757,,,,,,,0.18447695678645515,79.54857832432216,749.783102401184,65.62640135040049,76.00028069101023,51.790560948839904,,,,,,,,,,,
LAKSHADWEEP,31.0,,64473.0,,78.06678764754238,21.933212352457616,2.7732539202456845,96.57996370573728,0.4916786872023948,0.0124082949451708,0.0155103686814635,0.0170614055496099,0.0,94.79937338110527,946.4722398333483,81.51164053169543,84.60284394529481,78.24561403508771,17.764025250880213,,,,,,,,,,
MADHYA PRADESH,23.0,,72626809.0,,27.633604279653813,72.36639572034619,90.88533822269405,6.574287189183818,0.2936684165760332,0.2084794886141838,0.297482435170737,0.7807419984540419,15.617263316635595,21.089710825653928,930.9320997228939,59.00186114469107,66.93109430727273,50.48434073161056,19.51671592786074,,,,,,,,,,
MAHARASHTRA,27.0,,112374333.0,,45.22230089677151,54.77769910322849,79.82521862888387,11.542806665646683,0.96113851906022,0.1986636930694841,5.812003351334686,1.2461466623343609,11.813994927115608,9.352859073254743,929.403103436056,72.5737700262924,77.70468637497319,67.05311238085146,19.326684679854782,,,,,,,,,,
MANIPUR,14.0,,2855794.0,,29.209179653714518,70.79082034628547,41.38519795195312,8.398224801928992,41.28599611876767,0.0534702433018628,0.2480571077605737,0.0592479709670935,3.4080889587974483,40.8790690084789,985.1395745544584,66.8282095977511,72.2833393345966,61.29079147168235,19.91705284064607,,,,,,,,,,
MEGHALAYA,17.0,,2966889.0,,20.069844203810796,79.93015579618921,11.52985500974253,4.395142521341378,74.59082560891223,0.1026327577472564,0.3324694654906199,0.0211332476543611,0.5849561611506194,86.14616185506098,988.7554362689632,60.16419893025995,61.2588414781289,59.05710762363759,20.600703295606948,,,,,,,,,,
MIZORAM,15.0,,1097206.0,,52.11154514284464,47.88845485715535,2.7466127600468826,1.3517972012548236,87.16056966513125,0.0260662081687486,8.513533465912507,0.0342688610889842,0.11100923618718819,94.43213033833209,975.740943819901,77.30316822912015,78.9660009471692,75.59899384904413,20.23785870656923,,,,,,,,,,
NAGALAND,13.0,,1978502.0,,28.858500016679283,71.14149998332071,8.746718476908287,2.47475109956927,87.92768468265385,0.0955268177641468,0.341622095908925,0.1341924344782062,0.0,86.47820421712993,930.9070715923209,67.85103072930934,70.6541459563226,64.83986526225739,21.935029633530824,,,,,,,,,,
NCT OF DELHI,7.0,,16787941.0,,97.5039106939916,2.496089306008402,81.67827132582846,12.858539352741351,0.8702258365096709,3.3987550945050375,0.1098943580990664,0.9901809876506,16.75195904012291,0.0,867.9572767250237,75.87450420513153,80.05558049190604,71.05735893900673,20.439880030552885,,,,,,,,,,
ODISHA,21.0,,41974218.0,,16.6856140119156,83.31438598808441,93.62971574598484,2.171976140210641,2.7676703828049876,0.0523916848194765,0.0330012104096852,0.0224423478240857,17.125900951865262,22.84915945307188,978.7831833625808,63.71195527692738,71.1370179787646,56.12594151203141,18.365857346049903,,,,,,,,,,
PUDUCHERRY,34.0,,1247953.0,,68.33214071363265,31.667859286367356,87.29567539803182,6.054394676722601,6.294307558057074,0.0237989731985098,0.0361391815236631,0.1121837120468479,15.731762333998155,0.0,1037.437694996498,76.71034085418282,81.20311308694865,72.37969791106033,16.918505745008027,,,,,,,,,,
PUNJAB,3.0,,27743338.0,,37.48339871719834,62.51660128280165,38.489016714571264,1.9301534660320976,1.2551842175588244,57.68863862019775,0.1198017340234978,0.1623452808742769,31.93623997227731,0.0,895.1060028491479,67.42929419668246,71.2871406161359,63.11936173374085,20.164549053181705,,,,,,,,,,
