district_id,state,district,survey,survey_year,fertility_rate,electricity_pct,improved_sanitation_pct,lpg_pct,mobile_phone_pct,bank_account_pct,women_secondary_edu_pct,female_literacy_pct,male_literacy_pct,wealth_index_mean,urban_pct
UTTAR_PRADESH__23,Uttar Pradesh,23,NFHS-4,2016,15.133613268828247,27.75631935124118,14.722508883104322,6.176843898727478,2.2784578115103375,,23.20166528482608,20.305742860856917,,,10.632803120381576
UTTAR_PRADESH__24,Uttar Pradesh,24,NFHS-4,2016,13.165498083125408,20.41300726352825,47.722661444810285,4.591542273580175,1.449378890139053,,7.899383204588177,7.422459571115238,,,21.740683352085796
UTTAR_PRADESH__25,Uttar Pradesh,25,NFHS-4,2016,13.094223027487834,32.21271657082278,32.932425304213524,21.014435299730778,2.873810914273034,,12.26771938171869,7.312898784953714,,,30.818236635274666
UTTAR_PRADESH__26,Uttar Pradesh,26,NFHS-4,2016,10.242409423071155,37.544708516394046,28.0693065687288,7.470506396819293,1.867626599204823,,10.48458507875555,14.35066944423873,,,29.882025587277173
UTTAR_PRADESH__27,Uttar Pradesh,27,NFHS-4,2016,17.50510353268902,12.839790847287356,25.734841930692387,0.4790454719544995,0.9826302235619744,,4.251435608594253,13.116581533049596,,,0.0
UTTAR_PRADESH__28,Uttar Pradesh,28,NFHS-4,2016,13.8533505568863,20.18400563498158,14.052879346624472,6.146808877274071,4.217658518036142,,12.048976314865213,11.868407102259887,,,8.731984575442786
UTTAR_PRADESH__29,Uttar Pradesh,29,NFHS-4,2016,16.59075609588604,11.343510067453115,0.6567167640741369,0.6205802542904206,0.0,,9.004387741050467,11.937662725696278,,,0.0
UTTAR_PRADESH__3,Uttar Pradesh,3,NFHS-4,2016,9.040264012127864,41.31230228353537,11.914630930529276,3.6339885691968594,0.0,,19.065341188775665,15.387877292012451,,,0.0
UTTAR_PRADESH__30,Uttar Pradesh,30,NFHS-4,2016,13.386609572674844,48.10774702437822,39.24801208429256,23.42338111371208,3.798469994676633,,35.66153252126229,12.02621969110866,,,35.452386616981904
UTTAR_PRADESH__31,Uttar Pradesh,31,NFHS-4,2016,12.169847918801064,11.992053316908535,24.00836961670168,14.762393308058364,0.0,,25.782630931212676,9.562325025029269,,,24.009613256631845
UTTAR_PRADESH__32,Uttar Pradesh,32,NFHS-4,2016,6.566666666666666,97.77777777777776,97.77777777777776,77.77777777777779,37.77777777777777,,71.60493827160494,30.43478260869564,,,100.0
UTTAR_PRADESH__33,Uttar Pradesh,33,NFHS-4,2016,12.836123758735075,44.670290845111566,31.30706312372387,18.75460621574146,6.276228453991204,,22.76142787657564,8.629559238192178,,,41.42310779634195
UTTAR_PRADESH__34,Uttar Pradesh,34,NFHS-4,2016,11.543401557224474,28.90094708119832,28.865042550353166,19.3447538017491,7.243099723283082,,34.475823740413816,12.568051798694396,,,20.976200402674433
UTTAR_PRADESH__35,Uttar Pradesh,35,NFHS-4,2016,6.489658467783908,55.33197778899523,39.17242232099235,13.706622769973173,2.2844371283288623,,40.835208125005956,29.81322669748278,,,50.257616823234976
UTTAR_PRADESH__36,Uttar Pradesh,36,NFHS-4,2016,9.05594591004672,18.27713234680047,8.970570377537188,3.655426469360094,0.0,,30.96791349823114,13.738187251777276,,,0.0
UTTAR_PRADESH__37,Uttar Pradesh,37,NFHS-4,2016,12.411941233308555,58.79798401649317,45.06250665695785,19.3689721595696,2.766996022795657,,28.22633514225037,17.80460743745662,,,58.50220162482247
UTTAR_PRADESH__38,Uttar Pradesh,38,NFHS-4,2016,11.227367458061307,30.783233954615035,26.55752265251981,9.28045022693946,4.124644545306428,,24.43629008139817,17.351163072821684,,,30.93483408979822
