state_code_2011,district_code_2011,state_2011,district,population_total,male_population,female_population,households,rural_population,urban_population,rural_households,urban_households,sc_population,st_population,literates_total,male_literates,female_literates,age_0_6_population,workers_total,main_workers_total,marginal_workers_total,non_workers_total,urban_pct,rural_pct,sc_pct,st_pct,sex_ratio,literacy_rate,male_literacy,female_literacy,child_0_6_pct,worker_pct,main_worker_pct,marginal_worker_pct,non_worker_pct,source_year,geography_level
1,22,JAMMU & KASHMIR,SAMBA,318898,169124,149774,65385,265283,53615,54718,10667,91835,17573,228139,130312,97827,38669,92526,74129,18397,226372,16.812585842495093,83.1874141575049,28.797609266912932,5.510539420128066,885.5869066483764,71.53980269553274,77.05115773042264,65.31641005782045,12.125820795364035,29.014292971420332,23.24536372131528,5.7689292501050495,70.98570702857967,2011,district
2,23,HIMACHAL PRADESH,CHAMBA,519080,261320,257760,102460,482972,36108,94596,7864,111690,135500,323842,186064,137778,70359,294035,119632,174403,225045,6.956153194112661,93.04384680588734,21.516914541111195,26.103876088464204,986.3768559620388,62.3876859058334,71.201591917955,53.45204841713221,13.55455806426755,56.64541111196733,23.04692918239963,33.5984819295677,43.35458888803267,2011,district
2,24,HIMACHAL PRADESH,KANGRA,1510075,750591,759484,338887,1423794,86281,318379,20508,319385,84564,1152640,606443,546197,164607,675170,313915,361255,834905,5.713689717398142,94.28631028260186,21.15027399301359,5.5999867556247205,1011.8479971116094,76.32998361008559,80.79539989155212,71.91685407460855,10.900584408059203,44.71102428687317,20.788040329122726,23.922983957750443,55.28897571312683,2011,district
2,25,HIMACHAL PRADESH,LAHUL & SPITI,31564,16588,14976,6674,31564,0,6674,0,2235,25707,21845,12897,8948,3125,19295,15190,4105,12269,0.0,100.0,7.080851603092131,81.44405018375365,902.8213166144201,69.20859206691166,77.74897516276826,59.748931623931625,9.90051957926752,61.129768090229376,48.12444557090356,13.005322519325816,38.870231909770624,2011,district
2,26,HIMACHAL PRADESH,KULLU,437903,225452,212451,94807,396512,41391,84358,10449,122659,16822,307672,174550,133122,50431,269084,193876,75208,168819,9.452093271797636,90.54790672820236,28.01054114724037,3.8414900103447565,942.3336231215513,70.26030878984615,77.42224508986392,62.66009573972351,11.516477393395341,61.44831161238905,44.273731853858045,17.174579758531,38.55168838761095,2011,district
2,27,HIMACHAL PRADESH,MANDI,999777,498065,501712,219145,937140,62637,203747,15398,293739,12787,723747,393669,330078,112074,572671,284154,288517,427106,6.265097116657015,93.73490288334298,29.38045184076049,1.2789852137026558,1007.3223374459157,72.39084315802424,79.03968357543694,65.79033389673758,11.209899807657107,57.27987341177082,28.42173804758461,28.858135364186214,42.72012658822917,2011,district
2,28,HIMACHAL PRADESH,HAMIRPUR,454768,217070,237698,105519,423338,31430,98115,7404,109256,3044,358091,180555,177536,48548,241931,126153,115778,212837,6.911216268514934,93.08878373148507,24.02455757661049,0.6693522851212047,1095.0292532362832,78.74146817718045,83.17823743492883,74.68973234945182,10.675333356788515,53.1987738803082,27.740078457587163,25.458695422721036,46.8012261196918,2011,district
2,29,HIMACHAL PRADESH,UNA,521173,263692,257481,110332,476260,44913,100502,9830,115491,8601,399715,213281,186434,59231,215346,134482,80864,305827,8.617675896487347,91.38232410351266,22.1598202516247,1.650315730093462,976.4460051878707,76.69526241766171,80.88262063316293,72.40689604281481,11.36494024057271,41.31948508460722,25.80371584867213,15.515769235935092,58.68051491539278,2011,district
2,30,HIMACHAL PRADESH,BILASPUR,381956,192764,189192,80485,356827,25129,74712,5773,98989,10693,287620,155599,132021,41956,205871,103406,102465,176085,6.579030045345537,93.42096995465447,25.916335913037102,2.799537119458786,981.469569006661,75.3018672307805,80.71994770807828,69.78149181783586,10.984511304967064,53.899140215103316,27.072751835289928,26.82638837981338,46.10085978489669,2011,district
2,31,HIMACHAL PRADESH,SOLAN,580320,308754,271566,122425,478173,102147,96510,25915,164536,25645,428578,244372,184206,68137,298737,219235,79502,281583,17.60184036393714,82.39815963606286,28.352633030052388,4.419113592500689,879.5545968635224,73.85201268265784,79.14780051432531,67.83102450233093,11.741280672732286,51.4779776674938,37.778294733939894,13.6996829335539,48.522022332506204,2011,district
2,32,HIMACHAL PRADESH,SIRMAUR,529855,276289,253566,98208,472690,57165,85087,13121,160745,11262,362645,205617,157028,69620,280083,193906,86177,249772,10.788800709628106,89.2111992903719,30.33754517745421,2.125487161581942,917.7564072402448,68.44230968849968,74.4209867204268,61.927860990826844,13.139443810098989,52.86031083975805,36.59604986269829,16.26426097705976,47.13968916024196,2011,district
2,33,HIMACHAL PRADESH,SHIMLA,814010,425039,388971,184362,612659,201351,129854,54508,215777,8755,612642,342846,269796,81564,430926,311770,119156,383084,24.735691207724724,75.26430879227529,26.5079053082886,1.0755396125354726,915.1419046252227,75.26222036584316,80.66224511162505,69.36146910695142,10.020024324025503,52.93866168720286,38.300512278718934,14.638149408483924,47.06133831279714,2011,district
2,34,HIMACHAL PRADESH,KINNAUR,84121,46249,37872,19976,84121,0,19976,0,14750,48746,60699,36697,24002,8246,56273,46782,9491,27848,0.0,100.0,17.53426611666528,57.947480415116324,818.8717593893922,72.15677417054005,79.34658046660469,63.37663709336713,9.802546332069282,66.89530557173595,55.61274830303967,11.282557268696284,33.10469442826405,2011,district
3,35,PUNJAB,GURDASPUR,2298323,1212617,1085706,443666,1639004,659319,312300,131366,580576,0,1634719,907660,727059,253579,757138,625778,131360,1541185,28.686960013888385,71.31303998611162,25.2608532395142,0.0,895.3412330521509,71.12659969899792,74.851333933138,66.96647158623053,11.033218568495377,32.94306326830476,27.227591596133355,5.715471672171405,67.05693673169523,2011,district
3,36,PUNJAB,KAPURTHALA,815168,426311,388857,167989,532706,282462,107710,60279,276707,0,576567,316254,260313,86025,284165,248208,35957,531003,34.65077137473502,65.34922862526497,33.94478193452147,0.0,912.1439512468596,70.72983728507498,74.18387046076691,66.94311790709695,10.55303937347884,34.859685365470675,30.44869278480019,4.410992580670488,65.14031463452933,2011,district
3,37,PUNJAB,JALANDHAR,2193590,1145211,1048379,461635,1032419,1161171,213682,247953,854444,0,1622537,882581,739956,226302,774472,689592,84880,1419118,52.93473256169111,47.06526743830889,38.95185517804148,0.0,915.4461492249027,73.96719532820627,77.0671081573614,70.58096356374936,10.316513113207117,35.30614198642408,31.43668598051596,3.869456005908123,64.69385801357592,2011,district
