state,district,survey,survey_year,fertility_rate,electricity_pct,improved_sanitation_pct,lpg_pct,mobile_phone_pct,bank_account_pct,women_secondary_edu_pct,female_literacy_pct,male_literacy_pct,wealth_index_mean,urban_pct,household_count,person_count,state_key,district_key,district_panel_id,nfhs4_sdist_code,district_name_source
Andhra Pradesh,Visakhapatnam,NFHS-5,2020,,100.0,31.83698391475677,31.83698391475677,48.87773793606758,48.87773793606759,,,,51732.05371858968,14.79622989344597,8,,ANDHRA PRADESH,VISAKHAPATNAM,ANDHRA PRADESH__VISAKHAPATNAM__NFHS-5,,
Andhra Pradesh,Vizianagaram,NFHS-5,2020,,100.0,76.68686995523936,53.373739910478704,30.060609865718057,69.93939013428194,,,,37787.95085823141,6.747479820957414,5,,ANDHRA PRADESH,VIZIANAGARAM,ANDHRA PRADESH__VIZIANAGARAM__NFHS-5,,
Andhra Pradesh,WARANGAL,NFHS-4,2016,,79.71324457739908,14.487041374752884,6.79968023104914,1.2253556995430566,,,,,,39.82406023514933,155,,ANDHRA PRADESH,WARANGAL,ANDHRA PRADESH__WARANGAL__NFHS-4,,state_file_census_name
Andhra Pradesh,WEST GODAVARI,NFHS-4,2016,,89.12218937837649,62.45401835793577,37.03280457420839,17.003921807476615,,,,,,54.72136396824453,229,,ANDHRA PRADESH,WEST GODAVARI,ANDHRA PRADESH__WEST GODAVARI__NFHS-4,,state_file_census_name
Andhra Pradesh,West Godavari,NFHS-5,2020,,100.0,79.05994872311817,51.28061532258194,74.35969233870904,67.52041021505461,,,,82163.1040604954,18.80102553763656,9,,ANDHRA PRADESH,WEST GODAVARI,ANDHRA PRADESH__WEST GODAVARI__NFHS-5,,
Andhra Pradesh,Y.S.R.,NFHS-4,2016,,87.67944939040731,10.486599797833268,7.280790772975382,1.2161208334192355,,,,,,5.131760306136414,244,,ANDHRA PRADESH,Y S R,ANDHRA PRADESH__Y S R__NFHS-4,,state_file_census_name
Andhra Pradesh,Y.S.R.,NFHS-5,2020,,100.0,27.201622358789564,27.201622358789564,33.33333333333334,37.5473156101825,,,,615.4025814861333,12.641946830547475,9,,ANDHRA PRADESH,Y S R,ANDHRA PRADESH__Y S R__NFHS-5,,
Arunachal Pradesh,CHANGLANG,NFHS-4,2016,,46.93418880925813,60.49689844449898,21.202096000675336,4.87341261002624,,,,,,17.90831056812853,222,,ARUNACHAL PRADESH,CHANGLANG,ARUNACHAL PRADESH__CHANGLANG__NFHS-4,,state_file_census_name
Arunachal Pradesh,EAST KAMENG,NFHS-4,2016,,55.882352941176485,73.52941176470588,2.941176470588235,2.941176470588235,,,,,,0.0,34,,ARUNACHAL PRADESH,EAST KAMENG,ARUNACHAL PRADESH__EAST KAMENG__NFHS-4,,state_file_census_name
Arunachal Pradesh,EAST SIANG,NFHS-4,2016,,43.69942946517663,46.59888030946664,7.633900861467372,1.0905572659239102,,,,,,29.44504617994558,110,,ARUNACHAL PRADESH,EAST SIANG,ARUNACHAL PRADESH__EAST SIANG__NFHS-4,,state_file_census_name
