state,population_total,population_density,urban_pct,rural_pct,hindu_pct,muslim_pct,christian_pct,sikh_pct,buddhist_pct,jain_pct,sc_pct,st_pct,sex_ratio,literacy_rate,male_literacy,female_literacy,youth_pct,working_age_pct,elderly_pct,source_year,geography_level
GUJARAT,60439692,,42.5963173339798,57.4036826660202,88.5742237071625,9.673710779333554,0.5231297340165135,0.09637044477327912,0.050435399306799904,0.9590618032931075,6.741343089571005,14.75383759401024,919.2528974705998,67.99068069374013,74.54408937590938,60.86162110611034,19.26959190989921,,,2011,state
HARYANA,25351462,,34.87807922083547,65.12192077916453,87.45502724852713,7.026584896760589,0.19861970879628166,4.90603658282114,0.029639316265073788,0.20753438204076752,20.1708879748237,0.0,878.6188745921186,65.47546646422207,72.57695483290001,57.392908060301295,20.688652985772578,,,2011,state
HIMACHAL PRADESH,6864602,,10.030472269186182,89.96952773081381,95.16596883548384,2.183389510418812,0.1842204398740087,1.1638839367526332,1.1458639554048435,0.02629431393109171,25.190855930176287,5.712290384788513,971.5256702355313,73.41628837330991,79.05486501087202,67.6124513669289,18.709416802314248,,,2011,state
JAMMU & KASHMIR,12541302,,27.37548302401138,72.62451697598861,28.439423594137196,68.31415908810744,0.2841092575555552,1.872596641082401,0.8977058362839839,0.01985439789265899,7.37555797635684,11.907049204301117,888.5620138474146,56.351669069128555,64.2205701780937,47.4958987499661,19.123811865785544,,,2011,state
JHARKHAND,32988134,,24.04822594694201,75.95177405305799,67.8306053928361,14.532480072986246,4.300358425850944,0.21650815411383986,0.02714915611777253,0.0453920794671199,12.082053504451025,26.20652019905097,948.4654597389357,55.55958090869887,64.27830196898286,46.36713117765246,18.288060791798653,,,2011,state
KARNATAKA,61095297,,38.670672146826625,61.329327853173375,83.99578121373239,12.919267746582852,1.8702699816648733,0.04709527805389014,0.15665690273999322,0.7206446676247437,17.145332806877096,6.954687526930265,972.9380862777665,66.5310162908284,72.68615078469723,60.20467900310137,19.444761844761963,,,2011,state
KERALA,33406061,,47.70070317479214,52.299296825207854,54.72806865796001,26.562461225224965,18.383696898595737,0.011417089850850718,0.014224963547782542,0.013437681263888012,9.098866819407412,1.4513504001564268,1084.3078720382305,84.2237101824127,85.50914520697415,83.03822121040594,15.794621820273871,,,2011,state
LAKSHADWEEP,64473,,78.06678764754238,21.933212352457616,2.7732539202456845,96.57996370573728,0.4916786872023948,0.012408294945170846,0.01551036868146356,0.017061405549609915,0.0,94.79937338110527,946.4722398333483,81.51164053169543,84.60284394529481,78.24561403508771,17.764025250880213,,,2011,state
MADHYA PRADESH,72626809,,27.633604279653813,72.36639572034619,90.88533822269405,6.574287189183818,0.2936684165760332,0.2084794886141838,0.297482435170737,0.7807419984540419,15.617263316635595,21.089710825653928,930.9320997228939,59.00186114469107,66.93109430727273,50.48434073161056,19.51671592786074,,,2011,state
MAHARASHTRA,112374333,,45.22230089677151,54.77769910322849,79.82521862888387,11.542806665646683,0.9611385190602199,0.19866369306948412,5.812003351334686,1.2461466623343607,11.813994927115608,9.352859073254743,929.403103436056,72.5737700262924,77.70468637497319,67.05311238085146,19.326684679854786,,,2011,state
MANIPUR,2855794,,29.209179653714518,70.79082034628547,41.38519795195312,8.398224801928992,41.28599611876767,0.053470243301862806,0.24805710776057377,0.05924797096709357,3.4080889587974483,40.8790690084789,985.1395745544584,66.8282095977511,72.2833393345966,61.29079147168235,19.91705284064607,,,2011,state
MEGHALAYA,2966889,,20.069844203810796,79.93015579618921,11.52985500974253,4.395142521341378,74.59082560891223,0.10263275774725646,0.33246946549061995,0.021133247654361184,0.5849561611506194,86.14616185506098,988.7554362689632,60.16419893025995,61.2588414781289,59.05710762363759,20.600703295606948,,,2011,state
MIZORAM,1097206,,52.11154514284464,47.88845485715535,2.7466127600468826,1.3517972012548236,87.16056966513125,0.02606620816874862,8.513533465912507,0.03426886108898421,0.11100923618718819,94.43213033833209,975.740943819901,77.30316822912015,78.9660009471692,75.59899384904413,20.23785870656923,,,2011,state
NAGALAND,1978502,,28.858500016679283,71.14149998332071,8.746718476908287,2.47475109956927,87.92768468265385,0.09552681776414682,0.34162209590892506,0.13419243447820625,0.0,86.47820421712993,930.9070715923209,67.85103072930934,70.6541459563226,64.83986526225739,21.935029633530824,,,2011,state
NCT OF DELHI,16787941,,97.5039106939916,2.496089306008402,81.67827132582846,12.858539352741353,0.8702258365096709,3.3987550945050375,0.10989435809906646,0.9901809876505999,16.75195904012291,0.0,867.9572767250237,75.87450420513153,80.05558049190604,71.05735893900673,20.439880030552885,,,2011,state
ODISHA,41974218,,16.6856140119156,83.31438598808441,93.62971574598483,2.171976140210641,2.7676703828049876,0.052391684819476564,0.033001210409685296,0.022442347824085728,17.125900951865262,22.84915945307188,978.7831833625808,63.71195527692738,71.1370179787646,56.12594151203141,18.365857346049903,,,2011,state
PUDUCHERRY,1247953,,68.33214071363265,31.667859286367356,87.29567539803182,6.054394676722601,6.294307558057074,0.02379897319850988,0.036139181523663154,0.11218371204684792,15.731762333998155,0.0,1037.437694996498,76.71034085418282,81.20311308694865,72.37969791106033,16.918505745008027,,,2011,state
PUNJAB,27743338,,37.48339871719834,62.51660128280165,38.489016714571264,1.9301534660320974,1.2551842175588244,57.68863862019775,0.11980173402349782,0.1623452808742769,31.93623997227731,0.0,895.1060028491479,67.42929419668246,71.2871406161359,63.11936173374085,20.164549053181705,,,2011,state
RAJASTHAN,68548437,,24.870129423957543,75.12987057604246,88.48794466312923,9.067131610892893,0.1406742505303221,1.2734498964578873,0.017775751765135066,0.9074211276327132,17.829134455684233,13.477380964937247,928.1720003520576,55.8368413272501,66.63220162292495,44.206065682671145,20.044966160205814,,,2011,state
SIKKIM,610577,,25.15292911459161,74.8470708854084,57.758808471331214,1.6160123948330842,9.912263318140054,0.30594011893667794,27.38655403004044,0.05142676517458076,4.630865558316151,33.797539049128936,889.9216887980933,72.8740191654779,77.77540471105333,67.36635977558807,21.98477833262635,,,2011,state
TAMIL NADU,72147030,,48.39761248661241,51.60238751338759,87.5824936937806,5.862305073403576,6.124064982300727,0.020237839312304332,0.01550444973271942,0.12372650682917925,20.012528582257648,1.101496485718123,996.4325615920649,71.84981419193555,77.59286733692188,66.08619970726808,17.554894498082596,,,2011,state
TRIPURA,3673917,,26.169698444466764,73.83030155553324,83.39608652019085,8.60231736318485,4.351813064911374,0.029124228990475287,3.4128424784773306,0.02340825881477453,17.826151216807563,31.759372898190136,960.0747128644413,76.34312370148808,80.09967050367696,72.43035863033963,19.89718330599194,,,2011,state
UTTAR PRADESH,199812341,,22.2684258526354,77.7315741473646,79.73113832843788,19.260055113412637,0.17839138374340952,0.32205217995018637,0.10323936898372058,0.1067336476479198,20.698225041064905,0.5676691411167641,912.4365013149343,57.252497231890196,65.30879682727429,48.42306133824284,20.328588212677015,,,2011,state
UTTARAKHAND,10086292,,30.23249773058325,69.76750226941675,82.970391894266,13.947890860189254,0.3745776941615412,2.3431802291664767,0.1479830248816909,0.09104436000861367,18.763248178815367,2.8940566067292126,963.1641958490576,68.22083873835896,75.20199899839872,60.97268697968018,20.762615240566106,,,2011,state
WEST BENGAL,91276115,,31.873619949753557,68.12638005024644,70.53931469366329,27.011255901941052,0.7215666442420342,0.0695943292503192,0.3099365041993735,0.06588908828996502,23.514662077806445,5.803219166372276,949.9682187369542,67.41991702867722,72.24847890984788,62.33705026962863,19.51918418087799,,,2011,state
