survey,survey_year,state,district,household_count,person_count,internet_pct,electricity_pct,improved_sanitation_pct,lpg_pct,mobile_phone_pct,bank_account_pct,women_secondary_edu_pct,female_literacy_pct,male_literacy_pct,fertility_rate,wealth_index_mean,urban_pct
NFHS-5,2020,Karnataka,Bijapur,1,,,100.0,100.0,0.0,100.0,100.0,,,,,42316.0,100.0
NFHS-5,2020,Karnataka,Chamarajanagar,3,,,100.0,100.0,0.0,0.0,33.333333333333336,,,,,-51524.666666666664,0.0
NFHS-5,2020,Karnataka,Chikkaballapura,3,,,66.66666666666667,100.0,0.0,0.0,33.333333333333336,,,,,-65595.66666666667,0.0
NFHS-5,2020,Karnataka,Chikmagalur,4,,,72.63547948905497,72.63547948905497,0.0,0.0,45.27095897810995,,,,,-62281.70203975813,17.90643846716494
NFHS-5,2020,Karnataka,Chitradurga,1,,,0.0,100.0,0.0,0.0,0.0,,,,,-63635.00000000001,100.0
NFHS-5,2020,Karnataka,Dakshina Kannada,1,,,0.0,100.0,0.0,0.0,0.0,,,,,-109675.0,0.0
NFHS-5,2020,Karnataka,Dharwad,3,,,33.333333333333336,100.0,33.333333333333336,0.0,66.66666666666667,,,,,-57499.333333333336,0.0
NFHS-5,2020,Karnataka,Gadag,2,,,50.0,100.0,0.0,0.0,0.0,,,,,-62277.0,0.0
NFHS-5,2020,Karnataka,Gulbarga,2,,,100.0,100.0,39.55391904956843,0.0,39.55391904956843,,,,,5295.605159784349,39.55391904956843
NFHS-5,2020,Karnataka,Hassan,5,,,30.373979063325873,53.582652708883906,30.373979063325873,0.0,30.373979063325873,,,,,-76635.8849193576,30.373979063325873
NFHS-5,2020,Karnataka,Haveri,1,,,100.0,100.0,0.0,0.0,0.0,,,,,-61084.0,0.0
NFHS-5,2020,Karnataka,Kodagu,2,,,0.0,100.0,0.0,0.0,50.0,,,,,-77408.0,0.0
NFHS-5,2020,Karnataka,Kolar,2,,,50.0,50.0,0.0,0.0,50.0,,,,,-71852.0,0.0
NFHS-5,2020,Karnataka,Koppal,2,,,50.0,50.0,50.0,0.0,100.0,,,,,-45362.50000000001,100.0
NFHS-5,2020,Karnataka,Mandya,1,,,100.0,100.0,100.0,0.0,0.0,,,,,-25513.0,0.0
NFHS-5,2020,Karnataka,Mysore,1,,,0.0,100.0,0.0,0.0,100.0,,,,,-65928.0,0.0
NFHS-5,2020,Karnataka,Raichur,1,,,100.0,100.0,100.0,0.0,100.0,,,,,20799.0,0.0
NFHS-5,2020,Karnataka,Shimoga,3,,,66.66666666666667,66.66666666666667,0.0,0.0,66.66666666666667,,,,,-55256.333333333336,0.0
NFHS-5,2020,Karnataka,Tumkur,2,,,100.0,60.44608095043158,0.0,0.0,100.0,,,,,-23667.05716133472,39.55391904956843
NFHS-5,2020,Karnataka,Uttara Kannada,5,,,100.0,80.0,60.00000000000001,0.0,40.0,,,,,-22038.2,100.0
NFHS-5,2020,Karnataka,Yadgir,3,,,100.0,100.0,62.32623408912937,62.32623408912937,100.0,,,,,62023.8675667276,24.65246817825875
NFHS-5,2020,Kerala,Alappuzha,3,,,33.33333333333333,33.33333333333333,0.0,33.33333333333333,33.33333333333333,,,,,-60714.00000000001,0.0
NFHS-5,2020,Kerala,Ernakulam,6,,,100.0,54.43033964820454,33.333333333333336,21.0970063148712,43.88183649076894,,,,,11692.01446096976,31.645509472306806
NFHS-5,2020,Kerala,Idukki,6,,,50.0,50.0,16.666666666666664,0.0,16.666666666666664,,,,,-53584.166666666664,0.0
NFHS-5,2020,Kerala,Kannur,2,,,31.6455094723068,100.0,31.6455094723068,31.6455094723068,0.0,,,,,-34466.20104756439,31.6455094723068
NFHS-5,2020,Kerala,Kasaragod,7,,,15.624963341487689,24.687489002446306,0.0,0.0,15.624963341487689,,,,,-95109.75212619369,15.624963341487689
NFHS-5,2020,Kerala,Kollam,2,,,0.0,50.0,0.0,0.0,0.0,,,,,-151759.0,0.0
NFHS-5,2020,Kerala,Kottayam,4,,,75.0,75.0,50.0,50.0,50.0,,,,,41265.25,100.0
NFHS-5,2020,Kerala,Kozhikode,2,,,100.0,0.0,0.0,0.0,100.0,,,,,-17961.0,0.0
NFHS-5,2020,Kerala,Malappuram,7,,,76.82399976205465,66.09439985723279,32.18879971446558,10.72959990482186,55.36479995241091,,,,,-14585.568886415798,53.6479995241093
NFHS-5,2020,Kerala,Palakkad,3,,,100.0,18.796950038645583,18.796950038645583,18.796950038645583,18.796950038645583,,,,,17872.866629323747,18.796950038645583
NFHS-5,2020,Kerala,Pathanamthitta,2,,,100.0,100.0,31.6455094723068,0.0,31.6455094723068,,,,,-32140.434026470557,31.6455094723068
NFHS-5,2020,Kerala,Thiruvananthapuram,7,,,44.32985701102434,54.295523780227626,44.32985701102434,17.182095120910525,35.73880945056908,,,,,-18856.923525209117,25.77314268136579
NFHS-5,2020,Kerala,Thrissur,4,,,75.0,50.0,0.0,25.0,50.0,,,,,5489.499999999998,0.0
NFHS-5,2020,Kerala,Wayanad,8,,,84.34781662550147,37.39126650200581,30.14490545950339,7.2463610425024205,30.14490545950339,,,,,-41570.1973519789,21.739083127507264
NFHS-5,2020,Lakshadweep,Lakshadweep,14,,,25.585880200261762,43.13882207114507,17.181175567851707,8.776470935441653,17.181175567851707,,,,,-63390.52640751266,21.01176158102514
NFHS-5,2020,Madhya Pradesh,Alirajpur,7,,,61.253343069568956,80.62667153478448,2.666974601865867,2.666974601865867,59.85906698643782,,,,,-19487.348646255345,22.506686139137898
NFHS-5,2020,Madhya Pradesh,Anuppur,4,,,50.0,50.0,0.0,0.0,25.0,,,,,-115942.00000000001,0.0
NFHS-5,2020,Madhya Pradesh,Ashoknagar,3,,,52.14777061542254,6.587442144516793,6.587442144516793,52.14777061542254,52.14777061542254,,,,,-29009.308634356657,52.14777061542254
NFHS-5,2020,Madhya Pradesh,Barwani,1,,,100.0,100.0,100.0,0.0,100.0,,,,,142767.0,100.0
NFHS-5,2020,Madhya Pradesh,Betul,5,,,100.0,93.88576372620317,93.88576372620317,48.4017595448409,100.0,,,,,118777.10956338109,100.0
NFHS-5,2020,Madhya Pradesh,Bhind,5,,,26.325565989645217,75.44185532988175,0.0,0.0,49.11628934023653,,,,,-87773.85771254433,1.7674213195269513
NFHS-5,2020,Madhya Pradesh,Bhopal,1,,,100.0,100.0,100.0,100.0,100.0,,,,,205841.0,100.0
NFHS-5,2020,Madhya Pradesh,Burhanpur,7,,,40.960877804467195,60.002012204729226,39.52157330249563,38.08226880052407,39.52157330249563,,,,,-7997.649146046894,60.002012204729226
NFHS-5,2020,Madhya Pradesh,Chhatarpur,6,,,60.1916648825612,60.1916648825612,0.0,1.432479959836802,19.9041675587194,,,,,-77011.19144160103,20.38332976512241
NFHS-5,2020,Madhya Pradesh,Damoh,11,,,57.67086559144785,44.34388634723982,1.007375969343835,1.007375969343835,56.66348962210401,,,,,-65591.86201482682,44.01044160999944
NFHS-5,2020,Madhya Pradesh,Datia,3,,,100.0,100.0,93.43375296220191,93.43375296220191,100.0,,,,,58911.4280923026,100.0
NFHS-5,2020,Madhya Pradesh,Dewas,1,,,100.0,100.0,0.0,0.0,0.0,,,,,-84891.0,100.0
NFHS-5,2020,Madhya Pradesh,Dhar,6,,,1.4189528305899368,60.56758113223598,0.0,0.0,21.13516226447195,,,,,-111195.8909599762,1.4189528305899368
NFHS-5,2020,Madhya Pradesh,Dindori,2,,,100.0,100.0,100.0,12.632260337834225,100.0,,,,,75615.0507582761,100.0
NFHS-5,2020,Madhya Pradesh,Guna,3,,,33.33333333333333,66.66666666666666,0.0,0.0,33.33333333333333,,,,,-94749.66666666667,0.0
NFHS-5,2020,Madhya Pradesh,Gwalior,12,,,50.40161884639064,63.45867340677982,26.624121410326108,25.74750904767698,49.525006483741514,,,,,-15896.840468952538,39.0977890112997
NFHS-5,2020,Madhya Pradesh,Harda,3,,,50.59467854574259,100.0,0.0,47.03903459913021,50.59467854574259,,,,,-22650.054182936237,50.59467854574259
NFHS-5,2020,Madhya Pradesh,Hoshangabad,5,,,56.17110548805982,12.342210976119638,6.03358110100067,6.03358110100067,9.187896038560154,,,,,-105877.60656622455,12.342210976119638
NFHS-5,2020,Madhya Pradesh,Indore,10,,,66.52953494642173,100.0,20.83929927077291,11.624064999511173,68.13261573124379,,,,,22898.500303188765,66.52953494642173
NFHS-5,2020,Madhya Pradesh,Jabalpur,6,,,17.33016265820234,17.33016265820234,2.9748263755751965,2.9748263755751965,11.639907704676366,,,,,-89646.8973164589,17.33016265820234
NFHS-5,2020,Madhya Pradesh,Jhabua,3,,,100.0,52.14777061542254,52.14777061542254,52.14777061542254,52.14777061542254,,,,,18103.380517613787,52.14777061542254
NFHS-5,2020,Madhya Pradesh,Katni,3,,,53.219923613540146,6.439847227080277,6.439847227080277,6.439847227080277,53.219923613540146,,,,,-62648.00235601952,6.439847227080277
NFHS-5,2020,Madhya Pradesh,Khandwa (East Nimar),5,,,69.0155845898942,69.0155845898942,33.765787054007454,0.0,39.5151796616677,,,,,-39309.551139534065,38.03116917978841
NFHS-5,2020,Madhya Pradesh,Khargone (West Nimar),5,,,100.0,100.0,28.738294608088914,19.15886307205928,100.0,,,,,34956.8269733662,100.0
NFHS-5,2020,Madhya Pradesh,Mandla,2,,,100.0,100.0,50.0,0.0,50.0,,,,,12423.0,100.0
NFHS-5,2020,Madhya Pradesh,Mandsaur,4,,,21.972526388577485,21.972526388577485,10.741432002407745,0.0,16.356979195492617,,,,,-61165.42980035779,21.972526388577485
NFHS-5,2020,Madhya Pradesh,Narsimhapur,6,,,33.333333333333336,50.000000000000014,0.0,0.0,33.333333333333336,,,,,-106681.33333333333,0.0
NFHS-5,2020,Madhya Pradesh,Neemuch,2,,,0.0,50.0,50.0,0.0,50.0,,,,,-68496.5,0.0
NFHS-5,2020,Madhya Pradesh,Panna,4,,,36.25827491288154,68.12913745644077,4.387412369322311,4.387412369322311,100.0,,,,,-19024.71098274241,4.387412369322311
NFHS-5,2020,Madhya Pradesh,Raisen,3,,,66.66666666666666,100.0,33.33333333333333,66.66666666666666,66.66666666666666,,,,,49896.00000000001,0.0
NFHS-5,2020,Madhya Pradesh,Rajgarh,3,,,100.0,100.0,48.88573945685065,48.88573945685065,74.44286972842534,,,,,70117.40606733826,100.0
NFHS-5,2020,Madhya Pradesh,Ratlam,3,,,12.582651322025127,12.582651322025127,6.291325661012563,0.0,0.0,,,,,-112565.73590311951,12.582651322025127
NFHS-5,2020,Madhya Pradesh,Rewa,6,,,26.91144394966482,52.68992068545696,6.512808584786586,26.91144394966482,6.512808584786586,,,,,-64319.0796915558,29.03488102818543
NFHS-5,2020,Madhya Pradesh,Sagar,6,,,41.400296217188185,12.100444325782272,12.100444325782272,12.100444325782272,41.40029621718818,,,,,-78382.75603192348,12.100444325782272
NFHS-5,2020,Madhya Pradesh,Satna,4,,,67.12550054863193,67.12550054863193,67.12550054863193,35.82553788056731,62.599925336129246,,,,,16502.211402863777,67.12550054863193
NFHS-5,2020,Madhya Pradesh,Sehore,3,,,100.0,100.0,100.0,53.37098060760377,100.0,,,,,148890.6455137585,100.0
NFHS-5,2020,Madhya Pradesh,Seoni,3,,,3.4734521060087467,3.4734521060087467,0.0,0.0,0.0,,,,,-148395.23580805212,3.4734521060087467
NFHS-5,2020,Madhya Pradesh,Shahdol,1,,,100.0,100.0,0.0,0.0,100.0,,,,,-105121.0,0.0
NFHS-5,2020,Madhya Pradesh,Shajapur,7,,,60.143941626826184,60.143941626826184,13.841738153696625,13.841738153696625,22.196804484191112,,,,,-52034.97855904983,60.143941626826184
NFHS-5,2020,Madhya Pradesh,Sheopur,4,,,100.0,100.0,79.83106426353343,69.74659639530014,79.83106426353343,,,,,88706.54612388094,100.0
NFHS-5,2020,Madhya Pradesh,Shivpuri,3,,,50.59467854574259,50.59467854574259,47.03903459913021,3.5556439466123706,96.44435605338762,,,,,-42026.47907775158,50.59467854574259
NFHS-5,2020,Madhya Pradesh,Sidhi,1,,,100.0,100.0,100.0,100.0,0.0,,,,,183665.0,100.0
NFHS-5,2020,Madhya Pradesh,Singrauli,2,,,6.7137068210504625,6.7137068210504625,6.7137068210504625,0.0,6.7137068210504625,,,,,-97491.82381434983,6.7137068210504625
NFHS-5,2020,Madhya Pradesh,Tikamgarh,5,,,94.9291361945159,29.54084826198921,19.399120651021025,9.699560325510513,9.699560325510513,,,,,67.84961265902274,29.54084826198921
NFHS-5,2020,Madhya Pradesh,Ujjain,7,,,53.28848886057936,53.28848886057936,4.89609095702974,6.576977721158716,49.9267153323214,,,,,-81194.67327946798,6.576977721158716
NFHS-5,2020,Madhya Pradesh,Umaria,5,,,59.61313107886033,39.41969661829049,0.0,0.0,20.193434460569843,,,,,-72444.20393718735,19.22626215772064
NFHS-5,2020,Madhya Pradesh,Vidisha,4,,,74.06850065602445,74.06850065602445,49.37900043734964,49.37900043734964,49.37900043734964,,,,,20758.19408903337,74.06850065602445
NFHS-5,2020,Maharashtra,Ahmadnagar,3,,,54.54052923904842,54.54052923904842,27.27026461952421,27.27026461952421,27.27026461952421,,,,,-12379.966809384861,54.54052923904842
NFHS-5,2020,Maharashtra,Akola,2,,,50.0,0.0,0.0,0.0,50.0,,,,,-128800.0,0.0
NFHS-5,2020,Maharashtra,Amravati,2,,,0.0,0.0,0.0,0.0,0.0,,,,,-150041.0147160652,37.495344203940114
NFHS-5,2020,Maharashtra,Aurangabad,5,,,56.52061264093593,13.041225281871865,0.0,13.041225281871865,13.041225281871865,,,,,-80711.4705947305,13.041225281871865
NFHS-5,2020,Maharashtra,Bhandara,3,,,0.0,0.0,0.0,0.0,0.0,,,,,-150057.6666666667,0.0
NFHS-5,2020,Maharashtra,Bid,1,,,100.0,100.0,100.0,0.0,0.0,,,,,78940.0,100.0
NFHS-5,2020,Maharashtra,Buldana,2,,,50.0,0.0,0.0,0.0,0.0,,,,,-129806.49999999999,0.0
NFHS-5,2020,Maharashtra,Chandrapur,2,,,37.495344203940114,0.0,0.0,0.0,37.495344203940114,,,,,-88695.95375950844,37.495344203940114
NFHS-5,2020,Maharashtra,Dhule,1,,,100.0,100.0,0.0,0.0,0.0,,,,,11376.0,100.0
NFHS-5,2020,Maharashtra,Gadchiroli,1,,,100.0,100.0,0.0,0.0,0.0,,,,,18337.0,100.0
NFHS-5,2020,Maharashtra,Gondiya,7,,,24.24105622528411,9.08926747034093,9.08926747034093,9.08926747034093,39.39284498022729,,,,,-91377.92943207533,9.08926747034093
NFHS-5,2020,Maharashtra,Hingoli,2,,,100.0,37.495344203940114,0.0,0.0,100.0,,,,,-44764.02296026137,37.495344203940114
NFHS-5,2020,Maharashtra,Jalgaon,4,,,64.28115326321263,64.28115326321263,21.427051087737542,21.427051087737542,64.28115326321263,,,,,-41391.9055898953,64.28115326321263
NFHS-5,2020,Maharashtra,Jalna,1,,,0.0,0.0,0.0,0.0,0.0,,,,,-82485.0,0.0
NFHS-5,2020,Maharashtra,Kolhapur,2,,,37.495344203940114,37.495344203940114,0.0,37.495344203940114,37.495344203940114,,,,,-36638.27494569279,37.495344203940114
NFHS-5,2020,Maharashtra,Latur,1,,,100.0,0.0,0.0,0.0,100.0,,,,,-79455.0,0.0
NFHS-5,2020,Maharashtra,Mumbai,3,,,0.0,0.0,0.0,0.0,33.33333333333333,,,,,-121849.66666666666,0.0
NFHS-5,2020,Maharashtra,Mumbai Suburban,1,,,0.0,0.0,0.0,0.0,0.0,,,,,-66762.0,0.0
NFHS-5,2020,Maharashtra,Nagpur,4,,,37.495344203940114,37.495344203940114,18.747672101970057,18.747672101970057,18.747672101970057,,,,,-63553.12423288729,37.495344203940114
NFHS-5,2020,Maharashtra,Nanded,5,,,47.36346852981978,31.575645686546522,0.0,15.787822843273261,73.68173426490989,,,,,-25201.274909112344,47.36346852981978
NFHS-5,2020,Maharashtra,Nandurbar,4,,,68.74767210197005,37.495344203940114,37.495344203940114,37.495344203940114,100.0,,,,,619.5894962741139,37.495344203940114
NFHS-5,2020,Maharashtra,Nashik,1,,,0.0,0.0,0.0,0.0,0.0,,,,,-148400.0,0.0
NFHS-5,2020,Maharashtra,Osmanabad,5,,,52.37824974455324,14.283687308414933,14.283687308414933,14.283687308414933,61.905437563861696,,,,,-74472.49771788204,28.567374616829866
NFHS-5,2020,Maharashtra,Parbhani,3,,,61.5366984472728,0.0,0.0,0.0,38.46330155272719,,,,,-59287.211010303305,23.07339689454561
NFHS-5,2020,Maharashtra,Pune,3,,,61.53669844727281,23.07339689454561,0.0,0.0,0.0,,,,,-123036.25311422252,23.07339689454561
NFHS-5,2020,Maharashtra,Raigarh,5,,,76.18912487227662,52.37824974455324,14.283687308414933,0.0,52.37824974455324,,,,,-35146.308264476196,28.567374616829866
NFHS-5,2020,Maharashtra,Ratnagiri,1,,,0.0,0.0,0.0,0.0,100.0,,,,,-87629.0,0.0
NFHS-5,2020,Maharashtra,Sangli,3,,,23.07339689454561,23.07339689454561,23.07339689454561,23.07339689454561,23.07339689454561,,,,,-74828.50724831635,23.07339689454561
NFHS-5,2020,Maharashtra,Satara,2,,,100.0,0.0,0.0,0.0,0.0,,,,,-114390.00000000001,100.0
NFHS-5,2020,Maharashtra,Sindhudurg,4,,,16.663907790584638,16.663907790584638,0.0,0.0,72.22130259686155,,,,,-82871.99738702958,16.663907790584638
NFHS-5,2020,Maharashtra,Solapur,2,,,50.0,0.0,0.0,0.0,0.0,,,,,-123546.5,0.0
NFHS-5,2020,Maharashtra,Thane,4,,,42.854102175475084,42.854102175475084,21.427051087737542,21.427051087737542,100.0,,,,,-22434.082910613964,64.28115326321263
NFHS-5,2020,Maharashtra,Wardha,4,,,25.0,25.0,0.0,0.0,25.0,,,,,-113989.0,0.0
NFHS-5,2020,Maharashtra,Yavatmal,2,,,0.0,0.0,0.0,0.0,50.0,,,,,-115025.99999999999,0.0
NFHS-5,2020,Manipur,Bishnupur,7,,,30.91048805378064,0.0,0.0,0.0,0.0,,,,,-110673.13068878892,7.268535838658092
NFHS-5,2020,Manipur,Chandel,7,,,69.08951194621937,38.17902389243873,0.0,0.0,30.91048805378064,,,,,-87257.18372687984,7.268535838658092
NFHS-5,2020,Manipur,Churachandpur,5,,,41.36423094369858,27.576153962465717,27.576153962465717,27.576153962465717,27.576153962465717,,,,,-31860.207021347032,41.36423094369858
NFHS-5,2020,Manipur,Imphal East,7,,,69.08951194621937,22.72377986554841,7.268535838658092,7.268535838658092,38.17902389243873,,,,,-52238.56834469286,7.268535838658092
NFHS-5,2020,Manipur,Imphal West,10,,,52.44259187732836,34.961727918218905,23.07237588755099,5.59151192844154,40.553239846660446,,,,,-58720.15059231168,16.77453578532462
