state,census_state_code,district_count_2011,population_total,urban_pct,rural_pct,sc_pct,st_pct,sex_ratio,literacy_rate,male_literacy,female_literacy,child_0_6_pct,worker_pct,main_worker_pct,marginal_worker_pct,non_worker_pct,source_year,geography_level
LADAKH,1,2,274289,22.607177101524304,77.3928228984757,0.18447695678645515,79.54857832432216,749.783102401184,65.62640135040049,76.00028069101023,51.790560948839904,11.64611048930143,46.28402888923727,31.377853286132513,14.906175603104755,53.71597111076274,2011,state_from_districts
LAKSHADWEEP,31,1,64473,78.06678764754238,21.933212352457616,0.0,94.79937338110527,946.4722398333483,81.51164053169543,84.60284394529481,78.24561403508771,11.25277247840181,29.08659438834861,16.757402323453228,12.329192064895382,70.9134056116514,2011,state_from_districts
MADHYA PRADESH,23,50,72626809,27.633604279653813,72.36639572034619,15.617263316635595,21.089710825653928,930.9320997228939,59.00186114469107,66.93109430727273,50.48434073161056,14.883477807761041,43.47448749951275,31.25859350367438,12.21589399583837,56.52551250048725,2011,state_from_districts
MAHARASHTRA,27,35,112374333,45.22230089677151,54.77769910322849,11.813994927115608,9.352859073254743,929.403103436056,72.5737700262924,77.70468637497319,67.05311238085146,11.859039910830884,43.98502458742069,38.94384850319868,5.041176084222008,56.01497541257932,2011,state_from_districts
MANIPUR,14,9,2855794,29.209179653714518,70.79082034628547,3.4080889587974483,40.8790690084789,985.1395745544584,66.8282095977511,72.2833393345966,61.29079147168235,13.14370014083649,45.68291690507088,34.11180918511629,11.57110771995459,54.31708309492912,2011,state_from_districts
MEGHALAYA,17,7,2966889,20.069844203810796,79.93015579618921,0.5849561611506194,86.14616185506098,988.7554362689632,60.16419893025995,61.2588414781289,59.05710762363759,19.16269870561386,39.961690511508856,31.06199793790735,8.899692573601506,60.03830948849115,2011,state_from_districts
MIZORAM,15,8,1097206,52.11154514284464,47.88845485715535,0.11100923618718819,94.43213033833209,975.740943819901,77.30316822912015,78.9660009471692,75.59899384904413,15.36001443666914,44.35857988381398,37.82607823872636,6.5325016450876126,55.641420116186026,2011,state_from_districts
NAGALAND,13,11,1978502,28.858500016679283,71.14149998332071,0.0,86.47820421712993,930.9070715923209,67.85103072930934,70.6541459563226,64.83986526225739,14.711685911866654,49.23533056827842,37.46162500720242,11.773705561076007,50.76466943172158,2011,state_from_districts
NCT OF DELHI,7,9,16787941,97.5039106939916,2.496089306008402,16.75195904012291,0.0,867.9572767250237,75.87450420513153,80.05558049190604,71.05735893900673,11.987497454273873,33.280132447451415,31.613936455935843,1.6661959915155764,66.71986755254858,2011,state_from_districts
ODISHA,21,30,41974218,16.6856140119156,83.31438598808441,17.125900951865262,22.84915945307188,978.7831833625808,63.71195527692738,71.1370179787646,56.12594151203141,12.562935657312305,41.79134200903993,25.509809378700037,16.28153263033989,58.20865799096006,2011,state_from_districts
PUDUCHERRY,34,4,1247953,68.33214071363265,31.667859286367356,15.731762333998155,0.0,1037.437694996498,76.71034085418282,81.20311308694865,72.37969791106033,10.646074010800085,35.65582998718702,32.027568345923285,3.628261641263734,64.34417001281298,2011,state_from_districts
PUNJAB,3,20,27743338,37.48339871719834,62.51660128280165,31.93623997227731,0.0,895.1060028491479,67.42929419668246,71.2871406161359,63.11936173374085,11.088135825616947,35.67473387665176,30.4611362915306,5.213597585121156,64.32526612334824,2011,state_from_districts
RAJASTHAN,8,33,68548437,24.870129423957543,75.12987057604246,17.829134455684233,13.477380964937247,928.1720003520576,55.8368413272501,66.63220162292495,44.206065682671145,15.535735701749115,43.59874026011709,30.719836835958787,12.878903424158308,56.40125973988292,2011,state_from_districts
SIKKIM,11,4,610577,25.15292911459161,74.8470708854084,4.630865558316151,33.797539049128936,889.9216887980933,72.8740191654779,77.77540471105333,67.36635977558807,10.500067968495374,50.46668970498397,37.73430705709517,12.732382647888802,49.53331029501602,2011,state_from_districts
